Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,60629413398.000000,-33152238089.000000,27477175309.000000,-9933486048.000000,-6863522117.000000,-3069963931.000000,,,-9933486048.000000,17543689261.000000,-13838527103.000000,292687591.000000,-13787463346.000000,-119374734.000000,-224376614.000000,-13838527103.000000,3705162158.000000,-404513594.000000,3300648564.000000,22446062268.000000,25746710832.000000,3300648564.000000,3300648564.000000,,3300648564.000000,25746710832.000000,25746710832.000000,,25746710832.000000
12M 2018,132167476386.000000,-70760051816.000000,61407424570.000000,-16025054347.000000,-9873087046.000000,-6151967301.000000,,,-16025054347.000000,45382370223.000000,-26118152863.000000,238036214.000000,-26988363342.000000,-135416572.000000,767590837.000000,-26118152863.000000,19264217360.000000,-4832882172.000000,14431335188.000000,3020790513.000000,17452125701.000000,14431335188.000000,14431335188.000000,,14431335188.000000,17452125701.000000,17452125701.000000,,17452125701.000000
12M 2019,162596163771.000000,-96040749238.000000,66555414533.000000,-20448407003.000000,-12553244238.000000,-7895162765.000000,,,-20448407003.000000,46107007530.000000,-33646666139.000000,11341622.000000,-34027205287.000000,954979510.000000,-585781984.000000,-33646666139.000000,12460341391.000000,-4352085703.000000,8108255688.000000,4567233534.000000,12675489222.000000,8108255688.000000,8108255688.000000,,8108255688.000000,12675489222.000000,12675489222.000000,,12675489222.000000
12M 2020,162257365449.000000,-103385215198.000000,58872150251.000000,-21997540639.000000,-15083726972.000000,-6913813667.000000,,,-21997540639.000000,36874609612.000000,-30627192659.000000,326352319.000000,-26977274558.000000,-3472122334.000000,-504148086.000000,-30627192659.000000,6247416953.000000,-3131138198.000000,3116278755.000000,2035443905.000000,5151722660.000000,3116278755.000000,3116278755.000000,,3116278755.000000,5151722660.000000,5151722660.000000,,5151722660.000000
12M 2021,212042439331.000000,-130402418856.000000,81640020475.000000,-26839192474.000000,-17820222099.000000,-9018970375.000000,,,-26839192474.000000,54800828001.000000,-37647907666.000000,20481868.000000,-37912737482.000000,79766682.000000,164581266.000000,-37647907666.000000,17152920335.000000,-5758611594.000000,11394308741.000000,8122200525.000000,19516509266.000000,11394308741.000000,11394308741.000000,,11394308741.000000,19516509266.000000,19516509266.000000,,19516509266.000000
12M 2022,333909938076.000000,-206108736537.000000,127801201539.000000,-35199721694.000000,-19804237637.000000,-9105484057.000000,-6290000000.000000,,-35199721694.000000,92601479845.000000,-63842985363.000000,27103491.000000,-63285118910.000000,7071826133.000000,-7656796077.000000,-63842985363.000000,28758494482.000000,-10647366260.000000,18111128222.000000,3262977601.000000,21374105823.000000,18111128222.000000,18111128222.000000,,18111128222.000000,21374105823.000000,21374105823.000000,,21374105823.000000
12M 2023,441461405484.000000,-288453057240.000000,153008348244.000000,-40115734148.000000,-24361440331.000000,-10954293817.000000,-4800000000.000000,,-40115734148.000000,112892614096.000000,-66164510713.000000,869552030.000000,-67590651331.000000,15360005258.000000,-14803416670.000000,-66164510713.000000,46728103383.000000,-19541986660.000000,27186116723.000000,7922070747.000000,35108187470.000000,27186116723.000000,27186241138.000000,-124415.000000,27186116723.000000,35108187470.000000,35108311885.000000,-124415.000000,35108187470.000000
12M 2024,541955832866.000000,-357243701462.000000,184712131404.000000,-45519923608.000000,-27991943641.000000,-12727979967.000000,-4800000000.000000,,-45519923608.000000,139192207796.000000,-81557121513.000000,951249437.000000,-92816629256.000000,11926385771.000000,-1618127465.000000,-81557121513.000000,57635086283.000000,-17020251488.000000,40614834795.000000,17083345298.000000,57698180093.000000,40614834795.000000,40615156962.000000,-322167.000000,40614834795.000000,57698180093.000000,57698502260.000000,-322167.000000,57698180093.000000
