Period,Aset,Aset Lancar,Kas Dan Setara Kas,Portofolio Efek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pihak Berelasi,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,2341076479.000000,810102034.000000,8248475621.000000,6905420418.000000,1343055203.000000,8248475621.000000,168826740.000000,168826740.000000,,168826740.000000,,16678631902.000000,28247112776.000000,,301096487171.000000,,1118356389.000000,302214843560.000000,330461956336.000000,,,70695371241.000000,,,,239410750.000000,1094450450.000000,126273543.000000,,4280952387.000000,62856145433.000000,67137097820.000000,2098138678.000000,70695371241.000000,129671095322.000000,,31628571417.000000,93735049311.000000,125363620728.000000,3573465655.000000,734008939.000000,129671095322.000000,200366466563.000000,,95000000000.000000,289228553.000000,1623217447.000000,,,1623217447.000000,,33183043773.000000,130095489773.000000,330461956336.000000,950000.000000
12M 2018,,,819071394.000000,2400139988.000000,19258122101.000000,18226349524.000000,1031772577.000000,19258122101.000000,598743227.000000,598743227.000000,,598743227.000000,20362236.000000,24220709392.000000,47317148338.000000,,500888586108.000000,,672582685.000000,501561168793.000000,548878317131.000000,,,155864998470.000000,,10316635984.000000,,14185161805.000000,3054163156.000000,2398170197.000000,,5666666664.000000,119867102248.000000,125533768912.000000,377098416.000000,155864998470.000000,186922401159.000000,,26053376452.000000,155402094894.000000,181455471346.000000,4773512283.000000,693417530.000000,186922401159.000000,342787399629.000000,,155000000000.000000,-1205244135.000000,16559453380.000000,,,16559453380.000000,,35736708257.000000,206090917502.000000,548878317131.000000,1550000000.000000
12M 2019,,,912096011.000000,2450537235.000000,22017348292.000000,20997415175.000000,1019933117.000000,22017348292.000000,644645702.000000,644645702.000000,,644645702.000000,67153508.000000,14185767330.000000,40277548078.000000,,495008096641.000000,,848335488.000000,495856432129.000000,536133980207.000000,,,165747918407.000000,25000000000.000000,1319125717.000000,,982485294.000000,2120851613.000000,310971497.000000,,13369262135.000000,103696104066.000000,117065366201.000000,18949118085.000000,165747918407.000000,151893330801.000000,,37552972480.000000,106958600113.000000,144511572593.000000,6089372332.000000,1292385876.000000,151893330801.000000,317641249208.000000,,155000000000.000000,-1205244135.000000,27706931421.000000,,,27706931421.000000,,36991043713.000000,218492730999.000000,536133980207.000000,1550000000.000000
12M 2020,,,1018547283.000000,,18513035108.000000,18249460108.000000,263575000.000000,18513035108.000000,939185314.000000,939185314.000000,,939185314.000000,235477155.000000,12241627070.000000,32947871930.000000,,492889499289.000000,,10465848612.000000,503355347901.000000,536303219831.000000,,,150765896036.000000,35936043922.000000,11914283856.000000,,2116780349.000000,5219289444.000000,299745596.000000,,9664291243.000000,85401329156.000000,95065620399.000000,214132470.000000,150765896036.000000,161071570171.000000,,37915627838.000000,115127352331.000000,153042980169.000000,5973527318.000000,2055062684.000000,161071570171.000000,311837466207.000000,,155000000000.000000,-1205244135.000000,35028332018.000000,,,35028332018.000000,,35642665741.000000,224465753624.000000,536303219831.000000,1550000000.000000
12M 2021,,,1253478102.000000,,26327554323.000000,26123057623.000000,204496700.000000,26327554323.000000,537565726.000000,537565726.000000,,537565726.000000,308484331.000000,22749702400.000000,51176784882.000000,,764359118475.000000,,1203241756.000000,765562360231.000000,816739145113.000000,,,159848739818.000000,32673723145.000000,5609090000.000000,,1414176695.000000,6575561997.000000,357548800.000000,,16011831455.000000,94979324330.000000,110991155785.000000,2227483396.000000,159848739818.000000,412173216092.000000,,63731494175.000000,338516303753.000000,402247797928.000000,7678292007.000000,2247126157.000000,412173216092.000000,572021955910.000000,,155000000000.000000,-1205244135.000000,50313733675.000000,100000000.000000,50213733675.000000,50313733675.000000,,40608699663.000000,244717189203.000000,816739145113.000000,1550000000.000000
12M 2022,,,26812736807.000000,,35591588247.000000,35433135838.000000,158452409.000000,35591588247.000000,2143448993.000000,2143448993.000000,,2143448993.000000,614356661.000000,28274031480.000000,93436162188.000000,,1137159180123.000000,,13100466653.000000,1150259646776.000000,1243695808964.000000,,,239880153930.000000,25000000000.000000,9800348000.000000,,3331039406.000000,6688086774.000000,1283901060.000000,,36709347686.000000,143488370534.000000,180197718220.000000,13579060470.000000,239880153930.000000,736872330418.000000,,163864788066.000000,524692596147.000000,688557384213.000000,9658770863.000000,38656175342.000000,736872330418.000000,976752484348.000000,,155000000000.000000,-1205244135.000000,71996455836.000000,150000000.000000,71846455836.000000,71996455836.000000,,41152112915.000000,266943324616.000000,1243695808964.000000,1550000000.000000
12M 2023,,,142229455873.000000,,31546572671.000000,31366353712.000000,180218959.000000,31546572671.000000,1638568169.000000,1638568169.000000,,1638568169.000000,804854855.000000,35500416554.000000,211719868122.000000,,1316819802351.000000,,,1316819802351.000000,1528539670473.000000,,,314744991723.000000,25000000000.000000,,,4969565074.000000,7363002918.000000,4978167935.000000,,92484815163.000000,124593982552.000000,217078797715.000000,55355458081.000000,314744991723.000000,712864210220.000000,,338324308007.000000,358630846873.000000,696955154880.000000,11102477495.000000,4806577845.000000,712864210220.000000,1027609201943.000000,,353400000000.000000,-2527244135.000000,106640482414.000000,200000000.000000,106440482414.000000,106640482414.000000,875585.000000,43416354666.000000,500930468530.000000,1528539670473.000000,3534000000.000000
12M 2024,,,23536683059.000000,,56991065926.000000,56735912520.000000,255153406.000000,56991065926.000000,6464230597.000000,6464230597.000000,,6464230597.000000,871112864.000000,57841466433.000000,145704558879.000000,,1916524945511.000000,,230209042.000000,1916755154553.000000,2062459713432.000000,,,439823666236.000000,25000000000.000000,20307920000.000000,,17400700321.000000,8272167414.000000,1429580697.000000,,165129639838.000000,167742374490.000000,332872014328.000000,34541283476.000000,439823666236.000000,1062842642560.000000,,799553863660.000000,240561491059.000000,1040115354719.000000,17189213287.000000,5538074554.000000,1062842642560.000000,1502666308796.000000,,353400000000.000000,-2527244135.000000,152393686469.000000,250000000.000000,152143686469.000000,152393686469.000000,553418.000000,56526408884.000000,559793404636.000000,2062459713432.000000,3534000000.000000
