Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pihak Ketiga,Pembayaran Untuk Karyawan,Penerimaan (Pembayaran) Pajak Penghasilan,Aktivitas Operasional Lainnya,Penerimaan Kas Dari Klaim Asuransi,Penghasilan Bunga,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Penerimaan Dari Klaim Pengembalian Pajak,Pembayaran Kas Lainnya Untuk Beban Operasi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Kembali Portofolio Efek,Penjualan Aset Tetap,Penempatan Portofolio Efek,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Atas Saham Pt Batavia Prosperindo Logistik,Penambahan Piutang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Liabilitas Anjak Piutang,Pembayaran Liabilitas Anjak Piutang,Penerimaan Liabilitas Sewa,Penerimaan Dari Put,Penerimaan Modal Disetor Melalui Penawaran Umum Perdana Saham,Setoran Modal,Penambahan Utang Bank Jangka Pendek,Penerimaan Dari Jual Dan Sewa-Balik,Penerimaan Atas Peningkatan Modal Saham Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank,Pembayaran Beban Emisi Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan Utang Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Ketiga,Pembayaran Pinjaman Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,5235469411.000000,57166203743.000000,-36254269410.000000,-6436820200.000000,-7127257128.000000,-2405075185.000000,,292687591.000000,,,,,5235469411.000000,-46671081948.000000,45369353087.000000,1005815625.000000,-41005000000.000000,-57666250660.000000,,5625000000.000000,,,,-46671081948.000000,37560313946.000000,,,,,,35000000000.000000,32100000000.000000,,,,,-714285720.000000,,-28825400334.000000,,,,,,,37560313946.000000,-3875298591.000000,6216375070.000000,2341076479.000000
12M 2018,66049919586.000000,119109383706.000000,-42405134582.000000,-9665291381.000000,-9923004976.000000,8281629605.000000,414301000.000000,238036214.000000,,,,,66049919586.000000,-26339891709.000000,50479970272.000000,876088636.000000,-51934000000.000000,-25761950617.000000,,,,,,-26339891709.000000,-41232032962.000000,,,,,40000000000.000000,20000000000.000000,31720043116.000000,,,,,-35909523804.000000,-1494472688.000000,-95548079586.000000,,,,,,,-41232032962.000000,-1522005085.000000,2341076479.000000,819071394.000000
12M 2019,49057833730.000000,160151108259.000000,-86290880872.000000,-12031763191.000000,4806977421.000000,-19319887384.000000,1730937875.000000,11341622.000000,,,,,49057833730.000000,16433520394.000000,18288508334.000000,32884870448.000000,-18300000000.000000,-16439858388.000000,,,,,,16433520394.000000,-65398329507.000000,35640000000.000000,,,,,,54975258485.000000,,,,,-29773066986.000000,,-126240521006.000000,,,,,,,-65398329507.000000,93024617.000000,819071394.000000,912096011.000000
12M 2020,71220006957.000000,163931722688.000000,-66187136206.000000,-14467516170.000000,-6757566810.000000,,1225002500.000000,326352319.000000,-6850851364.000000,,,,71220006957.000000,37518674619.000000,44472306835.000000,42436426233.000000,-41950000000.000000,-7440058449.000000,,,,,,37518674619.000000,-119568274226.000000,,-17000000000.000000,,,,,11500000000.000000,,,,,-14842315534.000000,,-99225958692.000000,,,,,,,-119568274226.000000,-10829592650.000000,912096011.000000,-9917496639.000000
12M 2021,70732275946.000000,203025656484.000000,-105184839647.000000,-17721309633.000000,-5602374852.000000,,1439244250.000000,20481868.000000,-5244582524.000000,,,,70732275946.000000,-60724876493.000000,,41379285432.000000,,-102104161925.000000,,,,,,-60724876493.000000,-6510147857.000000,,,,,,,120000000000.000000,46849506666.000000,,42132680000.000000,,-129969273451.000000,,-85523061072.000000,,,,,,,-6510147857.000000,3497251596.000000,-9917496639.000000,-6420245043.000000
12M 2022,160209716433.000000,359363628913.000000,-157906407621.000000,-19280297590.000000,-20060821803.000000,,332832625.000000,27103491.000000,-2266321582.000000,,,,160209716433.000000,-173557705346.000000,,40997175925.000000,,-214554881271.000000,,,,,,-173557705346.000000,46580970763.000000,,,,,,,160000000000.000000,35000000000.000000,,145309042042.000000,-24478231920.000000,-160000000000.000000,,-109249839359.000000,,,,,,,46580970763.000000,33232981850.000000,-6420245043.000000,26812736807.000000
12M 2023,195211454335.000000,437369599080.000000,-209744617676.000000,-23092473601.000000,-8057649336.000000,,1447817360.000000,869636459.000000,-16678457617.000000,13097599666.000000,,,195211454335.000000,-304229896498.000000,,92841776377.000000,,-396944445912.000000,-127226963.000000,,,,,-304229896498.000000,224435161229.000000,,,,,198400000000.000000,,175000000000.000000,,1000000.000000,278431762400.000000,-48196774982.000000,-175000000000.000000,-1322000000.000000,-202878826189.000000,,,,,,,224435161229.000000,115416719066.000000,26812736807.000000,142229455873.000000
12M 2024,166558580864.000000,492722018376.000000,-240786497398.000000,-27718597432.000000,-47643700431.000000,,,951249437.000000,-10965891688.000000,,,,166558580864.000000,-682279487282.000000,,112381916279.000000,,-793355653561.000000,-1305750000.000000,,,,,-682279487282.000000,397028133604.000000,,,,,,,100000000000.000000,,,657727956224.000000,-123853575895.000000,-100000000000.000000,,-136821149034.000000,-25097691.000000,,,,,,397028133604.000000,-118692772814.000000,142229455873.000000,23536683059.000000
