Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,16728.00,0.00,0.00,76.09 B,2.71%,19.37%,17.95%,3.54
12M 2022,35.00 B,1.42,0.00,0.00,123.00 B,4.80%,27.22%,16.33%,9.12
12M 2023,43.75 B,0.12,1008.33,4.99,102.59 B,0.33%,0.52%,5.02%,4.15
12M 2024,43.75 B,0.17,764.71,5.67,66.10 B,0.47%,0.72%,0.68%,0.88
