Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Bunga,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,679178000000.0,-565562000000.0,113616000000.0,-78779000000.0,-74406000000.0,-4373000000.0,-78779000000.0,34837000000.0,20386000000.0,115000000.0,-9842000000.0,30113000000.0,20386000000.0,55223000000.0,-11812000000.0,-8268000000.0,-3544000000.0,-11812000000.0,43411000000.0,43411000000.0,4593000000.0,4593000000.0,4593000000.0,48004000000.0,43411000000.0,20910000000.0,22501000000.0,43411000000.0,48004000000.0,25201000000.0,22803000000.0,48004000000.0
12M 2022,1071130000000.0,-878468000000.0,192662000000.0,-113374000000.0,-106286000000.0,-7088000000.0,-113374000000.0,79288000000.0,-3435000000.0,614000000.0,-8698000000.0,4649000000.0,-3435000000.0,75853000000.0,-7612000000.0,-12967000000.0,5355000000.0,-7612000000.0,68241000000.0,68241000000.0,2727000000.0,2727000000.0,2727000000.0,70968000000.0,68241000000.0,49596000000.0,18645000000.0,68241000000.0,70968000000.0,52685000000.0,18283000000.0,70968000000.0
12M 2023,1061862000000.0,-848470000000.0,213392000000.0,-162088000000.0,-150015000000.0,-12073000000.0,-162088000000.0,51304000000.0,-9053000000.0,8703000000.0,-12369000000.0,-5387000000.0,-9053000000.0,42251000000.0,-12689000000.0,-19956000000.0,7267000000.0,-12689000000.0,29562000000.0,29562000000.0,-2788000000.0,-2788000000.0,-2788000000.0,26774000000.0,29562000000.0,5428000000.0,24134000000.0,29562000000.0,26774000000.0,3416000000.0,23358000000.0,26774000000.0
12M 2024,1003658000000.0,-825513000000.0,178145000000.0,-168742000000.0,-157589000000.0,-11153000000.0,-168742000000.0,9403000000.0,4040000000.0,9218000000.0,-10633000000.0,5455000000.0,4040000000.0,13443000000.0,-1150000000.0,-18939000000.0,17789000000.0,-1150000000.0,12293000000.0,12293000000.0,3275000000.0,3275000000.0,3275000000.0,15568000000.0,12293000000.0,7567000000.0,4726000000.0,12293000000.0,15568000000.0,11113000000.0,4455000000.0,15568000000.0
