Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Aktivitas Operasional Lainnya,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Penerimaan Restitusi Pajak,Pembayaran Untuk,Pajak,Beban Bunga,Beban Bagi Hasil Musyarakah,Beban Murabahah,Total Pembayaran Untuk,Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Untuk Investasi Jangka Panjang,Divestasi Atas Investasi Jangka Panjang,Penerimaan Dari Penjualan Saham,Proyek Dalam Pengembangan,Akuisisi Segmen Usaha,Penerimaan Uang Muka Penjualan Saham,Perolehan Atas Penjualan Saham,Pembayaran Dividen Entitas Anak,Penerimaan Dari Penjualan Aset Tetap,Pembelian Aset Tetap,Penurunan (Kenaikan) Neto Kas Yang Dibatasi Penggunaannya,Penurunan Piutang Lain-Lain,Kenaikan Piutang Lain-Lain,Perolehan Aset Tak Berwujud,Kenaikan Aset Tidak Lancar Lainnya,Penempatan Di Aset Tidak Lancar Lainnya,Kenaikan Investasi Jangka Pendek,Peningkatan Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari :,Pinjaman Bank Jangka Pendek,Pinjaman Jangka Panjang,Liabilitas Sewa,Tambahan Modal Disetor Melalui Penawaran Umum Perdana Saham,Penerbitan Saham Baru Melalui Penawaran Umum Perdana Saham,Tambahan Modal Disetor Entitas Anak,Setoran Modal Saham,Setoran Modal Dari Kepentingan Nonpengendali Entitas Anak,Total Penerimaan Dari :,Pembayaran Untuk :,Beban Emisi Saham,Pinjaman Jangka Pendek,Pembiayaan Musyarakah,Pembiayaan Murabahah,Pinjaman Jangka Panjang,Liabilitas Sewa,Penempatan Kas Di Bank Yang Dibatasi Penggunaannya,Total Pembayaran Untuk :,Kenaikan Neto Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-8417000000.000000,650906000000.000000,-540206000000.000000,-108771000000.000000,115000000.000000,,,,-4961000000.000000,-3684000000.000000,-566000000.000000,-9211000000.000000,-1250000000.000000,-8417000000.000000,-9712000000.000000,,,,,,,,,388000000.000000,-9063000000.000000,86000000.000000,,,,,-1123000000.000000,,,-9712000000.000000,37985000000.000000,,,,,,,,,,,,,-600000000.000000,-3879000000.000000,-6910000000.000000,-3859000000.000000,-391000000.000000,,-15639000000.000000,53624000000.000000,37985000000.000000,19856000000.000000,6640000000.000000,26496000000.000000
12M 2022,-240669000000.000000,1048395000000.000000,-1091077000000.000000,-175580000000.000000,613000000.000000,3481000000.000000,,,-6627000000.000000,-506000000.000000,-1360000000.000000,-8493000000.000000,-18008000000.000000,-240669000000.000000,-237451000000.000000,-114947000000.000000,,,,,,60000000000.000000,-5000000000.000000,,-27392000000.000000,-113000000.000000,27000000.000000,,,,-71485000000.000000,,-78541000000.000000,-237451000000.000000,522519000000.000000,,143780000000.000000,,,,,,288750000000.000000,,432530000000.000000,,,-4342000000.000000,-14014000000.000000,-699000000.000000,-6166000000.000000,-2936000000.000000,,-28157000000.000000,118146000000.000000,522519000000.000000,44399000000.000000,26496000000.000000,70895000000.000000
12M 2023,-88680000000.000000,1070780000000.000000,-918926000000.000000,-218954000000.000000,8703000000.000000,,,,-11687000000.000000,-185000000.000000,,-11872000000.000000,-18411000000.000000,-88680000000.000000,40742000000.000000,,99638000000.000000,,,,,,-10000000000.000000,259000000.000000,-47492000000.000000,1033000000.000000,5975000000.000000,,-201000000.000000,,-8748000000.000000,,278000000.000000,40742000000.000000,712942000000.000000,,16945000000.000000,,,787500000000.000000,87500000000.000000,,,400000000.000000,892345000000.000000,,-19686000000.000000,-136647000000.000000,-5252000000.000000,,-19593000000.000000,-7187000000.000000,,-188365000000.000000,8962000000.000000,712942000000.000000,665004000000.000000,70895000000.000000,735899000000.000000
12M 2024,-122220000000.000000,899490000000.000000,-793579000000.000000,-207116000000.000000,9218000000.000000,,,,-7598000000.000000,,,-7598000000.000000,-22635000000.000000,-122220000000.000000,-607601000000.000000,,,,,,,,-7500000000.000000,444000000.000000,-278011000000.000000,480000000.000000,-56790000000.000000,,-38000000.000000,,-166186000000.000000,-100000000000.000000,,-607601000000.000000,69044000000.000000,,72316000000.000000,25869000000.000000,,,,,,,98185000000.000000,,,-1945000000.000000,,,-17574000000.000000,-7739000000.000000,,-27258000000.000000,-1883000000.000000,69044000000.000000,-660777000000.000000,735899000000.000000,75122000000.000000
