Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Ketiga,Total Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Jangka Panjang,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,26496000000.000000,,,,124662000000.000000,124662000000.000000,,124662000000.000000,411000000.000000,411000000.000000,411000000.000000,179255000000.000000,14220000000.000000,345044000000.000000,,,,354029000000.000000,,32893000000.000000,26596000000.000000,11618000000.000000,425136000000.000000,770180000000.000000,,,382072000000.000000,842000000.000000,,174392000000.000000,16676000000.000000,191068000000.000000,,33456000000.000000,5500000000.000000,38956000000.000000,68832000000.000000,28431000000.000000,,6348000000.000000,16995000000.000000,23343000000.000000,30600000000.000000,382072000000.000000,200805000000.000000,57786000000.000000,,37021000000.000000,6426000000.000000,43447000000.000000,99572000000.000000,200805000000.000000,582877000000.000000,,1250000000.000000,7000000.000000,79346000000.000000,106700000000.000000,187303000000.000000,770180000000.000000,1250000.000000
12M 2022,,,70895000000.000000,,,,130815000000.000000,130815000000.000000,,130815000000.000000,384000000.000000,384000000.000000,384000000.000000,94770000000.000000,38973000000.000000,335837000000.000000,,78541000000.000000,126079000000.000000,371356000000.000000,,9321000000.000000,31180000000.000000,80591000000.000000,697068000000.000000,1032905000000.000000,,,450043000000.000000,141227000000.000000,,169899000000.000000,11637000000.000000,181536000000.000000,,8350000000.000000,,8350000000.000000,69659000000.000000,18880000000.000000,,7029000000.000000,8512000000.000000,15541000000.000000,14850000000.000000,450043000000.000000,307982000000.000000,175932000000.000000,,30176000000.000000,1766000000.000000,31942000000.000000,100108000000.000000,307982000000.000000,758025000000.000000,,350000000000.000000,-104351000000.000000,92655000000.000000,-63424000000.000000,274880000000.000000,1032905000000.000000,35000000000.000000
12M 2023,,,735899000000.000000,1022000000.000000,1022000000.000000,1022000000.000000,108743000000.000000,108743000000.000000,,108743000000.000000,14212000000.000000,14212000000.000000,14212000000.000000,142444000000.000000,31043000000.000000,1033363000000.000000,,94263000000.000000,29420000000.000000,398528000000.000000,182000000.000000,8446000000.000000,39234000000.000000,64924000000.000000,634997000000.000000,1668360000000.000000,,,208872000000.000000,16945000000.000000,,112962000000.000000,802000000.000000,113764000000.000000,,1546000000.000000,,1546000000.000000,42352000000.000000,19467000000.000000,,8001000000.000000,6509000000.000000,14510000000.000000,288000000.000000,208872000000.000000,311630000000.000000,184894000000.000000,,9611000000.000000,9293000000.000000,18904000000.000000,107832000000.000000,311630000000.000000,520502000000.000000,,437500000000.000000,663463000000.000000,106903000000.000000,-60008000000.000000,1147858000000.000000,1668360000000.000000,43750000000.000000
12M 2024,,,75122000000.000000,100327000000.000000,100327000000.000000,100327000000.000000,212227000000.000000,212227000000.000000,,212227000000.000000,97190000000.000000,97190000000.000000,97190000000.000000,139917000000.000000,105193000000.000000,729976000000.000000,,105885000000.000000,,624521000000.000000,727000000.000000,7571000000.000000,56099000000.000000,83823000000.000000,878626000000.000000,1608602000000.000000,,,292405000000.000000,87316000000.000000,,137267000000.000000,928000000.000000,138195000000.000000,,1705000000.000000,,1705000000.000000,32384000000.000000,19960000000.000000,,6334000000.000000,6511000000.000000,12845000000.000000,,292405000000.000000,160271000000.000000,31991000000.000000,,17047000000.000000,6662000000.000000,23709000000.000000,104571000000.000000,160271000000.000000,452676000000.000000,,437500000000.000000,663463000000.000000,103858000000.000000,-48895000000.000000,1155926000000.000000,1608602000000.000000,43750000000.000000
