Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,(8 B),,(8 B),-6733.60
12M 2022,(241 B),,,-6.88
12M 2023,(89 B),,(89 B),-2.03
12M 2024,(122 B),,(122 B),-2.79
