Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,108 B,(423 B),(315 B),-1576512.84
12M 2018,(20 B),(326 B),(346 B),-128.08
12M 2019,359 B,(339 B),20 B,7.48
12M 2020,279 B,(95 B),184 B,68.30
12M 2021,405 B,(56 B),349 B,129.11
12M 2022,185 B,(21 B),164 B,60.83
12M 2023,243 B,(81 B),163 B,60.25
12M 2024,443 B,(126 B),317 B,117.32
