Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan (Pembayaran) Untuk Beban Operasi Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Final,Penerimaan Atas Pengembalian Pajak,Pembayaran Bunga Liabilitas Sewa,Pembayaran Pinjaman Jangka Panjang,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Pajak Pertambahan Nilai,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Properti Investasi,Penjualan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penghapusan Hak Guna Usaha,Penghapusan Aset Hak Guna,Pembayaran Untuk Investasi,Pembayaran Uang Muka Aset Hak Guna,Penerimaan Bunga Dari Investasi Obligasi,Investasi Pada Obligasi,Aset Hak Guna,Pembayaran Kewajiban Terkait Dengan Perolehan Aset Tetap,Biaya Sewa Dibayar Di Muka,Biaya Pinjaman Yang Dibayar Yang Dikapitalisasi Ke Dalam Aset Tetap,Biaya Pinjaman Yang Dibayar Yang Dikapitalisasi Ke Dalam Properti Investasi,Penerimaan Dari Penjualan Barang Trial,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Dividen Untuk Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Atas Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Atas Utang Bank Jangka Panjang,Pembayaran Atas Utang Pembiayaan Konsumen,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Biaya Penerbitan Saham Kepentingan Non-Pengendali,Tambahan Modal Disetor,Penerimaan Dari Penerbitan Modal Saham Untuk Kepentingan Non Pengendali,Penerimaan Dari Pinjaman Jangka Panjang,Liabilitas Sewa,Pembayaran Dari Pinjaman Jangka Panjang,Penerimaan Dari Pinjaman Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,108095060858.000000,2109587621259.000000,-1751851134217.000000,-170282849821.000000,3896401458.000000,-9051861004.000000,-74203116817.000000,,,,,108095060858.000000,-459649286364.000000,-19612777545.000000,-335087118092.000000,2795360625.000000,-34725000.000000,-68937095709.000000,5200000000.000000,-19338690907.000000,,,,,,,,,-4168000004.000000,-15018577128.000000,-5447662604.000000,,-459649286364.000000,372592330866.000000,-210000000000.000000,,200560981785.000000,115081500000.000000,-1656140352.000000,-2397599740.000000,,,,101200000000.000000,,,,169803589173.000000,372592330866.000000,21038105360.000000,311862789.000000,139084788908.000000,160434757057.000000
12M 2018,-19757632580.000000,2142504063748.000000,-1950195457663.000000,-126579313047.000000,9358608626.000000,-14958453063.000000,-77424330806.000000,-2462750375.000000,,,,-19757632580.000000,-389160169006.000000,-34029878242.000000,-68406478266.000000,225000000.000000,-54800000.000000,-220592270085.000000,,-37012395733.000000,,,,,,,,-19486277544.000000,-4162000000.000000,-4259649864.000000,-1381419272.000000,,-389160169006.000000,340247552431.000000,-178000000000.000000,,-285619685679.000000,124126996676.000000,-231493237565.000000,-1262084170.000000,812000000000.000000,-37514436831.000000,,,,,,138010000000.000000,340247552431.000000,-68670249155.000000,1049747983.000000,160434757057.000000,92814255885.000000
12M 2019,358817291000.000000,2254173731318.000000,-1726935240378.000000,-113256999667.000000,6683566249.000000,-20735113003.000000,-38144496929.000000,-2968156590.000000,,,,358817291000.000000,-406538813946.000000,-33194246334.000000,-236482613872.000000,794545458.000000,-2469464000.000000,-47872431498.000000,,-51798490421.000000,,,,,,,,-23303094640.000000,-4625000000.000000,-6370792076.000000,-1217226563.000000,,-406538813946.000000,103766532783.000000,-102600000000.000000,,26250000000.000000,154313326991.000000,-21402529304.000000,-2501393900.000000,,,,,19600000000.000000,,-4392871004.000000,34500000000.000000,103766532783.000000,56045009837.000000,-69581213.000000,92814255885.000000,148789684509.000000
12M 2020,278943662070.000000,1996622761877.000000,-1443397658075.000000,-210233095896.000000,5631667838.000000,-23336500996.000000,-28922247984.000000,-7303988100.000000,,-10117276594.000000,,278943662070.000000,-138937284566.000000,-9411754000.000000,-56218974889.000000,1722727272.000000,-7112846752.000000,-10126394994.000000,,-21065120702.000000,,,,,,,,-26218801111.000000,,-10506119390.000000,,,-138937284566.000000,-70925153076.000000,-108000000000.000000,,-910000000.000000,59916259464.000000,,-1449658172.000000,,,,,,-14017589628.000000,-7096464740.000000,632300000.000000,-70925153076.000000,69081224428.000000,27280618.000000,148789684509.000000,217898189555.000000
12M 2021,404626899810.000000,2224750774132.000000,-1529621757718.000000,-325537294551.000000,9418898863.000000,-17375134289.000000,-37205622401.000000,-7389344844.000000,97267348111.000000,-9680967493.000000,,404626899810.000000,-55258702069.000000,-209967447.000000,-31321503466.000000,1775045225.000000,-117563063.000000,-32786858.000000,,-24561138324.000000,,,,,,,,,,-790788136.000000,,,-55258702069.000000,-144407475498.000000,-94500000000.000000,,,,-24737288506.000000,-1464653321.000000,,,,,,-13391576431.000000,-10313957240.000000,,-144407475498.000000,204960722243.000000,210206000.000000,217898189555.000000,423069117798.000000
12M 2022,184995491620.000000,2467410394232.000000,-2023941036001.000000,-209900421708.000000,8845615802.000000,-15300261507.000000,-28311117474.000000,-7612186280.000000,1746005226.000000,-7941500670.000000,,184995491620.000000,-198273270241.000000,-721733113.000000,-11577585501.000000,357905270.000000,-11215688.000000,-4745463303.000000,,-4414017000.000000,,,,-1244160000.000000,5679375000.000000,-177753340000.000000,,-3456283383.000000,,-386752523.000000,,,-198273270241.000000,-221193110428.000000,-135000000000.000000,-35000000000.000000,12000000000.000000,,-49474577011.000000,-134023072.000000,,,,,,-13147853329.000000,-436657016.000000,,-221193110428.000000,-234470889049.000000,-40951834.000000,423069117798.000000,188557276915.000000
12M 2023,243478306312.000000,2559105363056.000000,-2258156004375.000000,13000230781.000000,6726700082.000000,-16215613557.000000,-46237309438.000000,-7830476185.000000,630479692.000000,-7440008646.000000,-105055098.000000,243478306312.000000,-80695262801.000000,-8307096092.000000,-62845254557.000000,1118301799.000000,-5293733866.000000,,16000000000.000000,-12673800826.000000,,,,,11225641534.000000,-18495000000.000000,,,,-1424320793.000000,,,-80695262801.000000,-182659986066.000000,-135000000000.000000,-17500000000.000000,-29700000000.000000,75600000000.000000,-54474576993.000000,-375692892.000000,,,,,,-21209716181.000000,,,-182659986066.000000,-19876942555.000000,201685555.000000,188557276915.000000,168882019915.000000
12M 2024,442573171222.000000,2868431985187.000000,-2354678615233.000000,,11636063525.000000,-11444002353.000000,-55865990158.000000,-8047831637.000000,,-7344199794.000000,-114238315.000000,442573171222.000000,-137714143818.000000,-13540388560.000000,-123094441452.000000,1111981983.000000,,,3918918919.000000,-2703931101.000000,,,,,11472184812.000000,,,-11286361268.000000,,-3592107151.000000,,,-137714143818.000000,-231305650713.000000,-162000000000.000000,-21000000000.000000,1774000000.000000,27204000000.000000,-61574960144.000000,-1050832358.000000,,,,,,-14657858211.000000,,,-231305650713.000000,73553376691.000000,472650060.000000,168882019914.000000,242908046665.000000
