Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Utang Dari Pihak Berelasi,Beban Akrual,Utang Pajak,Utang Sewa Pembiayaan,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,4015689541.000000,,934352257.000000,,,934352257.000000,697513629.000000,225348095.000000,472165534.000000,697513629.000000,2285046529.000000,237918796.000000,8170520752.000000,,,475168024427.000000,3473498731.000000,316800497945.000000,,,795442021103.000000,803612541855.000000,,,13966008443.000000,,2254909497.000000,,,2254909497.000000,,,,,,,5016053699.000000,868902091.000000,,,3600000000.000000,,,3600000000.000000,2226143156.000000,13966008443.000000,331549135398.000000,,168500000000.000000,,,168500000000.000000,159497703773.000000,,,159497703773.000000,,3551431625.000000,331549135398.000000,345515143841.000000,,5000000000.000000,,-158131703108.000000,,,-158131703108.000000,27223477.000000,611201877645.000000,458097398014.000000,803612541855.000000,5000.000000
12M 2018,,,6797049128.000000,,3476974267.000000,,,3476974267.000000,529496979.000000,110472109.000000,419024870.000000,529496979.000000,2205564078.000000,285216087.000000,13294300539.000000,,,469441619969.000000,4038581982.000000,320288359202.000000,,,793768561153.000000,807062861692.000000,,,26947038168.000000,,3267901860.000000,,,3267901860.000000,,,,,,,5318352999.000000,1204633100.000000,,,12000000000.000000,,,12000000000.000000,5156150209.000000,26947038168.000000,173511223298.000000,,156500000000.000000,,,156500000000.000000,14471574044.000000,,,14471574044.000000,,2539649254.000000,173511223298.000000,200458261466.000000,,476700000000.000000,,-180464631364.000000,,,-180464631364.000000,1060813.000000,310368170777.000000,606604600226.000000,807062861692.000000,4767000000.000000
12M 2019,,,14801891164.000000,,5135221758.000000,,,5135221758.000000,537917461.000000,,,537917461.000000,705657486.000000,32107774166.000000,53288462035.000000,,,552377822515.000000,8896997202.000000,322386552714.000000,,690609376.000000,884351981807.000000,937640443842.000000,,,24337557808.000000,,4817054589.000000,,,4817054589.000000,,,,,,,4438719257.000000,1677535849.000000,45157500.000000,,10836937686.000000,,,10836937686.000000,2522152927.000000,24337557808.000000,202629783149.000000,,179213946022.000000,,,179213946022.000000,21851628496.000000,,,21851628496.000000,,1564208631.000000,202629783149.000000,226967340957.000000,,595875000000.000000,300146020.000000,-184190438602.000000,,,-184190438602.000000,2792937.000000,298685602530.000000,710673102885.000000,937640443842.000000,5958750000.000000
12M 2020,,,7854282597.000000,,4602318978.000000,,4602318978.000000,4602318978.000000,10785319755.000000,10771294886.000000,14024869.000000,10785319755.000000,289442398.000000,2350968614.000000,25882332342.000000,,,545051986839.000000,16724302414.000000,316099149063.000000,,27879153298.000000,905754591614.000000,931636923956.000000,,,21340189468.000000,,,,5098749245.000000,5098749245.000000,,,,,,,8990806110.000000,867017125.000000,,,3497273218.000000,,,3497273218.000000,2886343770.000000,21340189468.000000,225460062568.000000,,195425686302.000000,,,195425686302.000000,28531415049.000000,,,28531415049.000000,,1502961217.000000,225460062568.000000,246800252036.000000,,595875000000.000000,300146020.000000,-210829527833.000000,,,-210829527833.000000,2687346.000000,299488366387.000000,684836671920.000000,931636923956.000000,5958750000.000000
12M 2021,,,18563627380.000000,,5540841124.000000,,5540841124.000000,5540841124.000000,232526962.000000,232526962.000000,,232526962.000000,368338909.000000,964278906.000000,25669613281.000000,,900000000.000000,538595513682.000000,25001195148.000000,307951806616.000000,,27482925372.000000,899931440818.000000,925601054099.000000,,,22954983492.000000,,,,4152469559.000000,4152469559.000000,,,,,,,9837459445.000000,2476271402.000000,,,3514032773.000000,,,3514032773.000000,2974750313.000000,22954983492.000000,247211356103.000000,,210671551085.000000,,,210671551085.000000,34973543178.000000,,,34973543178.000000,,1566261840.000000,247211356103.000000,270166339595.000000,,595875000000.000000,300146020.000000,-240306188814.000000,,,-240306188814.000000,2322447.000000,299563434851.000000,655434714504.000000,925601054099.000000,5958750000.000000
12M 2022,,,21518416668.000000,,10822872497.000000,,10822872497.000000,10822872497.000000,117106260.000000,117106260.000000,,117106260.000000,529180134.000000,1785961689.000000,34773537248.000000,,5400000000.000000,559802433565.000000,31046188489.000000,299397121546.000000,,22704507940.000000,918350251540.000000,953123788788.000000,,,28899324141.000000,,,,3836185602.000000,3836185602.000000,,,,,,,14370861317.000000,1175801254.000000,,,2173482990.000000,,,2173482990.000000,7342992978.000000,28899324141.000000,259908031868.000000,,223109771166.000000,,,223109771166.000000,,3039747532.000000,32333495515.000000,35373243047.000000,,1425017655.000000,259908031868.000000,288807356009.000000,,595875000000.000000,300146020.000000,-263049901275.000000,,,-263049901275.000000,2197702.000000,331188990332.000000,664316432779.000000,953123788788.000000,5958750000.000000
12M 2023,,,15710958686.000000,,7858629810.000000,,7858629810.000000,7858629810.000000,105697928.000000,105697928.000000,,105697928.000000,505944454.000000,746265284.000000,24927496162.000000,,25087310391.000000,549249791040.000000,22604783601.000000,290246011003.000000,,7387434803.000000,894575330838.000000,919502827000.000000,,,34182794464.000000,,,,13175796771.000000,13175796771.000000,,,2580210615.000000,2580210615.000000,,,4003954589.000000,3683878546.000000,,,5325880559.000000,,594047698.000000,5919928257.000000,4819025686.000000,34182794464.000000,244445965190.000000,,225140853113.000000,,6522535774.000000,231663388887.000000,,,12201404991.000000,12201404991.000000,,581171312.000000,244445965190.000000,278628759654.000000,,595875000000.000000,2378282955.000000,-282443263017.000000,,,-282443263017.000000,2297296.000000,325061750112.000000,640874067346.000000,919502827000.000000,5958750000.000000
12M 2024,,,121163216909.000000,,19222510353.000000,12150000000.000000,7072510353.000000,19222510353.000000,443865977.000000,142514265.000000,301351712.000000,443865977.000000,542512040.000000,1225427270.000000,142597532549.000000,,95957747841.000000,581181478987.000000,,,,6450951675.000000,683590178503.000000,826187711052.000000,,,226329083572.000000,,,,15405584653.000000,15405584653.000000,,,2461171221.000000,2461171221.000000,,,6951201630.000000,1212090637.000000,,,193085177675.000000,1323563436.000000,647116156.000000,195055857267.000000,5243178164.000000,226329083572.000000,46912203987.000000,,27816399437.000000,2727234964.000000,5875419618.000000,36419054019.000000,,,,,9835870013.000000,657279955.000000,46912203987.000000,273241287559.000000,,595875000000.000000,2378282955.000000,-386753438664.000000,,,-386753438664.000000,1929090.000000,341444650112.000000,552946423493.000000,826187711052.000000,5958750000.000000
