Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Bunga,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,46191934741.000000,-18401917106.000000,27790017635.000000,-42834883268.000000,-42834883268.000000,,-42834883268.000000,-15044865633.000000,-15525887587.000000,-18054618954.000000,,,,,,2528731367.000000,-15525887587.000000,-30570753220.000000,1312735926.000000,,,1312735926.000000,-29258017294.000000,,-29258017294.000000,2779885620.000000,,2779885620.000000,-26478131674.000000,-29258017295.000000,-29258008702.000000,-8593.000000,-29258017295.000000,-26478131675.000000,-26478123082.000000,-8593.000000,-26478131675.000000
12M 2018,60720993496.000000,-29692042946.000000,31028950550.000000,-37749081013.000000,-37749081013.000000,,-37749081013.000000,-6720130463.000000,-16593879146.000000,-18146801924.000000,,,,,,1552922778.000000,-16593879146.000000,-23314009609.000000,953865424.000000,,,953865424.000000,-22360144185.000000,,-22360144185.000000,1166346515.000000,,1166346515.000000,-21193797670.000000,-22360144187.000000,-22360132977.000000,-11210.000000,-22360144187.000000,-21193797672.000000,-21193786462.000000,-11210.000000,-21193797672.000000
12M 2019,109881952120.000000,-48003264443.000000,61878687677.000000,-55855703762.000000,-55855703762.000000,,-55855703762.000000,6022983915.000000,-14478990303.000000,-18955406089.000000,,,,,,4476415786.000000,-14478990303.000000,-8456006388.000000,4730199228.000000,,,4730199228.000000,-3725807160.000000,,-3725807160.000000,1219255613.000000,,1219255613.000000,-2506551547.000000,-3725807161.000000,-3725936768.000000,129607.000000,-3725807161.000000,-2506551547.000000,-2506687582.000000,136035.000000,-2506551547.000000
12M 2020,47366679380.000000,-22707675200.000000,24659004180.000000,-45114284455.000000,-45114284455.000000,,-45114284455.000000,-20455280275.000000,-14011115952.000000,-18072761403.000000,,,,,,4061645451.000000,-14011115952.000000,-34466396227.000000,7827305213.000000,,,7827305213.000000,-26639091014.000000,,-26639091014.000000,802765642.000000,,802765642.000000,-25836325372.000000,-26639091015.000000,-26639330918.000000,239903.000000,-26639091015.000000,-25836325373.000000,-25836567061.000000,241688.000000,-25836325373.000000
12M 2021,66395265475.000000,-29374278902.000000,37020986573.000000,-49349695913.000000,-49349695913.000000,,-49349695913.000000,-12328709340.000000,-25425067448.000000,-17721934377.000000,,,,,,-7703133071.000000,-25425067448.000000,-37753776788.000000,8276892732.000000,,,8276892732.000000,-29476884056.000000,,-29476884056.000000,75068385.000000,,75068385.000000,-29401815671.000000,-29476884056.000000,-29476660981.000000,-223075.000000,-29476884056.000000,-29401815671.000000,-29401592517.000000,-223154.000000,-29401815671.000000
12M 2022,86204240933.000000,-35753528004.000000,50450712929.000000,-55894506555.000000,-55894506555.000000,,-55894506555.000000,-5443793626.000000,-23345038979.000000,-16173331294.000000,,,,,,-7171707685.000000,-23345038979.000000,-28788832605.000000,6044993342.000000,,,6044993342.000000,-22743839263.000000,,-22743839263.000000,31625557538.000000,31625557538.000000,31625557538.000000,8881718275.000000,-22743839263.000000,-22743712461.000000,-126802.000000,-22743839263.000000,8881718275.000000,8881716219.000000,2056.000000,8881718275.000000
12M 2023,109799074008.000000,-44758265251.000000,65040808757.000000,-53550324799.000000,-50031615826.000000,-3518708973.000000,-53550324799.000000,11490483958.000000,-26851179487.000000,-14966886208.000000,,692683559.000000,,,-9151110543.000000,-3425866295.000000,-26851179487.000000,-15360695529.000000,-8380013190.000000,,-8380013190.000000,-8380013190.000000,-23740708719.000000,,-23740708719.000000,298343286.000000,298343286.000000,298343286.000000,-23442365433.000000,-23740708719.000000,-23740806354.000000,97635.000000,-23740708719.000000,-23442365433.000000,-23442465027.000000,99594.000000,-23442365433.000000
12M 2024,117388396257.000000,-44131870630.000000,73256525627.000000,-55236315428.000000,-51528308637.000000,-3708006791.000000,-55236315428.000000,18020210199.000000,-89932648768.000000,-15133109477.000000,,3962934553.000000,,,-2766987095.000000,-75995486749.000000,-89932648768.000000,-71912438569.000000,-32407333950.000000,,-32407333950.000000,-32407333950.000000,-104319772519.000000,,-104319772519.000000,16392441384.000000,16392441384.000000,16392441384.000000,-87927331135.000000,-104319772519.000000,-104319718661.000000,-53858.000000,-104319772519.000000,-87927331135.000000,-87927275647.000000,-55488.000000,-87927331135.000000
