Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Piutang Lain-Lain,Properti Investasi,Aset Tetap,Tanah Untuk Dikembangkan,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,467847984.000000,,90000000.000000,90000000.000000,90000000.000000,,,1421200448.000000,1979048432.000000,,,,,27339271.000000,,,2226647.000000,,29565918.000000,2008614350.000000,,,923174795.000000,,,89100000.000000,89100000.000000,,,800000000.000000,800000000.000000,20274775.000000,13800020.000000,,,,,,,923174795.000000,17813179.000000,,,,,,,,,17813179.000000,17813179.000000,940987974.000000,,500000000.000000,,146416228.000000,,,146416228.000000,375413.000000,67704577.000000,714496218.000000,1655484192.000000,1000000.000000
12M 2011,,,31676855128.000000,,308820000.000000,308820000.000000,308820000.000000,378831000.000000,1141708114853.000000,15190812388.000000,1189263433369.000000,,909647542332.000000,,,2892505922.000000,,,5109412.000000,549692851.000000,913094850517.000000,2102358283886.000000,,,751851783234.000000,96000000000.000000,,10281103639.000000,10281103639.000000,,,596340000000.000000,596340000000.000000,269970899.000000,564953555.000000,,9407802853.000000,,,9407802853.000000,38987952288.000000,751851783234.000000,147744451259.000000,,144828197147.000000,,,,144828197147.000000,,,2916254112.000000,147744451259.000000,899596234493.000000,,1200000000000.000000,,607749207.000000,,,607749207.000000,2024682133.000000,129618053.000000,1202762049393.000000,2102358283886.000000,2400000000.000000
12M 2012,,,21122803896.000000,86700000000.000000,15835330787.000000,15835330787.000000,15835330787.000000,65199200.000000,661171757454.000000,74149326122.000000,859044417459.000000,,981731878656.000000,,865603021639.000000,3017303313.000000,,,63541955.000000,556794132.000000,1850972539695.000000,2710016957154.000000,,,349014581539.000000,103245833000.000000,,21420183264.000000,21420183264.000000,,30523110.000000,137870000000.000000,137900523110.000000,1551040996.000000,5225003260.000000,,57544369222.000000,,,57544369222.000000,22127628687.000000,349014581539.000000,521138290713.000000,,515299101330.000000,,,,515299101330.000000,,,5839189383.000000,521138290713.000000,870152872252.000000,,1800000000000.000000,12000000000.000000,25376972522.000000,,,25376972522.000000,2449150132.000000,37962248.000000,1839864084902.000000,2710016957154.000000,18000000000.000000
12M 2013,,,48224476329.000000,,14813132147.000000,14813132147.000000,14813132147.000000,15100837.000000,715513881187.000000,41729680433.000000,820296270933.000000,,916904606394.000000,,1212056570666.000000,5423264519.000000,,,,328425400.000000,2134712866979.000000,2955009137912.000000,,,458123430162.000000,19891937223.000000,,25128470674.000000,25128470674.000000,,475147253.000000,133201795128.000000,133676942381.000000,20087585717.000000,17390224344.000000,,144012489476.000000,,,144012489476.000000,97935780347.000000,458123430162.000000,646594947705.000000,,636173896732.000000,,,,636173896732.000000,,,10421050973.000000,646594947705.000000,1104718377867.000000,,1802677400000.000000,12267740000.000000,31743165106.000000,,,31743165106.000000,3320565540.000000,281889399.000000,1850290760045.000000,2955009137912.000000,18026774000.000000
12M 2014,,,40808955957.000000,,17000657945.000000,17000657945.000000,17000657945.000000,339360993.000000,660369138542.000000,45880971501.000000,764399084938.000000,,879551536008.000000,,1213796987623.000000,178030522296.000000,,,,1422644803.000000,2272801690730.000000,3037200775668.000000,,,718140790119.000000,55689468588.000000,,44212522020.000000,44212522020.000000,,1337816248.000000,300237196971.000000,301575013219.000000,40659206417.000000,10588970208.000000,,123478948495.000000,,,123478948495.000000,141936661172.000000,718140790119.000000,578798557659.000000,,555488178249.000000,,,,555488178249.000000,,,23310379410.000000,578798557659.000000,1296939347778.000000,,1802979400000.000000,12207424465.000000,-76856200384.000000,1000000000.000000,-77856200384.000000,-76856200384.000000,1598799730.000000,332004079.000000,1740261427890.000000,3037200775668.000000,18029794000.000000
12M 2015,,,655705859259.000000,,22532582669.000000,22532582669.000000,22532582669.000000,327531508995.000000,133690752608.000000,278312643217.000000,1417773346748.000000,,71663996383.000000,,1474423282306.000000,173844866028.000000,,,119163289.000000,3841002100.000000,1723892310106.000000,3141665656854.000000,,,229453786969.000000,9885027071.000000,,32222839030.000000,32222839030.000000,,3351975460.000000,,3351975460.000000,12041511941.000000,13458215800.000000,,18625000000.000000,,,18625000000.000000,139869217667.000000,229453786969.000000,153735011733.000000,,119125000000.000000,,,,119125000000.000000,,,34610011733.000000,153735011733.000000,383188798702.000000,,2219887180400.000000,51195761832.000000,-92686037910.000000,1000000000.000000,-93686037910.000000,-92686037910.000000,381964392821.000000,198115561009.000000,2758476858152.000000,3141665656854.000000,22198871804.000000
12M 2016,,,956494000444.000000,,38060365547.000000,38060365547.000000,38060365547.000000,276077464487.000000,149611179152.000000,67833325853.000000,1488076335483.000000,,71663996383.000000,,1960938287547.000000,168196179567.000000,,6794184217.000000,5281619.000000,96308998497.000000,2303906927830.000000,3791983263313.000000,,,177585329487.000000,,,12767452816.000000,12767452816.000000,,2809487129.000000,1627500000.000000,4436987129.000000,10672639913.000000,43204779357.000000,,35085871642.000000,88570686.000000,131706051.000000,35306148379.000000,71197321893.000000,177585329487.000000,640715867576.000000,,508905541526.000000,,29086475.000000,107203336.000000,509041831337.000000,,,131674036239.000000,640715867576.000000,818301197063.000000,,2219887180400.000000,51716658881.000000,-143983342749.000000,1000000000.000000,-144983342749.000000,-143983342749.000000,858117018053.000000,-12055448335.000000,2973682066250.000000,3791983263313.000000,22198871804.000000
12M 2017,,,1466105083537.000000,,50293751731.000000,50293751731.000000,50293751731.000000,273924683770.000000,34052916014.000000,81833020552.000000,1906209455604.000000,,,,2312480109434.000000,224897744357.000000,171340664707.000000,11280816418.000000,1870090642.000000,264154835168.000000,2986024260726.000000,4892233716330.000000,,,269978687416.000000,,,30894706828.000000,30894706828.000000,,19179719370.000000,1627500000.000000,20807219370.000000,13983277596.000000,37037082790.000000,,68617708838.000000,246975601.000000,36219071.000000,68900903510.000000,98355497322.000000,269978687416.000000,966521117697.000000,,716549011642.000000,,,256041000.000000,716805052642.000000,,,249716065055.000000,966521117697.000000,1236499805113.000000,,2219887180400.000000,51716658881.000000,-151862494225.000000,1000000000.000000,-152862494225.000000,-151862494225.000000,1551464330784.000000,-15471764623.000000,3655733911217.000000,4892233716330.000000,22198871804.000000
12M 2018,,,2988978222845.000000,,52152683517.000000,52152683517.000000,52152683517.000000,457692784047.000000,48745054636.000000,137620278701.000000,3685189023746.000000,,,,3214890201759.000000,232694093339.000000,171340664707.000000,15613056671.000000,,235978360290.000000,3870516376766.000000,7555705400512.000000,,,550412311053.000000,,,39162167758.000000,39162167758.000000,,185807963994.000000,,185807963994.000000,18686075376.000000,78280927869.000000,,98799913104.000000,108598000.000000,,98908511104.000000,129566664952.000000,550412311053.000000,890276626273.000000,,747456073977.000000,,,150093000.000000,747606166977.000000,,2768845563.000000,139901613733.000000,890276626273.000000,1440688937326.000000,,2219887180400.000000,51501761546.000000,-205274693544.000000,1000000000.000000,-206274693544.000000,-205274693544.000000,4064001245981.000000,-15099031197.000000,6115016463186.000000,7555705400512.000000,22198871804.000000
12M 2019,,,2384940859916.000000,,69002637853.000000,69002637853.000000,69002637853.000000,6236810186.000000,45717884332.000000,508173480757.000000,3014071673044.000000,,,,4323932485366.000000,249590436602.000000,171340664707.000000,24302345160.000000,,455597447636.000000,5224763379471.000000,8238835052515.000000,,,561228670238.000000,,,77635098518.000000,77635098518.000000,,44403132302.000000,,44403132302.000000,13623634590.000000,128397408430.000000,,168629422816.000000,108598000.000000,,168738020816.000000,128431375582.000000,561228670238.000000,1239286127655.000000,,1057101536674.000000,,,44145000.000000,1057145681674.000000,,4187282478.000000,177953163503.000000,1239286127655.000000,1800514797893.000000,,2219887180400.000000,51501761546.000000,-225722530778.000000,1000000000.000000,-226722530778.000000,-225722530778.000000,4099369144011.000000,293284699443.000000,6438320254622.000000,8238835052515.000000,22198871804.000000
