Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(10 B),(110 B),(120 B),-49.92
12M 2012,(5 B),(498 B),(503 B),-27.95
12M 2013,207 B,(452 B),(245 B),-13.62
12M 2014,63 B,(173 B),(109 B),-6.07
12M 2015,230 B,(453 B),(223 B),-10.05
12M 2016,16 B,(204 B),(188 B),-8.46
12M 2017,36 B,(161 B),(125 B),-5.62
12M 2018,(1 B),(236 B),(237 B),-10.68
12M 2019,(2 B),(770 B),(772 B),-34.76
12M 2020,(301 B),(610 B),(911 B),-41.05
12M 2021,(296 B),(473 B),(769 B),-34.62
12M 2022,33 B,(458 B),(425 B),-19.13
12M 2023,40 B,"(1,228 B)","(1,188 B)",-53.51
12M 2024,(170 B),"(1,045 B)","(1,215 B)",-54.72
