Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Untuk:,Pemasok,Gaji Dan Tunjangan Karyawan,Beban Usaha Lainnya,Total Pembayaran Untuk:,Pembayaran Pajak,Penerimaan Atas Taksiran Tagihan Pajak,Penerimaan Atas Uang Muka Klaim Asuransi,Restitusi Pajak,Pembayaran Uang Muka Pemulihan Bencana,Pembayaran Atas Surat Tagihan Pajak (,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Pembayaran Beban Keuangan Lainnya,Penerimaan Penghasilan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Penerimaan Dari Transaksi Penjualan Dan Penyewaan Kembali Aset,Kenaikan Uang Muka,Penambahan Aset Keuangan Lancar Lainnya,Penambahan Properti Investasi,Rugi Kurs Atas Kontrak Forward,Perolehan Aset Tetap,Perolehan Entitas Anak,Hasil Penjualan Aset Tetap,Pelepasan Saham Entitas Anak,Pengembalian Uang Muka Pembelian Tanah,Pembayaran Untuk Tanah Dalam Pengembangan,Penambahan Uang Pembelian Tanah,Pembayaran Untuk Uang Muka Pembelian Saham,Pendirian Entitas Anak,Penempatan (Pencairan) Refundable Deposit,Penempatan Kas Yang Dibatasi Penggunaannya,Pelunasan Atas Penjualan Entitas Anak,Pelunasan Utang Atas Akuisisi Entitas Anak,Penambahan Aset Tidak Berwujud,Hasil Penjualan Investasi Tersedia Dijual,Penempatan Deposito Berjangka,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Uang Muka Aset Real Estat Dan Properti Investasi,Akuisisi Unit Bisnis,Akuisisi Bisnis,Akuisisi Entitas Anak,Perolehan Aset Real Estat,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Penerimaan Surat Utang Jangka Menengah,Penerimaan Pinjaman Dari Lembaga Keuangan,Penerimaan Atas Pinjaman Kepada Pihak Ketiga,Pelepasan Saham Entitas Anak,Akuisisi Unit Bisnis,Penerimaan Pelaksanaan Waran,Akuisisi Kepentingan Non Pengendali Atas Entitas Anak,Kenaikan Aset Iain-Lain,Penerimaan Obligasi Konversi,Pembayaran Utang Bank,Penambahan Modal Entitas Anak,Penurunan/Kenaikan Utang Dari Pihak Berelasi,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya,Divestasi Entitas Anak,Penerimaan Kas Pinjaman Konversi,Penerimaan (Pembayaran) Liabilitas Sewa,Pelunasan Utang Pembiayaan,Pelunasan Utang Pihak Berelasi,Pembayaran Biaya Transaksi,Penambahan Aset Yang Terkait Program Pengampunan Pajak,Pendirian Entitas Anak,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penerbitan Saham Entitas Anak,Penerimaan Setoran Modal,Pembayaran Emisi Saham,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Bank Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2011,-9981857902.000000,2880355400.000000,,-3308205950.000000,-549625000.000000,-129665832.000000,-3987496782.000000,-8874819895.000000,,,,,,,-761236.000000,864611.000000,-9981857902.000000,-1469624297500.000000,,,,,,,-2774800000.000000,-1359806497500.000000,,,,,,,,,,,,,,,,,,,,-107043000000.000000,-1469624297500.000000,1494492149743.000000,,,,,,,,,-547850257.000000,,,,445540000000.000000,,,,,,,,,,,,1199500000000.000000,,-150000000000.000000,1494492149743.000000,14885994341.000000,467847984.000000,,16323012803.000000,31676855128.000000
12M 2012,-4991059013.000000,61889084049.000000,,-41719646370.000000,-7745425741.000000,-10133840557.000000,-59598912668.000000,-2426097979.000000,,,,,,,-5559747178.000000,704614763.000000,-4991059013.000000,-585020295771.000000,,,,,-339484557333.000000,,-638997485.000000,-148000000.000000,,,,,,,,,,,,,,-86700000000.000000,,-52405800417.000000,,,,-105642940536.000000,-585020295771.000000,579383303552.000000,515114833000.000000,,,,,,,,,,-89261529448.000000,,-458470000000.000000,,,,,,,,,,,,630000000000.000000,-18000000000.000000,,579383303552.000000,-10628051232.000000,31676855128.000000,,74000000.000000,21122803896.000000
12M 2013,206688043383.000000,344748103782.000000,,-41255016838.000000,-12703201158.000000,-27679169581.000000,-81637387577.000000,-20094829025.000000,,,,,,,-36586611610.000000,258767813.000000,206688043383.000000,-301914825957.000000,86700000000.000000,64100000000.000000,,,-386425205867.000000,,-3135589029.000000,-31250000.000000,,,,,,,-500000000.000000,,,,,,,,,,,,,-62622781061.000000,-301914825957.000000,122265955007.000000,471771755892.000000,,,,,,2945140000.000000,,,,-347782736013.000000,,-4668204872.000000,,,,,,,,,,,,,,,122265955007.000000,27039172433.000000,21122803896.000000,,62500000.000000,48224476329.000000
12M 2014,63457416294.000000,297094779490.000000,,-52201891719.000000,-31939934351.000000,-41889913262.000000,-126031739332.000000,-6481979510.000000,,,,,,,-101361750977.000000,238106623.000000,63457416294.000000,-172818810410.000000,,,,,-148600817480.000000,,-8141256030.000000,,,,,,,,,,,,,,,,,,,,,-16076736900.000000,-172818810410.000000,101945873744.000000,311397555221.000000,,,,,,332200000.000000,,,,-376819283320.000000,,167035401843.000000,,,,,,,,,,,,,,,101945873744.000000,-7415520372.000000,48224476329.000000,,,40808955957.000000
12M 2015,230128656094.000000,502882301143.000000,,-114926278682.000000,-45360475648.000000,-68384122865.000000,-228670877195.000000,-25853584751.000000,,,,,,,-29459563209.000000,11230380106.000000,230128656094.000000,-671052451366.000000,,,,,-412477687221.000000,,-8113652038.000000,78536668.000000,,,,,-215260892100.000000,,-2475000000.000000,,,,,,,,,,,,-200000000.000000,-32603756675.000000,-671052451366.000000,1052473358436.000000,,,,,,,458598558440.000000,,,,-587021568261.000000,,-300237196971.000000,,1481133565228.000000,,,,,,,,,,,,,1052473358436.000000,611549563164.000000,40808955957.000000,,3347340138.000000,655705859259.000000
12M 2016,15947705382.000000,275493640095.000000,,-122619455984.000000,-59896747196.000000,-69291592060.000000,-251807795240.000000,51114758951.000000,,,,,,,-34210524525.000000,-24642373899.000000,15947705382.000000,-371388626806.000000,,,,,-183264472270.000000,,-3864586959.000000,,,,,,,,,,,52791375482.000000,-11100000000.000000,-6120720513.000000,,,,,-209287000000.000000,,,-10543222546.000000,-371388626806.000000,659271421710.000000,547300976181.000000,,,,,,,,,,-147635027071.000000,,,,,,,,,,635000000.000000,,,258970472600.000000,,,,659271421710.000000,303830500286.000000,652663500158.000000,,,956494000444.000000
12M 2017,35951278367.000000,378837845004.000000,,-126846742963.000000,-82151721295.000000,-76459966201.000000,-285458430459.000000,49360245521.000000,,,,,,,-71537439736.000000,-35250941963.000000,35951278367.000000,-472267539515.000000,,,,,-149723842422.000000,,-6541379210.000000,,,,,,-141975214436.000000,-20000000000.000000,,,,1440189403.000000,-697398000.000000,-4523537937.000000,,,,,-150246356913.000000,,,,-472267539515.000000,945927344241.000000,324357650000.000000,,,,,,,,,,-191105067164.000000,,,,,669601976342.000000,,-322638875.000000,,,,,,143395423938.000000,,,,945927344241.000000,509611083093.000000,956494000444.000000,,,1466105083537.000000
12M 2018,-1042474711.000000,466875895853.000000,,-158849486959.000000,-115132561681.000000,-87879664726.000000,-361861713366.000000,55881146715.000000,,,,,,-22932143758.000000,-95555635323.000000,-43450024832.000000,-1042474711.000000,-640921420431.000000,,,,,-216726763082.000000,,-17591105087.000000,,,,,,-106346672997.000000,,,,,,,-1834187315.000000,,,-298422691950.000000,,,,,,-640921420431.000000,2240378248656.000000,85000000000.000000,,,,,,,,,,-92286089097.000000,,-27681431500.000000,-11402284144.000000,,,,-251496601.000000,,,,,-1328850002.000000,2288328400000.000000,,,,2240378248656.000000,1598414353514.000000,1466105083537.000000,-75541214206.000000,,2988978222845.000000
12M 2019,-1936188764.000000,529062711596.000000,,-222372732960.000000,-117300084340.000000,-159647479775.000000,-499320297075.000000,73059582791.000000,22752677788.000000,19075967957.000000,,,-1163575049.000000,,-96709502439.000000,-48693754333.000000,-1936188764.000000,-1168381784661.000000,37746550000.000000,,,,-678554136948.000000,,-22781013129.000000,,340000000.000000,,,,-136846788440.000000,,,-86027623500.000000,,,,-10916944389.000000,,,,-57550993402.000000,,-213790834853.000000,,,-1168381784661.000000,655703477309.000000,871666666667.000000,,,,,,,-2000000.000000,,,-487977122958.000000,,,-33396188757.000000,,,,-105948000.000000,,-20046776227.000000,,,,325564846584.000000,,,,655703477309.000000,-514614496116.000000,2988978222845.000000,-89422866813.000000,,2384940859916.000000
12M 2020,-301475868298.000000,358889362243.000000,,-345647315668.000000,-112142172902.000000,-40053166751.000000,-497842655321.000000,-57070273296.000000,2274200000.000000,,,,,,-162819390063.000000,55092888139.000000,-301475868298.000000,-2199095118250.000000,,,,,-552025289239.000000,-104400050000.000000,-15655647174.000000,,,,,,-15989117162.000000,,,86027623500.000000,,,,-6189145406.000000,,,,-36018499268.000000,,-1554844993501.000000,,,-2199095118250.000000,1666818741950.000000,2268541355906.000000,,,,,,,,,,-145023865365.000000,,,-386864838483.000000,,,-2539141300.000000,-114777000.000000,,-67179991808.000000,,,,,,,,1666818741950.000000,-833752244598.000000,2384940859916.000000,111701114026.000000,,1662889729344.000000
