Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,218871666.67,0.00,218871666.67,219 B,2 B,221 B,160 B,101 B
12M 2010,0.00,227.67,0.00,227.67,294 B,2 B,295 B,174 B,410 B
12M 2011,0.00,122.92,0.00,122.92,491 B,61 B,553 B,289 B,432 B
12M 2012,2.62,206.36,2.62,206.36,155 B,22 B,177 B,(218 B),986 B
12M 2013,2.45,253.36,2.87,216.29,"1,449 B",27 B,"1,476 B",983 B,815 B
12M 2014,2.62,354.79,2.85,325.98,"1,736 B",17 B,"1,753 B","1,115 B","1,975 B"
12M 2015,1.95,395.15,2.42,317.73,438 B,"3,018 B","3,456 B","2,283 B","5,107 B"
12M 2016,1.92,445.99,2.32,369.23,511 B,"3,702 B","4,214 B","3,146 B","6,225 B"
12M 2017,2.06,484.27,2.45,408.87,"1,719 B","3,060 B","4,779 B","3,906 B","5,966 B"
12M 2018,1.77,531.41,2.06,456.01,857 B,"2,901 B","3,759 B","3,340 B","6,149 B"
12M 2019,-1.33,-225.00,-1.33,-225.00,"3,390 B",606 B,"3,996 B","3,558 B","(2,682 B)"
12M 2020,-0.21,-567.03,-0.21,-567.03,"3,483 B",498 B,"3,981 B","3,951 B","(3,764 B)"
12M 2021,-0.21,-581.50,-0.21,-581.50,580 B,"3,417 B","3,997 B","3,985 B",(916 B)
12M 2022,-0.08,-630.29,-0.08,-630.29,89 B,"3,933 B","4,022 B","4,017 B",(669 B)
12M 2023,-0.08,-642.20,-0.08,-642.20,"3,186 B",839 B,"4,026 B","4,022 B","(3,869 B)"
