Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kepada Karyawan Dan Beban Usaha Lainnya,Penerimaan Taksiran Tagihan Pajak,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Penerimaan Kas Operasi Lainnya,Penerimaan Bunga,Pembayaran Untuk Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penurunan (Kenaikan) Aset Lain-Lain,Pencairan Pada Deposito Dan Bank Garansi,Penempatan Pada Deposito Dan Bank Garansi,Penjualan Investasi,Perolehan Investasi Entitas Asosiasi,Pembayaran Atas Pembelian Saham Entitas Anak,Penurunan Piutang Lain-Lain,Investasi Pada Entitas Sepengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Perolehan Utang Bank,Perolehan Utang Bank Jangka Panjang,Perolehan Utang Bank Jangka Pendek,Investasi Pada Entitas Asosiasi,Penambahan Modal Saham,Penambahan Modal Saham Melalui Penawaran Umum Perdana,Penambahan Modal Saham Melalui Pelaksanaan Waran,Penerimaan Dari Penambahan Kepemilikan Dari Non-Pengendali,Pembayaran Deviden,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non Pengendali,Penambahan Agio Saham,Penambahan Agio Saham Dari Penawaran Umum Perdana,Penambahan Agio Saham Dari Pelaksanaan Waran,Pembayaran Utang Angsuran Pembelian Aset Tetap,Penurunan (Kenaikan) Piutang Lain-Lain Kepada Pihak Berelasi,Penurunan (Kenaikan) Utang Lain-Lain,Penerimaan Utang Pihak Berelasi,Tambahan Modal Saham Pada Entitas Anak,Akuisisi Entitas Anak Oleh Pemegang Saham Minoritas,Penambahan Kepentingan Non Pengendali Atas Pendirian Entitas Anak Baru,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Pencairan Pada Dana Yang Dibatasi Penggunaannya,Penempatan Pada Dana Yang Dibatasi Penggunaannya,Pembayaran Biaya Provisi Untuk Pinjaman Bank Sindikasi,Penerimaan Dana Dari Penerbitan Obligasi,Pembayaran Dana Terkait Penerbitan Obligasi,Pembayaran Utang Obligasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Akuisisi Entitas Anak,Kas Dan Bank Entitas Anak Saat Akuisisi,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,-128279000000.000000,5972142000000.000000,-5977760000000.000000,-89438000000.000000,,,-18043000000.000000,,10911000000.000000,929000000.000000,-27020000000.000000,-128279000000.000000,-15350000000.000000,,-16435000000.000000,486000000.000000,,,599000000.000000,,,,,-15350000000.000000,204520000000.000000,-100497000000.000000,,,175000000000.000000,,,,199400000000.000000,,,,,,,,,-2415000000.000000,-75979000000.000000,,,9000000000.000000,11000000.000000,,,,,,,,,,,204520000000.000000,60891000000.000000,,,60395000000.000000,,121286000000.000000
12M 2011,-91048000000.000000,6880914000000.000000,-6816075000000.000000,-120605000000.000000,,,-14147000000.000000,,14821000000.000000,1065000000.000000,-37021000000.000000,-91048000000.000000,-272911000000.000000,,-27566000000.000000,-46145000000.000000,,,750000000.000000,,-199950000000.000000,,,-272911000000.000000,505997000000.000000,-299457000000.000000,,,555000000000.000000,,,,100000000000.000000,,,,,,,,,-6589000000.000000,157043000000.000000,,,,,,,,,,,,,,,505997000000.000000,142038000000.000000,,,121286000000.000000,,263324000000.000000
12M 2012,125540000000.000000,8181620000000.000000,-7751261000000.000000,-164578000000.000000,,,-143867000000.000000,,29822000000.000000,2540000000.000000,-28736000000.000000,125540000000.000000,-17858000000.000000,1956000000.000000,-20964000000.000000,1150000000.000000,,,,,,,,-17858000000.000000,23841000000.000000,-1534746000000.000000,,,1156000000000.000000,,,,,135000000000.000000,1702000000.000000,,,,,271991000000.000000,3573000000.000000,-16150000000.000000,6471000000.000000,,,,,,,,,,,,,,,23841000000.000000,131523000000.000000,,,263324000000.000000,,394847000000.000000
12M 2013,-663399000000.000000,9603760000000.000000,-9744246000000.000000,-342184000000.000000,,,-140201000000.000000,,14494000000.000000,16335000000.000000,-71357000000.000000,-663399000000.000000,-522963000000.000000,15489000000.000000,-63663000000.000000,,-208291000000.000000,,,,-266498000000.000000,,,-522963000000.000000,1284430000000.000000,-8104961000000.000000,,,9407699000000.000000,,,,,,10549000000.000000,,-48645000000.000000,,,,22153000000.000000,-3465000000.000000,1100000000.000000,,,,,,,,,,,,,,,1284430000000.000000,98068000000.000000,,,394847000000.000000,,492915000000.000000
12M 2014,-968790000000.000000,14248269000000.000000,-14571356000000.000000,-434267000000.000000,,,-115502000000.000000,,24800000000.000000,23942000000.000000,-144676000000.000000,-968790000000.000000,29994000000.000000,8481000000.000000,-14304000000.000000,,37567000000.000000,,,-1750000000.000000,,,,29994000000.000000,1083620000000.000000,,-7380000000.000000,,,300000000.000000,292042000000.000000,,,518238000000.000000,288762000000.000000,,,-54000000.000000,,,,-8983000000.000000,,,,,,695000000.000000,,,,,,,,,,1083620000000.000000,144824000000.000000,,,492915000000.000000,,637739000000.000000
12M 2015,-851521000000.000000,21416576000000.000000,-21653130000000.000000,-250062000000.000000,,,-125386000000.000000,,31670000000.000000,13654000000.000000,-284843000000.000000,-851521000000.000000,-162228000000.000000,7276000000.000000,-17559000000.000000,,215541000000.000000,,,,-367486000000.000000,,,-162228000000.000000,1548838000000.000000,,-7460000000.000000,,,2499630000000.000000,-1300255000000.000000,,,,24458000000.000000,,-71194000000.000000,,,,,-5333000000.000000,,,,,,,,,,-64211000000.000000,-18747000000.000000,500000000000.000000,-8050000000.000000,,,1548838000000.000000,535089000000.000000,,,637739000000.000000,,1172828000000.000000
12M 2016,-766559000000.000000,26777594000000.000000,-26511672000000.000000,-648251000000.000000,,,-131256000000.000000,,129404000000.000000,7548000000.000000,-389926000000.000000,-766559000000.000000,-30253000000.000000,11880000000.000000,-22133000000.000000,,-20000000000.000000,,,,,,,-30253000000.000000,692639000000.000000,,-6282000000.000000,-1137178000000.000000,,,1213000000000.000000,,,,18962000000.000000,,-92602000000.000000,,,,,-7286000000.000000,,,,,,,,,9275000000.000000,,,700000000000.000000,-5250000000.000000,,,692639000000.000000,-104173000000.000000,-544000000.000000,,1172828000000.000000,,1068111000000.000000
12M 2017,-582558000000.000000,27880413000000.000000,-27471671000000.000000,-669057000000.000000,,,-194344000000.000000,,328944000000.000000,20426000000.000000,-477269000000.000000,-582558000000.000000,10134000000.000000,298000000.000000,-10164000000.000000,,20000000000.000000,,,,,,,10134000000.000000,376761000000.000000,,-2515612000000.000000,-400000000000.000000,,2509964000000.000000,499847000000.000000,,,,39932000000.000000,,-116975000000.000000,,,,,-6903000000.000000,,,,,,,,,6379000000.000000,,-44687000000.000000,745500000000.000000,-6684000000.000000,-334000000000.000000,,376761000000.000000,-195663000000.000000,381000000.000000,,1068111000000.000000,,872829000000.000000
12M 2018,632718000000.000000,29027920000000.000000,-27317747000000.000000,-696465000000.000000,,,-150058000000.000000,,133683000000.000000,3953000000.000000,-368568000000.000000,632718000000.000000,-14291000000.000000,774000000.000000,-15065000000.000000,,,,,,,,,-14291000000.000000,-1142332000000.000000,,-4560000000.000000,-2441847000000.000000,,,2342000000000.000000,,,,,,-36555000000.000000,,,,,-3085000000.000000,,,,,,,,,16215000000.000000,,,,,-1014500000000.000000,,-1142332000000.000000,-523905000000.000000,69355000000.000000,,872829000000.000000,,418279000000.000000
12M 2019,-174333000000.000000,31344712000000.000000,-24942301000000.000000,-233987000000.000000,,,-97900000000.000000,,-5883111000000.000000,994000000.000000,-362740000000.000000,-174333000000.000000,-520000000.000000,1768000000.000000,-2288000000.000000,,,,,,,,,-520000000.000000,155089000000.000000,,-107878000000.000000,-1709500000000.000000,,,1689500000000.000000,,,,,,-39798000000.000000,,,,,-1951000000.000000,,,,,,,,,31996000000.000000,,,553000000000.000000,-4280000000.000000,-256000000000.000000,,155089000000.000000,-19764000000.000000,,,418279000000.000000,39705000000.000000,438220000000.000000
