Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,6191395000000.000000,-5911118000000.000000,280277000000.000000,-113048000000.000000,,,,-113048000000.000000,167229000000.000000,-12165000000.000000,929000000.000000,3015000000.000000,-27020000000.000000,10911000000.000000,-12165000000.000000,155064000000.000000,-39976000000.000000,-40493000000.000000,517000000.000000,-39976000000.000000,115088000000.000000,-68687000000.000000,46401000000.000000,,,46401000000.000000,46401000000.000000,46330000000.000000,71000000.000000,46401000000.000000,46401000000.000000,46330000000.000000,71000000.000000,46401000000.000000
12M 2011,6988245000000.000000,-6581776000000.000000,406469000000.000000,-178742000000.000000,,,,-178742000000.000000,227727000000.000000,-21135000000.000000,1065000000.000000,,-37021000000.000000,14821000000.000000,-21135000000.000000,206592000000.000000,-53717000000.000000,-55412000000.000000,1695000000.000000,-53717000000.000000,152875000000.000000,-6058000000.000000,146817000000.000000,,,146817000000.000000,146817000000.000000,146797000000.000000,20000000.000000,146817000000.000000,146817000000.000000,146797000000.000000,20000000.000000,146817000000.000000
12M 2012,8194499000000.000000,-7742184000000.000000,452315000000.000000,-154029000000.000000,-141885000000.000000,-41488000000.000000,29344000000.000000,-154029000000.000000,298286000000.000000,-26195000000.000000,2541000000.000000,,-28736000000.000000,,-26195000000.000000,272091000000.000000,-68467000000.000000,-70392000000.000000,1925000000.000000,-68467000000.000000,203624000000.000000,,203624000000.000000,,,203624000000.000000,203624000000.000000,203602000000.000000,22000000.000000,203624000000.000000,203624000000.000000,203602000000.000000,22000000.000000,203624000000.000000
12M 2013,10484625000000.000000,-9856140000000.000000,628485000000.000000,-180033000000.000000,-162283000000.000000,-29179000000.000000,11429000000.000000,-180033000000.000000,448452000000.000000,-55022000000.000000,16335000000.000000,,-71357000000.000000,,-55022000000.000000,393430000000.000000,-98524000000.000000,-98949000000.000000,425000000.000000,-98524000000.000000,294906000000.000000,,294906000000.000000,,,294906000000.000000,294906000000.000000,294901000000.000000,5000000.000000,294906000000.000000,294906000000.000000,294901000000.000000,5000000.000000,294906000000.000000
12M 2014,14589691000000.000000,-13770529000000.000000,819162000000.000000,-286512000000.000000,-270793000000.000000,-40930000000.000000,25211000000.000000,-286512000000.000000,532650000000.000000,-120734000000.000000,23942000000.000000,,-144676000000.000000,,-120734000000.000000,411916000000.000000,-107148000000.000000,-110956000000.000000,3808000000.000000,-107148000000.000000,304768000000.000000,,304768000000.000000,50000000.000000,,304818000000.000000,304768000000.000000,304875000000.000000,-107000000.000000,304768000000.000000,304818000000.000000,304915000000.000000,-97000000.000000,304818000000.000000
12M 2015,22039666000000.000000,-20832146000000.000000,1207520000000.000000,-431254000000.000000,-388888000000.000000,-69134000000.000000,26768000000.000000,-431254000000.000000,776266000000.000000,-275542000000.000000,13654000000.000000,,-289196000000.000000,,-275542000000.000000,500724000000.000000,-130075000000.000000,-132254000000.000000,2179000000.000000,-130075000000.000000,370649000000.000000,,370649000000.000000,-7244000000.000000,,363405000000.000000,370649000000.000000,370351000000.000000,298000000.000000,370649000000.000000,363405000000.000000,363091000000.000000,314000000.000000,363405000000.000000
12M 2016,27310057000000.000000,-25729180000000.000000,1580877000000.000000,-566506000000.000000,-569630000000.000000,-146586000000.000000,149710000000.000000,-566506000000.000000,1014371000000.000000,-379923000000.000000,7549000000.000000,,-387472000000.000000,,-379923000000.000000,634448000000.000000,-165570000000.000000,-166807000000.000000,1237000000.000000,-165570000000.000000,468878000000.000000,,468878000000.000000,-5316000000.000000,,463562000000.000000,468878000000.000000,468188000000.000000,690000000.000000,468878000000.000000,463562000000.000000,462912000000.000000,650000000.000000,463562000000.000000
12M 2017,27914330000000.000000,-26366180000000.000000,1548150000000.000000,-516752000000.000000,-584942000000.000000,-156289000000.000000,224479000000.000000,-516752000000.000000,1031398000000.000000,-470142000000.000000,20426000000.000000,,-490568000000.000000,,-470142000000.000000,561256000000.000000,-143094000000.000000,-146343000000.000000,3249000000.000000,-143094000000.000000,418162000000.000000,,418162000000.000000,-3106000000.000000,,415056000000.000000,418162000000.000000,417597000000.000000,565000000.000000,418162000000.000000,415056000000.000000,414406000000.000000,650000000.000000,415056000000.000000
12M 2018,29343068000000.000000,-27770709000000.000000,1572359000000.000000,-571416000000.000000,-588270000000.000000,-116320000000.000000,133174000000.000000,-571416000000.000000,1000943000000.000000,-390702000000.000000,3953000000.000000,,-394655000000.000000,,-390702000000.000000,610241000000.000000,-165902000000.000000,-165902000000.000000,,-165902000000.000000,444339000000.000000,,444339000000.000000,-62523000000.000000,,381816000000.000000,444339000000.000000,443688000000.000000,651000000.000000,444339000000.000000,381816000000.000000,381187000000.000000,629000000.000000,381816000000.000000
12M 2019,28442132000000.000000,-28066672000000.000000,375460000000.000000,-7051366000000.000000,-533240000000.000000,-84321000000.000000,-6433805000000.000000,-7051366000000.000000,-6675906000000.000000,-389841000000.000000,994000000.000000,,-390835000000.000000,,-389841000000.000000,-7065747000000.000000,1494007000000.000000,1494007000000.000000,,1494007000000.000000,-5571740000000.000000,,-5571740000000.000000,77475000000.000000,,-5494265000000.000000,-5571740000000.000000,-5567865000000.000000,-3875000000.000000,-5571740000000.000000,-5494265000000.000000,-5490320000000.000000,-3945000000.000000,-5494265000000.000000
