Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Utang Obligasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,60395000000.000000,80564000000.000000,,80564000000.000000,80564000000.000000,90102000000.000000,90092000000.000000,10000000.000000,90102000000.000000,106917000000.000000,27489000000.000000,365467000000.000000,,,,225000000.000000,33781000000.000000,,857000000.000000,34863000000.000000,400330000000.000000,,,264598000000.000000,216954000000.000000,,,,,,,,,44323000000.000000,1219000000.000000,,,2102000000.000000,,2102000000.000000,,,264598000000.000000,4301000000.000000,,,1582000000.000000,1582000000.000000,,,,2719000000.000000,4301000000.000000,268899000000.000000,,600000000.000000,,5396000000.000000,,5396000000.000000,5396000000.000000,108000000.000000,125327000000.000000,131431000000.000000,400330000000.000000,600.000000
12M 2010,,,121286000000.000000,301093000000.000000,158369000000.000000,142724000000.000000,301093000000.000000,166080000000.000000,165831000000.000000,249000000.000000,166080000000.000000,138712000000.000000,85521000000.000000,812692000000.000000,,,1100000000.000000,742000000.000000,47483000000.000000,,371000000.000000,49696000000.000000,862388000000.000000,,,402491000000.000000,291456000000.000000,,,14022000000.000000,14022000000.000000,,,,,91712000000.000000,1902000000.000000,,,2123000000.000000,,2123000000.000000,,1276000000.000000,402491000000.000000,4368000000.000000,,,1833000000.000000,1833000000.000000,,,,2535000000.000000,4368000000.000000,406859000000.000000,,200000000000.000000,,51726000000.000000,,51726000000.000000,51726000000.000000,195000000.000000,203608000000.000000,455529000000.000000,862388000000.000000,2000000000.000000
12M 2011,,,263324000000.000000,407148000000.000000,211518000000.000000,195630000000.000000,407148000000.000000,9037000000.000000,7571000000.000000,1466000000.000000,9037000000.000000,275182000000.000000,107084000000.000000,1061775000000.000000,,,,2437000000.000000,77543000000.000000,,47682000000.000000,127662000000.000000,1189437000000.000000,,,629777000000.000000,446766000000.000000,,,2180000000.000000,2180000000.000000,,,,,132977000000.000000,3305000000.000000,,36980000000.000000,7569000000.000000,,44549000000.000000,,,629777000000.000000,67804000000.000000,,54975000000.000000,6416000000.000000,61391000000.000000,,,,6413000000.000000,67804000000.000000,697581000000.000000,,400000000000.000000,,91713000000.000000,100000000.000000,91613000000.000000,91713000000.000000,182000000.000000,-39000000.000000,491856000000.000000,1189437000000.000000,4000000000.000000
12M 2012,,,394847000000.000000,420094000000.000000,170070000000.000000,250024000000.000000,420094000000.000000,1116000000.000000,1100000000.000000,16000000.000000,1116000000.000000,277069000000.000000,109314000000.000000,1202440000000.000000,,,,4362000000.000000,105284000000.000000,,46531000000.000000,156177000000.000000,1358617000000.000000,,,216441000000.000000,105000000000.000000,,263000000.000000,,263000000.000000,,,,,59571000000.000000,1899000000.000000,,39980000000.000000,9728000000.000000,,49708000000.000000,,,216441000000.000000,34430000000.000000,,14995000000.000000,7336000000.000000,22331000000.000000,,,,12099000000.000000,34430000000.000000,250871000000.000000,,536702000000.000000,275564000000.000000,295315000000.000000,100000000.000000,295215000000.000000,295315000000.000000,204000000.000000,-39000000.000000,1107746000000.000000,1358617000000.000000,5367015400.000000
12M 2013,,,492915000000.000000,1300959000000.000000,86963000000.000000,1213996000000.000000,1300959000000.000000,212258000000.000000,,212258000000.000000,212258000000.000000,661328000000.000000,168549000000.000000,2836009000000.000000,,,,5007000000.000000,156187000000.000000,202880000000.000000,255256000000.000000,619330000000.000000,3455339000000.000000,,,2020951000000.000000,1432391000000.000000,,533062000000.000000,,533062000000.000000,1993000000.000000,,,1993000000.000000,33844000000.000000,2727000000.000000,,7380000000.000000,9554000000.000000,,16934000000.000000,,,2020951000000.000000,47676000000.000000,,22942000000.000000,4045000000.000000,26987000000.000000,,,,20689000000.000000,47676000000.000000,2068627000000.000000,,547251000000.000000,297679000000.000000,541571000000.000000,600000000.000000,540971000000.000000,541571000000.000000,211000000.000000,,1386712000000.000000,3455339000000.000000,5472505880.000000
12M 2014,,,637739000000.000000,1642381000000.000000,160508000000.000000,1481873000000.000000,1642381000000.000000,383197000000.000000,,383197000000.000000,383197000000.000000,948683000000.000000,828877000000.000000,4440877000000.000000,,,1750000000.000000,8815000000.000000,144647000000.000000,202880000000.000000,218575000000.000000,576667000000.000000,5017544000000.000000,,,2465590000000.000000,1724433000000.000000,,594745000000.000000,78250000000.000000,672995000000.000000,,10194000000.000000,15400000000.000000,25594000000.000000,28524000000.000000,2228000000.000000,,7460000000.000000,4356000000.000000,,11816000000.000000,,,2465590000000.000000,52783000000.000000,,15782000000.000000,808000000.000000,16590000000.000000,,,,36193000000.000000,52783000000.000000,2518373000000.000000,,704205000000.000000,947725000000.000000,846446000000.000000,1600000000.000000,844846000000.000000,846446000000.000000,755000000.000000,40000000.000000,2499171000000.000000,5017544000000.000000,7042052117.000000
12M 2015,,,1172828000000.000000,2273522000000.000000,53602000000.000000,2219920000000.000000,2273522000000.000000,154964000000.000000,886000000.000000,154078000000.000000,154964000000.000000,1893708000000.000000,869089000000.000000,6364111000000.000000,,,1750000000.000000,11181000000.000000,163629000000.000000,551302000000.000000,36744000000.000000,764606000000.000000,7128717000000.000000,,,1256834000000.000000,424178000000.000000,,670874000000.000000,,670874000000.000000,,11657000000.000000,44000000000.000000,55657000000.000000,56857000000.000000,27763000000.000000,,6282000000.000000,7173000000.000000,,13455000000.000000,,8050000000.000000,1256834000000.000000,3056442000000.000000,,2516862000000.000000,8307000000.000000,2525169000000.000000,,493179000000.000000,,38094000000.000000,3056442000000.000000,4313276000000.000000,,712095000000.000000,964293000000.000000,1151307000000.000000,5600000000.000000,1145707000000.000000,1151307000000.000000,1581000000.000000,-13835000000.000000,2815441000000.000000,7128717000000.000000,7120928117.000000
12M 2016,,,1068111000000.000000,2805520000000.000000,230000000.000000,2805290000000.000000,2805520000000.000000,132856000000.000000,1332000000.000000,131524000000.000000,132856000000.000000,2906541000000.000000,559573000000.000000,7472601000000.000000,,,1751000000.000000,15091000000.000000,152680000000.000000,551302000000.000000,22056000000.000000,742880000000.000000,8215481000000.000000,,,1247690000000.000000,500000000000.000000,,579765000000.000000,7971000000.000000,587736000000.000000,,4059000000.000000,,4059000000.000000,65603000000.000000,71264000000.000000,,4560000000.000000,6883000000.000000,,11443000000.000000,,7585000000.000000,1247690000000.000000,3762428000000.000000,,2501678000000.000000,4444000000.000000,2506122000000.000000,,1191295000000.000000,4753000000.000000,60258000000.000000,3762428000000.000000,5010118000000.000000,,718212000000.000000,977138000000.000000,1519517000000.000000,10600000000.000000,1508917000000.000000,1519517000000.000000,2231000000.000000,-11735000000.000000,3205363000000.000000,8215481000000.000000,7182115317.000000
12M 2017,,,872829000000.000000,2856807000000.000000,61384000000.000000,2795423000000.000000,2856807000000.000000,86970000000.000000,9240000000.000000,77730000000.000000,86970000000.000000,3551469000000.000000,666415000000.000000,8034490000000.000000,,,1457000000.000000,19739000000.000000,135620000000.000000,551302000000.000000,7189000000.000000,715307000000.000000,8749797000000.000000,,,2068709000000.000000,699847000000.000000,,241241000000.000000,15998000000.000000,257239000000.000000,,516000000.000000,,516000000.000000,26386000000.000000,40635000000.000000,,4560000000.000000,3536000000.000000,1011034000000.000000,1019130000000.000000,,24956000000.000000,2068709000000.000000,3137712000000.000000,,2463165000000.000000,1263000000.000000,2464428000000.000000,,593737000000.000000,1497000000.000000,78050000000.000000,3137712000000.000000,5206421000000.000000,,731093000000.000000,1004189000000.000000,1816713000000.000000,15600000000.000000,1801113000000.000000,1816713000000.000000,2881000000.000000,-11500000000.000000,3543376000000.000000,8749797000000.000000,7310929389.000000
12M 2018,,,418279000000.000000,3134303000000.000000,21310000000.000000,3112993000000.000000,3134303000000.000000,69003000000.000000,5429000000.000000,63574000000.000000,69003000000.000000,3518134000000.000000,475464000000.000000,7615183000000.000000,,,727000000.000000,21138000000.000000,127420000000.000000,551302000000.000000,23315000000.000000,723902000000.000000,8339085000000.000000,,,1466633000000.000000,600000000000.000000,,423831000000.000000,,423831000000.000000,,746000000.000000,,746000000.000000,39946000000.000000,42060000000.000000,,,1953000000.000000,255487000000.000000,257440000000.000000,,102610000000.000000,1466633000000.000000,2983815000000.000000,,2561050000000.000000,603000000.000000,2561653000000.000000,,339617000000.000000,,82545000000.000000,2983815000000.000000,4450448000000.000000,,731093000000.000000,1004189000000.000000,2230633000000.000000,20600000000.000000,2210033000000.000000,2230633000000.000000,3510000000.000000,-80788000000.000000,3888637000000.000000,8339085000000.000000,7310929389.000000
