Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Surat Promes,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang Lainnya,Liabilitas Keuangan Lainnya,Liabilitas Pajak Tangguhan,Utang Surat Promes,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,50338271118.000000,29177327295.000000,81094046447.000000,18662066612.000000,62431979835.000000,81094046447.000000,84631094.000000,,19364951451.000000,180059227405.000000,,15498119994.000000,,1085544296497.000000,,46589069315.000000,80123693842.000000,1227755179648.000000,1407814407053.000000,,,509755728150.000000,,6902969116.000000,140143624320.000000,147046593436.000000,254599964019.000000,560267007.000000,33026572271.000000,4011642556.000000,,,32961046352.000000,,32961046352.000000,,37549642509.000000,509755728150.000000,652570897134.000000,,602250000000.000000,41747007968.000000,,643997007968.000000,,,,,,8573889166.000000,652570897134.000000,1162326625284.000000,,414737000000.000000,-1144845814.000000,-159538414775.000000,24804811.000000,-8590762453.000000,245487781769.000000,1407814407053.000000,829474000.000000
12M 2009,,,31719411940.000000,,84679442539.000000,13595385798.000000,71084056741.000000,84679442539.000000,129719834.000000,,109526319284.000000,226054893597.000000,,5440602559.000000,,1148722381077.000000,,22884398379.000000,208258194288.000000,1385305576303.000000,1611360469900.000000,,,883985045468.000000,,5293481661.000000,87023906990.000000,92317388651.000000,266514626338.000000,2708804041.000000,48558204280.000000,8174942204.000000,,94000000000.000000,29541168125.000000,,123541168125.000000,289400000000.000000,52769911829.000000,883985045468.000000,449113081556.000000,,423000000000.000000,11471593575.000000,,434471593575.000000,,,,2342040000.000000,,12299447981.000000,449113081556.000000,1333098127024.000000,,414737000000.000000,-1144845814.000000,-126746810319.000000,7761463.000000,-8590762453.000000,278262342877.000000,1611360469901.000000,829474000.000000
12M 2010,,,68279225486.000000,,113258737194.000000,10896596186.000000,102362141008.000000,113258737194.000000,99718086.000000,,19927900154.000000,201565580920.000000,,2234629073.000000,,1193949987106.000000,121378504272.000000,13988507161.000000,130128255048.000000,1461679882660.000000,1663245463580.000000,,,823812236964.000000,,4098485708.000000,30547743951.000000,34646229659.000000,2342040000.000000,2763801898.000000,61025058927.000000,18536268148.000000,,449550000000.000000,10268788752.000000,,459818788752.000000,224820000000.000000,19860049580.000000,823812236964.000000,65602520535.000000,,20000000000.000000,25069278966.000000,,45069278966.000000,,,,,,20533241569.000000,65602520535.000000,889414757499.000000,,870947700000.000000,-3709941788.000000,-84816289678.000000,,-8590762453.000000,773830706081.000000,1663245463580.000000,1741895400.000000
12M 2011,,,812820000000.000000,,101088000000.000000,2557000000.000000,98531000000.000000,101088000000.000000,16843000000.000000,,281670000000.000000,1212421000000.000000,,415319000000.000000,,1549547000000.000000,110735000000.000000,36574000000.000000,368851000000.000000,2481026000000.000000,3693447000000.000000,,,476057000000.000000,,84811000000.000000,110780000000.000000,195591000000.000000,,1824000000.000000,75608000000.000000,55366000000.000000,,15103000000.000000,813000000.000000,,15916000000.000000,105000000000.000000,26752000000.000000,476057000000.000000,811259000000.000000,,57170000000.000000,2960000000.000000,722310000000.000000,782440000000.000000,,,,,,28819000000.000000,811259000000.000000,1287316000000.000000,,870949000000.000000,-3710000000.000000,-129024000000.000000,647679000000.000000,1020237000000.000000,2406131000000.000000,3693447000000.000000,1741896978.000000
12M 2012,,,848657000000.000000,,106772000000.000000,4661000000.000000,102111000000.000000,106772000000.000000,,,171485000000.000000,1126914000000.000000,,463462000000.000000,12653000000.000000,1980389000000.000000,107090000000.000000,152030000000.000000,464038000000.000000,3179662000000.000000,4306576000000.000000,,,828543000000.000000,,105596000000.000000,230932000000.000000,336528000000.000000,,,110308000000.000000,91567000000.000000,,72459000000.000000,36530000000.000000,55396000000.000000,164385000000.000000,95821000000.000000,29934000000.000000,828543000000.000000,1061432000000.000000,,166898000000.000000,113507000000.000000,729573000000.000000,1009978000000.000000,,7994000000.000000,,,,43460000000.000000,1061432000000.000000,1889975000000.000000,,870949000000.000000,-3710000000.000000,-234186000000.000000,763311000000.000000,1020237000000.000000,2416601000000.000000,4306576000000.000000,1741896978.000000
12M 2013,,,392453000000.000000,,603160000000.000000,2074000000.000000,601086000000.000000,603160000000.000000,,,227968000000.000000,1223581000000.000000,,571707000000.000000,18458000000.000000,2749755000000.000000,115239000000.000000,219874000000.000000,343851000000.000000,4018884000000.000000,5242465000000.000000,,,1606207000000.000000,,153055000000.000000,229708000000.000000,382763000000.000000,,,133419000000.000000,33970000000.000000,,305906000000.000000,53389000000.000000,198011000000.000000,557306000000.000000,12000000000.000000,486749000000.000000,1606207000000.000000,1199504000000.000000,,262799000000.000000,127898000000.000000,736829000000.000000,1127526000000.000000,,8284000000.000000,,,,63694000000.000000,1199504000000.000000,2805711000000.000000,,871084000000.000000,-12220000000.000000,-337561000000.000000,886623000000.000000,1028828000000.000000,2436754000000.000000,5242465000000.000000,1742167907.000000
12M 2014,,,317412000000.000000,,111149000000.000000,18940000000.000000,92209000000.000000,111149000000.000000,,184228000000.000000,865842000000.000000,1478631000000.000000,,584631000000.000000,6200739000000.000000,1957605000000.000000,1711109000000.000000,463649000000.000000,566050000000.000000,11483783000000.000000,12962414000000.000000,,,1459868000000.000000,,277810000000.000000,488776000000.000000,766586000000.000000,,,273089000000.000000,8630000000.000000,,290619000000.000000,24436000000.000000,51273000000.000000,366328000000.000000,7543000000.000000,37692000000.000000,1459868000000.000000,2113669000000.000000,,1477863000000.000000,212375000000.000000,,1690238000000.000000,,26291000000.000000,368778000000.000000,,,28362000000.000000,2113669000000.000000,3573537000000.000000,,871084000000.000000,-12220000000.000000,7394414000000.000000,1135364000000.000000,235000000.000000,9388877000000.000000,12962414000000.000000,1742167907.000000
12M 2015,,,80463000000.000000,,101508000000.000000,12169000000.000000,89339000000.000000,101508000000.000000,,113486000000.000000,910752000000.000000,1206209000000.000000,,646826000000.000000,6417995000000.000000,2806231000000.000000,1193764000000.000000,827656000000.000000,613307000000.000000,12505779000000.000000,13711988000000.000000,,,3121755000000.000000,,97248000000.000000,974040000000.000000,1071288000000.000000,,,470584000000.000000,11419000000.000000,,690309000000.000000,113869000000.000000,370773000000.000000,1174951000000.000000,327205000000.000000,66308000000.000000,3121755000000.000000,2125762000000.000000,,1384473000000.000000,321458000000.000000,,1705931000000.000000,,8434000000.000000,368778000000.000000,,,42619000000.000000,2125762000000.000000,5247517000000.000000,,871084000000.000000,-12220000000.000000,6776980000000.000000,714689000000.000000,113938000000.000000,8464471000000.000000,13711988000000.000000,1742167907.000000
12M 2016,,,98469000000.000000,,93913000000.000000,2926000000.000000,90987000000.000000,93913000000.000000,,40999000000.000000,737932000000.000000,971313000000.000000,,630035000000.000000,6649902000000.000000,2209147000000.000000,927739000000.000000,752855000000.000000,638532000000.000000,11808210000000.000000,12779523000000.000000,,,4110888000000.000000,,91460000000.000000,1119521000000.000000,1210981000000.000000,,,439731000000.000000,14530000000.000000,,1652528000000.000000,120267000000.000000,126307000000.000000,1899102000000.000000,493375000000.000000,53169000000.000000,4110888000000.000000,1429593000000.000000,,863158000000.000000,154669000000.000000,,1017827000000.000000,,6376000000.000000,236238000000.000000,,,169152000000.000000,1429593000000.000000,5540481000000.000000,,871084000000.000000,-7095000000.000000,5985482000000.000000,74301000000.000000,315270000000.000000,7239042000000.000000,12779523000000.000000,1742167907.000000
12M 2017,,,118899000000.000000,,91409000000.000000,11575000000.000000,79834000000.000000,91409000000.000000,,72007000000.000000,603536000000.000000,885851000000.000000,,633700000000.000000,6848695000000.000000,1977900000000.000000,573596000000.000000,791487000000.000000,378244000000.000000,11203622000000.000000,12089473000000.000000,,,4683789000000.000000,,146092000000.000000,1564993000000.000000,1711085000000.000000,,,546984000000.000000,39767000000.000000,,928354000000.000000,80777000000.000000,192376000000.000000,1201507000000.000000,1096438000000.000000,88008000000.000000,4683789000000.000000,1733673000000.000000,,1442357000000.000000,72598000000.000000,,1514955000000.000000,,5773000000.000000,169968000000.000000,,,42977000000.000000,1733673000000.000000,6417462000000.000000,,871084000000.000000,-7095000000.000000,4882467000000.000000,-285120000000.000000,210675000000.000000,5672011000000.000000,12089473000000.000000,1742167907.000000
