Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Izin Wireless Broadband,Pembayaran Untuk Aktivitas Operasi Lainnya,Pembayaran Untuk Beban Usaha,Penerimaan Bunga,Pembayaran Pajak,Pembayaran Bunga,Restitusi Pajak,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Tetap - Neto,Penjualan Aset Tetap,Perolehan Aset Tetap,Total Aset Tetap - Neto,Penambahan Aset Tidak Berwujud,Pembayaran Uang Jaminan Pembelian Aset,Pelepasan Aset Melalui Transaksi Penjualan Dan Penyewaan Kembali,Investasi Di Entitas Asosiasi - Neto,Pelepasan,Penambahan,Total Investasi Di Entitas Asosiasi - Neto,Perolehan Entitas Anak,Hasil Pelepasan Entitas Anak,Penerimaan Investasi,Penerimaan Bunga,Hasil Penawaran Saham Perdana Entitas Anak,Hasil Pelepasan Investasi Jangka Pendek,Penempatan Pada Investasi Jangka Pendek,Pengurangan Investasi Tersedia Untuk Dijual,Pengeluaran Untuk Investasi Saham,Dividen,Akuisisi Perusahaan,Pembayaran Pihak Berelasi,Pengeluaran Untuk Jasa Sistem Komunikasi,Perolehan Izin Wireless Broadband,Pengeluaran Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Dan Lembaga,Keuangan,Penerimaan,Pembayaran,Total Pinjaman Bank Dan Lembaga,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Deposit Pelunasan Utang Bank,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Pihak Ketiga,Pembayaran Pinjaman Pihak Ketiga,Pembayaran Kepada Pihak Berelasi,Pengeluaran Untuk Transaksi Pihak Berelasi,Anjak Piutang,Penerimaan,Pembayaran,Total Anjak Piutang,Penerimaan Anjak Piutang,Pembayaran Anjak Piutang,Penerimaan Dari Penambahan Modal Disetor,Penerimaan Dari Penambahan Modal Disetor Entitas Anak,Penerimaan Dari Obligasi,Penerimaan Dari Pinjaman Sewa Pembiayaan,Penerimaan Utang Sewa Pembiayaan Jual Dan Sewa Kembali,Pembayaran Utang Sewa Pembiayaan,Pembayaran Biaya Emisi Saham,Penerimaan Dari Surat Promes,Pembayaran Surat Promes,Penerimaan Dari Transaksi Hubungan Istimewa,Pembayaran Dividen Kepada Pihak Non Pengendali,Pembayaran Pengalihan Hak Tagih Fasilitas Pinjaman,Pencairan Dana Yang Dibatasi Penggunaannya,Penempatan Dana Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Efek Kas Dan Setara Kas Atas Entitas Anak Yang Tidak Dikonsolidasi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Entitas Anak Yang Tidak Dikonsolidasi Mitra,Tambahan Entitas Anak Yang Dikonsolidasi Sinema Indonesia,Kas Dan Setara Kas Akhir Periode
12M 2008,-13873776990.000000,598204750892.000000,-306982529387.000000,-86771156003.000000,,,-144134216869.000000,,-2544377056.000000,-60087334368.000000,,-11558914199.000000,-13873776990.000000,-163415682642.000000,,71771095954.000000,-307165214087.000000,-235394118133.000000,,,,,,,,,87949937185.000000,,,,,-9925042207.000000,,-5000000000.000000,,,,,,-1046459487.000000,-163415682642.000000,141642628669.000000,,,229185096651.000000,-96278797588.000000,132906299063.000000,,,,,,,,,,-334110416.000000,,,,,,,13500000000.000000,,,,,-10928559978.000000,,,,6499000000.000000,,,,,141642628669.000000,-35646830963.000000,85985102081.000000,,,,,50338271118.000000
12M 2009,17344501320.000000,720691694608.000000,-350676909348.000000,-99237460938.000000,,,-128891142660.000000,,-27045757242.000000,-76456980407.000000,,-21038942693.000000,17344501320.000000,-342259105424.000000,,2368201657.000000,-128719634376.000000,-126351432719.000000,,,,,,,,,29177327295.000000,,,,,,,,,,,,-245085000000.000000,,-342259105424.000000,306295744926.000000,,,361093781504.000000,-22457224662.000000,338636556842.000000,,,,,,,,,,-116219629.000000,,,,,,,,,,,,-32224592287.000000,,,,,,,,,306295744926.000000,-18618859178.000000,50338271118.000000,,,,,31719411940.000000
12M 2010,165780593659.000000,792108066056.000000,-282814749338.000000,-130507724049.000000,,,-128275592741.000000,,-5633118618.000000,-53442259134.000000,,-25654028517.000000,165780593659.000000,-178012903584.000000,,26434456780.000000,-142323680364.000000,-115889223584.000000,,,,,,,,,,,,,,,,-3733330000.000000,,,,-58390350000.000000,,,-178012903584.000000,48792123471.000000,,,233480000000.000000,-312186000000.000000,-78706000000.000000,,,,,,,,,,,,,-28000000000.000000,-28000000000.000000,,,456210700000.000000,,,,,-29682981290.000000,-2565095974.000000,6828202612.000000,-275292701877.000000,,,,,,48792123471.000000,36559813546.000000,31719411940.000000,,,,,68279225486.000000
12M 2011,-6461000000.000000,1040041000000.000000,-186076000000.000000,-175982000000.000000,-243510000000.000000,-260892000000.000000,,,-11422000000.000000,-9181000000.000000,,-159439000000.000000,-6461000000.000000,-715444000000.000000,,18870000000.000000,-610603000000.000000,-591733000000.000000,,,,,,,,,35000000.000000,,,,,,,-6267000000.000000,,,,-117479000000.000000,,,-715444000000.000000,1467698000000.000000,,,349976000000.000000,-808140000000.000000,-458164000000.000000,,,,,,,,,,-380377000000.000000,,,,,,,1628703000000.000000,,722310000000.000000,,,-44774000000.000000,,,,,,,,,1467698000000.000000,745793000000.000000,68279000000.000000,,,,-1252000000.000000,812820000000.000000
12M 2012,436434000000.000000,1263041000000.000000,-251333000000.000000,64711000000.000000,,,-209276000000.000000,-250534000000.000000,-88911000000.000000,-70980000000.000000,,-20284000000.000000,436434000000.000000,-609026000000.000000,,137915000000.000000,-734288000000.000000,-596373000000.000000,,,,,,-12653000000.000000,-12653000000.000000,,,,,,,,,,,,,,,,-609026000000.000000,208429000000.000000,,,239261000000.000000,-81626000000.000000,157635000000.000000,,,,,,,,,,,,50794000000.000000,,50794000000.000000,,,,,,,,,,,,,,,,,208429000000.000000,35837000000.000000,812820000000.000000,,,,,848657000000.000000
12M 2013,385172000000.000000,1960766000000.000000,-466957000000.000000,22832000000.000000,,,-450556000000.000000,-314202000000.000000,-185150000000.000000,-60181000000.000000,,-121380000000.000000,385172000000.000000,-1049885000000.000000,,298972000000.000000,-1333184000000.000000,-1034212000000.000000,,,,,2125000000.000000,-17798000000.000000,-15673000000.000000,,,,,,,,,,,,,,,,-1049885000000.000000,208310000000.000000,,,544811000000.000000,-342065000000.000000,202746000000.000000,,,,,,,,,,,,,-22928000000.000000,-22928000000.000000,,,217000000.000000,,,171250000000.000000,,-142975000000.000000,,,,,,,,,208310000000.000000,-456403000000.000000,848657000000.000000,,199000000.000000,,,392453000000.000000
12M 2014,65466000000.000000,2452805000000.000000,-1071105000000.000000,,,,-511391000000.000000,-415659000000.000000,-354289000000.000000,-74563000000.000000,,39668000000.000000,65466000000.000000,148402000000.000000,,3913000000.000000,-1170974000000.000000,-1167061000000.000000,-542282000000.000000,,166972000000.000000,,,-156113000000.000000,-156113000000.000000,,1846886000000.000000,,,,,,,,,,,,,,148402000000.000000,-104051000000.000000,,,1306388000000.000000,-538799000000.000000,767589000000.000000,,,,,,-739026000000.000000,,,,,,,-67072000000.000000,-67072000000.000000,,,,55000000000.000000,,,,-99153000000.000000,-7128000000.000000,,,,-14261000000.000000,,,,-104051000000.000000,109817000000.000000,392453000000.000000,,-31834000000.000000,-421587000000.000000,268563000000.000000,317412000000.000000
12M 2015,-1006982000000.000000,1071975000000.000000,-1127940000000.000000,-252089000000.000000,,,-216763000000.000000,,-7481000000.000000,-163228000000.000000,,-311456000000.000000,-1006982000000.000000,-305764000000.000000,,97751000000.000000,-416054000000.000000,-318303000000.000000,-2832000000.000000,,,,,,,,15371000000.000000,,,,,,,,,,,,,,-305764000000.000000,1084418000000.000000,,,845149000000.000000,-541349000000.000000,303800000000.000000,319662000000.000000,,,,,,,,,,,100000000000.000000,-60578000000.000000,39422000000.000000,,,,290835000000.000000,,305241000000.000000,,-174542000000.000000,,,,,,,,,1084418000000.000000,-228328000000.000000,317412000000.000000,,108000000.000000,-8729000000.000000,,80463000000.000000
12M 2016,-162370000000.000000,1304409000000.000000,-416764000000.000000,-279242000000.000000,,,-389980000000.000000,2605000000.000000,-3865000000.000000,-379533000000.000000,,,-162370000000.000000,-789621000000.000000,,437000000.000000,-824424000000.000000,-823987000000.000000,-3711000000.000000,,,,,-4000000000.000000,-4000000000.000000,,,,,,,,,,43864000000.000000,-1787000000.000000,,,,,-789621000000.000000,1006829000000.000000,,,1003588000000.000000,-350184000000.000000,653404000000.000000,349170000000.000000,-183000000000.000000,,,,,98000000000.000000,,,,,,,,,,,72000000000.000000,,120995000000.000000,,-103740000000.000000,,,,,,,,,1006829000000.000000,54838000000.000000,80463000000.000000,,-1284000000.000000,-37500000000.000000,1952000000.000000,98469000000.000000
12M 2017,-367118000000.000000,1016806000000.000000,-612634000000.000000,-158130000000.000000,,,-228576000000.000000,1009000000.000000,-682000000.000000,-384911000000.000000,,,-367118000000.000000,-147178000000.000000,,1490000000.000000,-244708000000.000000,-243218000000.000000,-3575000000.000000,,,,,,,,,,,,,,,,99615000000.000000,,,,,,-147178000000.000000,534132000000.000000,,,276290000000.000000,-421265000000.000000,-144975000000.000000,703063000000.000000,-100000000000.000000,,,,,102605000000.000000,,,,,,,,195000000000.000000,-100000000000.000000,,,,,,-121561000000.000000,,,,,,,,,534132000000.000000,19836000000.000000,98469000000.000000,,594000000.000000,,,118899000000.000000
