Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Laba (Rugi) Selisih Kurs,Others,Total Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,529553772959.000000,-260751800123.000000,268801972836.000000,-369729446146.000000,-59737912004.000000,-123407027531.000000,-94328323545.000000,-94644158849.000000,,-94644158849.000000,6670085582.000000,-4282109799.000000,-369729446146.000000,-100927473310.000000,-34429845139.000000,-34429845139.000000,,,,,-34429845139.000000,-135357318449.000000,35644581173.000000,,35644581173.000000,35644581173.000000,-99712737276.000000,195189.000000,-6853056679.000000,4843000283.000000,-101722598483.000000,,,-101722598483.000000,-99712737276.000000,195189.000000,-6853056679.000000,4843000283.000000,-101722598483.000000,,,,
12M 2009,722462385635.000000,-293103694804.000000,429358690831.000000,-288811999512.000000,-48989507746.000000,-184268558524.000000,-131421410548.000000,104953085909.000000,,104953085909.000000,390053116.000000,-29475661719.000000,-288811999512.000000,140546691319.000000,-78622493215.000000,-78622493215.000000,,,,,-78622493215.000000,61924198104.000000,-29149636995.000000,-5444966059.000000,-23704670936.000000,-29149636995.000000,32774561109.000000,17043348.000000,,,32791604457.000000,,,32791604457.000000,32774561109.000000,17043348.000000,,,32791604457.000000,,,,
12M 2010,832581303860.000000,-181457979698.000000,651123324162.000000,-527198016979.000000,-52741332943.000000,-345696858776.000000,-144277616310.000000,31249750123.000000,,31249750123.000000,419310926.000000,-16151269999.000000,-527198016979.000000,123925307183.000000,-57963455231.000000,-57963455231.000000,,,,,-57963455231.000000,65961851952.000000,-24039092774.000000,-15143201556.000000,-8895891218.000000,-24039092774.000000,41922759178.000000,7761463.000000,,,41930520641.000000,,,41930520641.000000,41922759178.000000,7761463.000000,,,41930520641.000000,,,,
12M 2011,1042201000000.000000,-221503000000.000000,820698000000.000000,-769479000000.000000,-87628000000.000000,-504144000000.000000,-195124000000.000000,31998000000.000000,,31998000000.000000,1516000000.000000,-16097000000.000000,-769479000000.000000,51219000000.000000,-15708000000.000000,-15708000000.000000,,,,,-15708000000.000000,35511000000.000000,-31915000000.000000,-52966000000.000000,21051000000.000000,-31915000000.000000,3596000000.000000,,,,3596000000.000000,,3596000000.000000,3596000000.000000,-44208000000.000000,47804000000.000000,,,3596000000.000000,3596000000.000000,-44208000000.000000,47804000000.000000,3596000000.000000
12M 2012,1322439000000.000000,-385127000000.000000,937312000000.000000,-911751000000.000000,-125379000000.000000,-560461000000.000000,-244159000000.000000,21578000000.000000,,21578000000.000000,7903000000.000000,-11233000000.000000,-911751000000.000000,25561000000.000000,-7349000000.000000,-6589000000.000000,,-760000000.000000,,,-7349000000.000000,18212000000.000000,-7742000000.000000,,,-7742000000.000000,10470000000.000000,,,,10470000000.000000,,10470000000.000000,10470000000.000000,-105162000000.000000,115632000000.000000,,,10470000000.000000,10470000000.000000,-105162000000.000000,115632000000.000000,10470000000.000000
12M 2013,1754102000000.000000,-474114000000.000000,1279988000000.000000,-1092661000000.000000,-158068000000.000000,-583255000000.000000,-338684000000.000000,,12832000000.000000,12832000000.000000,257000000.000000,-25743000000.000000,-1092661000000.000000,187327000000.000000,-109606000000.000000,-99738000000.000000,,-9868000000.000000,,,-109606000000.000000,77721000000.000000,-57784000000.000000,,,-57784000000.000000,19937000000.000000,,,,19937000000.000000,,19937000000.000000,19937000000.000000,-103375000000.000000,123312000000.000000,,,19937000000.000000,19937000000.000000,-103375000000.000000,123312000000.000000,19937000000.000000
12M 2014,2026070000000.000000,-592450000000.000000,1433620000000.000000,-993578000000.000000,-133861000000.000000,-514772000000.000000,-380405000000.000000,,13519000000.000000,13519000000.000000,115000000.000000,21826000000.000000,-993578000000.000000,440042000000.000000,7739707000000.000000,-106814000000.000000,,18202000000.000000,1333120000000.000000,6495199000000.000000,7739707000000.000000,8179749000000.000000,-271590000000.000000,,,-271590000000.000000,7908159000000.000000,,35160000000.000000,,7943319000000.000000,,7943319000000.000000,7943319000000.000000,7731975000000.000000,211344000000.000000,,,7943319000000.000000,7943319000000.000000,7731975000000.000000,211344000000.000000,7943319000000.000000
12M 2015,1062980000000.000000,-1421501000000.000000,-358521000000.000000,-1492029000000.000000,-173936000000.000000,-500873000000.000000,-748826000000.000000,,-103019000000.000000,-103019000000.000000,3051000000.000000,31574000000.000000,-1492029000000.000000,-1850550000000.000000,-92675000000.000000,-325164000000.000000,,217256000000.000000,15233000000.000000,,-92675000000.000000,-1943225000000.000000,429511000000.000000,,,429511000000.000000,-1513714000000.000000,,,,-1513714000000.000000,224653000000.000000,-1289061000000.000000,-1513714000000.000000,-624967000000.000000,-888747000000.000000,,,-1513714000000.000000,-1289061000000.000000,-507683000000.000000,-781378000000.000000,-1289061000000.000000
12M 2016,1308250000000.000000,-1438665000000.000000,-130415000000.000000,-1558265000000.000000,-203058000000.000000,-450102000000.000000,-855026000000.000000,,22266000000.000000,22266000000.000000,54000000.000000,-72399000000.000000,-1558265000000.000000,-1688680000000.000000,16977000000.000000,-391781000000.000000,2605000000.000000,275128000000.000000,131025000000.000000,,16977000000.000000,-1671703000000.000000,84393000000.000000,,,84393000000.000000,-1587310000000.000000,,,,-1587310000000.000000,60186000000.000000,-1527124000000.000000,-1587310000000.000000,-794678000000.000000,-792632000000.000000,,,-1587310000000.000000,-1527124000000.000000,-734154000000.000000,-792970000000.000000,-1527124000000.000000
12M 2017,982463000000.000000,-1208370000000.000000,-225907000000.000000,-1301812000000.000000,-222649000000.000000,-179570000000.000000,-802582000000.000000,,-15743000000.000000,-15743000000.000000,663000000.000000,-81931000000.000000,-1301812000000.000000,-1527719000000.000000,-70662000000.000000,-422304000000.000000,1009000000.000000,350633000000.000000,,,-70662000000.000000,-1598381000000.000000,103493000000.000000,,,103493000000.000000,-1494888000000.000000,,,,-1494888000000.000000,-106936000000.000000,-1601824000000.000000,-1494888000000.000000,-1100674000000.000000,-394214000000.000000,,,-1494888000000.000000,-1601824000000.000000,-1207153000000.000000,-394671000000.000000,-1601824000000.000000
