Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,2.39,295.93,2.39,295.93,288 B,644 B,932 B,881 B,(330 B)
12M 2009,2.15,335.46,2.15,335.46,679 B,437 B,"1,116 B","1,085 B",(658 B)
12M 2010,2.14,444.25,2.54,374.56,687 B,45 B,732 B,664 B,(622 B)
12M 2011,0.57,1009.50,0.61,945.93,121 B,782 B,903 B,91 B,736 B
12M 2012,0.63,949.13,0.68,887.65,260 B,"1,018 B","1,278 B",430 B,298 B
12M 2013,0.65,889.77,0.70,823.62,569 B,"1,136 B","1,705 B","1,313 B",(383 B)
12M 2014,0.55,4737.50,0.69,3755.32,374 B,"1,717 B","2,090 B","1,773 B",19 B
12M 2015,0.42,4448.36,0.50,3763.14,"1,502 B","1,714 B","3,217 B","3,136 B","(1,916 B)"
12M 2016,0.30,4112.54,0.34,3580.02,"2,392 B","1,024 B","3,417 B","3,318 B","(3,140 B)"
12M 2017,0.13,3419.38,0.14,3090.14,"2,298 B","1,521 B","3,819 B","3,700 B","(3,798 B)"
12M 2018,0.54,1304.16,0.54,1303.00,"1,449 B","1,597 B","3,047 B","2,974 B","(3,811 B)"
12M 2019,0.25,1096.94,0.25,1096.36,"1,594 B","2,108 B","3,703 B","3,626 B","(3,724 B)"
12M 2020,0.37,1098.05,0.37,1097.99,"2,479 B",700 B,"3,180 B","3,086 B","(4,787 B)"
12M 2021,1.11,512.14,1.11,512.13,"2,695 B",112 B,"2,807 B","2,730 B","(4,262 B)"
12M 2022,0.37,267.38,0.37,267.38,40 B,,40 B,(495 B),"(1,081 B)"
12M 2023,0.44,162.71,0.44,162.71,45 B,,45 B,(208 B),"(1,239 B)"
12M 2024,0.10,926.32,0.10,926.32,12 B,,12 B,(240 B),"(1,101 B)"
