Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Penerimaan Penghasilan Bunga,Pembayaran (Penerimaan) Pajak,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Penerimaan Pinjaman Bank,Penambahan Modal,Penerimaan (Pembayaran) Utang Lain-Lain,Penambahan Modal Saham,Tambahan Modal Disetor,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,36779996473.000000,287365517711.000000,-207306122911.000000,-16590789763.000000,-19701173238.000000,10319301.000000,-1009152276.000000,-36594784894.000000,30606182543.000000,36779996473.000000,-15346893986.000000,-15346893986.000000,,-15346893986.000000,-21466657322.000000,-42126847419.000000,,,18874014711.000000,,,1786175386.000000,-21466657322.000000,-33554835.000000,,270024263.000000,236469428.000000
12M 2018,15885094938.000000,296088191954.000000,-227436115845.000000,-20581570030.000000,-10834096358.000000,1193424656.000000,-1028183731.000000,-29171187886.000000,7654632178.000000,15885094938.000000,-5915951221.000000,-5915951221.000000,,-5915951221.000000,28226702081.000000,-64039442206.000000,,50000000000.000000,-5277973141.000000,,48929000000.000000,-1384882572.000000,28226702081.000000,38195845798.000000,,236469428.000000,38432315226.000000
12M 2019,97691962993.000000,309907341841.000000,-137629056121.000000,-22547223433.000000,-19230517980.000000,2197212533.000000,-12114742358.000000,-22962272558.000000,71221069.000000,97691962993.000000,-5843303139.000000,-5451783139.000000,-391520000.000000,-5843303139.000000,-60084754532.000000,-57146231391.000000,,,-300000000.000000,,,-2638523141.000000,-60084754532.000000,31763905322.000000,,38432315226.000000,70196220548.000000
12M 2020,26935353622.000000,268865270248.000000,-173817207195.000000,-24629887723.000000,-34836409214.000000,2609042037.000000,-21805074903.000000,-17420034968.000000,27969655340.000000,26935353622.000000,-74166819209.000000,-75717289209.000000,1550470000.000000,-74166819209.000000,-14072606715.000000,-11975659911.000000,,,,,,-2096946804.000000,-14072606715.000000,-61304072302.000000,,70196220548.000000,8892148246.000000
12M 2021,25574027226.000000,365273079967.000000,-257190157977.000000,-19988199269.000000,-12787840841.000000,73037412.000000,-27562887475.000000,-15274662176.000000,-6968342415.000000,25574027226.000000,-17853858414.000000,-17852218364.000000,-1640050.000000,-17853858414.000000,-6633693625.000000,-4509242127.000000,,,,,,-2124451498.000000,-6633693625.000000,1086475187.000000,,8892148246.000000,9978623433.000000
12M 2022,33158718257.000000,302085012968.000000,-212541496532.000000,-17638602600.000000,-21671628771.000000,50246778.000000,-15914717528.000000,-15006218765.000000,13796122707.000000,33158718257.000000,-11918524297.000000,-11903904347.000000,-14619950.000000,-11918524297.000000,-16198600976.000000,-15461368199.000000,,,,,,-737232777.000000,-16198600976.000000,5041592984.000000,,9978623434.000000,15020216418.000000
12M 2023,14607513312.000000,220171993988.000000,-116997876235.000000,-12234056195.000000,-4908163782.000000,29665316.000000,-14384376737.000000,-16581942272.000000,-40487730771.000000,14607513312.000000,-12616405972.000000,-12619555972.000000,3150000.000000,-12616405972.000000,-8646538994.000000,-12022835133.000000,4460279788.000000,,,,,-1083983649.000000,-8646538994.000000,-6655431654.000000,,15020216418.000000,8364784764.000000
12M 2024,23746379903.000000,216906810616.000000,-192710622408.000000,-9364820271.000000,-18185040447.000000,78221588.000000,-2861407346.000000,-12752001445.000000,42635239616.000000,23746379903.000000,-4345449410.000000,-4772185972.000000,426736562.000000,-4345449410.000000,-11964545231.000000,-10446117094.000000,,,,,,-1518428137.000000,-11964545231.000000,7436385262.000000,18213267.000000,8364784764.000000,15819383293.000000
