Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Beban Bunga,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,291109974205.000000,-249473704327.000000,41636269878.000000,-16236038693.000000,-25060497039.000000,8824458346.000000,-16236038693.000000,25400231185.000000,-36996299189.000000,10319301.000000,-37006618490.000000,,,-36996299189.000000,-11596068004.000000,1080597020.000000,,,,1080597020.000000,-10515470984.000000,,-10515470984.000000,-161436804.000000,-10676907788.000000,-10515470984.000000,-10515470984.000000,,-10515470984.000000,-10676907788.000000,-10676907788.000000,,-10676907788.000000
12M 2018,300278949718.000000,-236131228703.000000,64147721015.000000,-12267674285.000000,-19797458176.000000,7529783891.000000,-12267674285.000000,51880046730.000000,-28071144076.000000,1203613316.000000,-29274757392.000000,,,-28071144076.000000,23808902654.000000,-6609881939.000000,,,,-6609881939.000000,17199020715.000000,,17199020715.000000,1221105842.000000,18420126557.000000,17199020715.000000,17199020715.000000,,17199020715.000000,18420126557.000000,18420126557.000000,,18420126557.000000
12M 2019,311779628307.000000,-249384272351.000000,62395355956.000000,-24874611300.000000,-23317763193.000000,-1556848107.000000,-24874611300.000000,37520744656.000000,-20765060025.000000,2197212533.000000,-22962272558.000000,,,-20765060025.000000,16755684631.000000,-4263467462.000000,,,,-4263467462.000000,12492217169.000000,,12492217169.000000,563525203.000000,13055742372.000000,12492217169.000000,12492217169.000000,,12492217169.000000,13055742372.000000,13055742372.000000,,13055742372.000000
12M 2020,260214446632.000000,-217871436903.000000,42343009729.000000,-41547064423.000000,-44456756187.000000,2909691764.000000,-41547064423.000000,795945306.000000,-15029421459.000000,2609042037.000000,-93896445.000000,-17544567051.000000,,-15029421459.000000,-14233476153.000000,4063242364.000000,,,,4063242364.000000,-10170233789.000000,,-10170233789.000000,1681012598.000000,-8489221191.000000,-10170233789.000000,-10170233789.000000,,-10170233789.000000,-8489221191.000000,-8489221191.000000,,-8489221191.000000
12M 2021,346364995418.000000,-308195161023.000000,38169834395.000000,-28577590242.000000,-35015193183.000000,6437602941.000000,-28577590242.000000,9592244153.000000,-15220258705.000000,73037412.000000,-101257878.000000,-15192038239.000000,,-15220258705.000000,-5628014552.000000,2506629903.000000,,,,2506629903.000000,-3121384649.000000,,-3121384649.000000,1703852461.000000,-1417532188.000000,-3121384649.000000,-3121384649.000000,,-3121384649.000000,-1417532188.000000,-1417532188.000000,,-1417532188.000000
12M 2022,317855645702.000000,-295077013708.000000,22778631994.000000,-19783491161.000000,-27343831934.000000,7560340773.000000,-19783491161.000000,2995140833.000000,-14999284487.000000,50246778.000000,-79715211.000000,-14969816054.000000,,-14999284487.000000,-12004143654.000000,1216473228.000000,,,,1216473228.000000,-10787670426.000000,,-10787670426.000000,215822049.000000,-10571848377.000000,-10787670426.000000,-10787670426.000000,,-10787670426.000000,-10571848377.000000,-10571848377.000000,,-10571848377.000000
12M 2023,219942382085.000000,-219718625036.000000,223757049.000000,-52898848468.000000,-62220683799.000000,9321835331.000000,-52898848468.000000,-52675091419.000000,-13564052369.000000,29665316.000000,-90359921.000000,-13503357764.000000,,-13564052369.000000,-66239143788.000000,10279906694.000000,,,,10279906694.000000,-55959237094.000000,,-55959237094.000000,4671908.000000,-55954565186.000000,-55959237094.000000,-55959237094.000000,,-55959237094.000000,-55954565186.000000,-55954565186.000000,,-55954565186.000000
12M 2024,196741616114.000000,-208702867471.000000,-11961251357.000000,1919443771.000000,-22745625824.000000,24665069595.000000,1919443771.000000,-10041807586.000000,-12673779857.000000,78221588.000000,-87073682.000000,-12664927763.000000,,-12673779857.000000,-22715587443.000000,-334483628.000000,,,,-334483628.000000,-23050071071.000000,,-23050071071.000000,89400078.000000,-22960670993.000000,-23050071071.000000,-23050071071.000000,,-23050071071.000000,-22960670993.000000,-22960670993.000000,,-22960670993.000000
