Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,-18026.78,-0.00,0.00,(2.91 B),-2.55%,-406.14%,-5.43%,-340.84
12M 2020,6.42 B,-0.49,-0.00,0.00,(3.05 B),-1.20%,-2.86%,-2.73%,-1661.20
12M 2021,6.42 B,0.76,0.00,0.00,6.21 B,1.75%,4.22%,4.99%,
12M 2022,6.42 B,1.82,0.00,0.00,13.22 B,4.34%,9.16%,9.96%,
12M 2023,8.03 B,0.59,84.75,18.29,5.50 B,1.50%,1.66%,2.45%,
12M 2024,8.03 B,0.01,1400.00,6.66,0.84 B,0.02%,0.03%,0.18%,
