Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,13.74,0.42,155.13,159.19,0.0,0.0,154.51,0.97,158.19
12M 2020,0.32,0.02,0.07,2.38,0.0,0.0,0.05,0.03,1.38
12M 2021,0.36,0.05,0.09,2.42,0.0,0.0,0.09,0.04,1.42
12M 2022,0.33,0.05,0.07,2.11,0.0,0.0,0.07,0.03,1.11
12M 2023,4.72,1.03,0.05,1.11,0.0,0.0,0.04,0.04,0.11
12M 2024,5.15,0.52,0.08,1.14,0.0,0.0,0.07,0.07,0.14
