Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha Lainnya,Pembayaran Pajak Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak,Perolehan Aset Tetap,Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Penerimaan Dari Penawaran Umum Perdana,Penerimaan Dari Pelaksanaan Waran,Biaya Emisi Saham,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Pinjaman Pihak Ketiga,Pembayaran Pembiayaan Konsumen,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-7184053051.000000,1056463544.000000,-5392614200.000000,-1268905378.000000,-1578997017.000000,,-7184053051.000000,,,,,,7475425362.000000,,,,,8916297748.000000,-2368813100.000000,-1970719800.000000,-101339486.000000,3000000000.000000,,7475425362.000000,291372311.000000,145979281.000000,437351592.000000
12M 2020,-8537431670.000000,19755176994.000000,-23360921968.000000,-1390902923.000000,-3540783773.000000,,-8537431670.000000,,,,,,10072252290.000000,112465000000.000000,,,,,-107093155000.000000,,-71592710.000000,5600000000.000000,-828000000.000000,10072252290.000000,1534820620.000000,437351592.000000,1972172212.000000
12M 2021,-4331241196.000000,17785360172.000000,-15578541563.000000,-1435508077.000000,-4177980280.000000,-924571448.000000,-4331241196.000000,,,,,,2881000000.000000,,,,,,,,,6627000000.000000,-3746000000.000000,2881000000.000000,-1450241196.000000,1972172212.000000,521931016.000000
12M 2022,1731698238.000000,19961634535.000000,-7263885130.000000,9592035.000000,-10931143833.000000,-44499369.000000,1731698238.000000,-124500000.000000,-124500000.000000,,,-124500000.000000,-1449000000.000000,,,,,,,,,,-1449000000.000000,-1449000000.000000,158198238.000000,521931016.000000,680129254.000000
12M 2023,-148692636322.000000,5316504648.000000,-33862214912.000000,-3327058256.000000,-116265342647.000000,-554525155.000000,-148692636322.000000,-10008975000.000000,,,-10008975000.000000,-10008975000.000000,159304521030.000000,,161000000000.000000,1226610.000000,-5708967988.000000,,,,-273737592.000000,13715000000.000000,-9429000000.000000,159304521030.000000,602909708.000000,680129254.000000,1283038962.000000
12M 2024,-8671485350.000000,18577267976.000000,-18874147586.000000,-3777065465.000000,-3922171057.000000,-675369218.000000,-8671485350.000000,,,,,,8498238990.000000,,,1056550.000000,,,,,-187917560.000000,13035000000.000000,-4349900000.000000,8498238990.000000,-173246360.000000,1283038962.000000,1109792602.000000
