Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,331236544.000000,-165618272.000000,165618272.000000,-3194060525.000000,-3194060525.000000,-3194060525.000000,-3028442253.000000,-13178514.000000,-8885314.000000,-4293200.000000,-13178514.000000,-3041620767.000000,-33123654.000000,-33123654.000000,-33123654.000000,190460183.000000,-2884284238.000000,-10270416.000000,-2894554654.000000,-2884284238.000000,-2884284238.000000,,-2884284238.000000,-2894554654.000000,-2894554654.000000,,-2894554654.000000
12M 2020,3477951437.000000,-1728576981.000000,1749374456.000000,-4889849479.000000,-4889849479.000000,-4889849479.000000,-3140475023.000000,-6084344.000000,-1890490.000000,-4193854.000000,-6084344.000000,-3146559367.000000,-122294800.000000,-122294800.000000,-122294800.000000,131076083.000000,-3137778084.000000,-11079897.000000,-3148857981.000000,-3137778084.000000,-3137778084.000000,,-3137778084.000000,-3148857981.000000,-3148857981.000000,,-3148857981.000000
12M 2021,26009182808.000000,-13525114995.000000,12484067813.000000,-6360268435.000000,-6360268435.000000,-6360268435.000000,6123799378.000000,-5393534.000000,,-5393534.000000,-5393534.000000,6118405844.000000,-743252053.000000,-743252053.000000,-743252053.000000,-495755433.000000,4879398358.000000,327127623.000000,5206525981.000000,4879398358.000000,4879398358.000000,,4879398358.000000,5206525981.000000,5206525981.000000,,5206525981.000000
12M 2022,35609948734.000000,-16419888254.000000,19190060480.000000,-6012161254.000000,-6012161254.000000,-6012161254.000000,13177899226.000000,-7838405.000000,,-7838405.000000,-7838405.000000,13170060821.000000,-973717481.000000,-973717481.000000,-973717481.000000,-493104949.000000,11703238391.000000,94048267.000000,11797286658.000000,11703238391.000000,11702943031.000000,295360.000000,11703238391.000000,11797286658.000000,11797286658.000000,,11797286658.000000
12M 2023,21963322590.000000,-9495147080.000000,12468175510.000000,-7067100238.000000,-7067100238.000000,-7067100238.000000,5401075272.000000,-39364110.000000,,-39364110.000000,-39364110.000000,5361711162.000000,-589281388.000000,-589281388.000000,-589281388.000000,,4772429774.000000,2848163.000000,4775277937.000000,4772429774.000000,4771539778.000000,889996.000000,4772429774.000000,4775277937.000000,4774337412.000000,940525.000000,4775277937.000000
12M 2024,16894694286.000000,-8156951326.000000,8737742960.000000,-8170876756.000000,-8170876756.000000,-8170876756.000000,566866204.000000,-47613314.000000,,-47613314.000000,-47613314.000000,519252890.000000,-446154114.000000,-446154114.000000,-446154114.000000,,73098776.000000,98900003.000000,171998779.000000,73098776.000000,77276537.000000,-4177761.000000,73098776.000000,171998779.000000,176044035.000000,-4045256.000000,171998779.000000
