Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Kontraktor,Pembayaran Beban Usaha,Pembayaran Kas Kepada Karyawan,Pembayaran Manfaat Karyawan,Pembayaran Pajak,Pembayaran Beban Keuangan,Penerimaan Penghasilan Bunga,Penerimaan (Pengeluaran) Kas Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kenaikan Deposito Berjangka Yang Dibatasi Penggunaannya,Penurunan Deposito Berjangka Yang Dibatasi Penggunaannya,Pnerimaan Piutang Lain-Lain Dari Pihak Ketiga,Perolehan Aset Tetap,Investasi Jangka Pendek,Uang Muka Untuk Perolehan Aset Tetap,Hasil Dari Penjualan Aset Tetap,Aset Lain-Lain,Penerimaan Dari Penjualan Aset Tersedia Untuk Dijual,Penambahan Aset Hak Guna,Kenaikan Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Saham Penawaran Umum Perdana,Biaya Emisi Saham,Penerimaan Pelaksanaan Waran,Pembayaran Pinjaman Bank,Penerimaan Dari Pinjaman Bank,Pembayaran Dividen Kas,Kenaikan Bersih Piutang Lain-Lain Pihak Berelasi,Penurunan Bersih Piutang Lain-Lain Pihak Berelasi,Penurunan Bersih Utang Pihak Berelasi,Kenaikan Bersih Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Liabilitas Hak Guna,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,22676036043.000000,93857014686.000000,-34800860347.000000,-18063769217.000000,-12914878764.000000,,-3574936397.000000,-1921330689.000000,94796771.000000,,22676036043.000000,-27026287756.000000,,,,-27026287756.000000,,,,,,,,-27026287756.000000,-1882633768.000000,,,,-8857915068.000000,3656876552.000000,,-2890554721.000000,,,8456177504.000000,,-2247218035.000000,-1882633768.000000,-6232885481.000000,7138470843.000000,905585362.000000
12M 2019,17202094818.000000,88314838957.000000,-52440211046.000000,-672177562.000000,-13792351793.000000,,-1270186210.000000,-2990440046.000000,52622518.000000,,17202094818.000000,-25246147354.000000,,,,-25246147354.000000,,,,,,,,-25246147354.000000,8530661810.000000,,,,-5414436840.000000,18328051144.000000,,,2110473328.000000,-3733569985.000000,,,-2759855837.000000,8530661810.000000,486609274.000000,905585362.000000,1392194636.000000
12M 2020,6427585950.000000,68412240023.000000,-30765780355.000000,-12208756786.000000,-14591690395.000000,,-1585364046.000000,-2927801982.000000,94739491.000000,,6427585950.000000,8508179920.000000,,,,-17300136.000000,,,4500000000.000000,,4025480056.000000,,,8508179920.000000,-9597559674.000000,,,,-7038384949.000000,959125183.000000,,,5502456598.000000,-5389403434.000000,,,-3631353072.000000,-9597559674.000000,5338206196.000000,1392194636.000000,6730400832.000000
12M 2021,9641187717.000000,68995875593.000000,-30615353096.000000,-9116282438.000000,-15353050685.000000,,-2242303087.000000,-2093327775.000000,65629205.000000,,9641187717.000000,1190200947.000000,,,,-1024665339.000000,,-200000000.000000,245000000.000000,,,-128000000.000000,2297866286.000000,1190200947.000000,-8641774320.000000,,,,-2682105314.000000,,,,1778183305.000000,-5242514652.000000,,,-2495337659.000000,-8641774320.000000,2189614344.000000,6730400832.000000,8920015176.000000
12M 2022,565349913.000000,69473699063.000000,-44721109770.000000,-4416033842.000000,-16514987685.000000,,-3133959287.000000,-950770013.000000,828511447.000000,,565349913.000000,-36935533916.000000,-15000000000.000000,,,-17905533916.000000,,-4030000000.000000,,,,,,-36935533916.000000,63284264894.000000,62100000000.000000,,,-9686456846.000000,15000000000.000000,-1820780528.000000,,1512236524.000000,-3520347955.000000,,,-300386301.000000,63284264894.000000,26914080891.000000,8920015176.000000,35834096067.000000
12M 2023,14600899241.000000,101578471879.000000,-65551142049.000000,-788594019.000000,-16094119477.000000,-234978680.000000,-4709741174.000000,-1097120114.000000,1498122875.000000,,14600899241.000000,-7712712637.000000,,,,-2089600037.000000,-2192812600.000000,-2000000000.000000,114800000.000000,-1545100000.000000,,,,-7712712637.000000,-7777440514.000000,,-105709677.000000,4555950.000000,-3166389683.000000,,-3638212588.000000,,,,,,-871684516.000000,-7777440514.000000,-889253910.000000,35834096067.000000,34944842157.000000
12M 2024,15616157322.000000,100953489616.000000,-64503396113.000000,-998847346.000000,-17463959035.000000,-131472275.000000,-2248205782.000000,-1021080542.000000,1029628799.000000,,15616157322.000000,-16396241611.000000,,2500000000.000000,365000000.000000,-9184098440.000000,-1350000000.000000,-9000000000.000000,272856829.000000,,,,,-16396241611.000000,-11463852156.000000,,,2888000.000000,-3992036137.000000,,-4549138008.000000,,,,,,-2925566011.000000,-11463852156.000000,-12243936445.000000,34944842157.000000,22700905712.000000
