Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,75226424065.000000,-54918211185.000000,20308212880.000000,-13810601921.000000,-13810601921.000000,-13810601921.000000,6497610959.000000,-2922555147.000000,-1921330689.000000,94796771.000000,-1096021229.000000,,,-2922555147.000000,3575055812.000000,-1682062203.000000,-1806475005.000000,124412802.000000,-1682062203.000000,1892993609.000000,,1892993609.000000,-1888789416.000000,4204193.000000,1892993609.000000,2836475720.000000,-943482111.000000,1892993609.000000,4204193.000000,947686304.000000,-943482111.000000,4204193.000000
12M 2019,86601229871.000000,-63111888167.000000,23489341704.000000,-16189357316.000000,-16189357316.000000,-16189357316.000000,7299984388.000000,-2956324299.000000,-2990440046.000000,52622518.000000,-96279568.000000,,77772797.000000,-2956324299.000000,4343660089.000000,-1655729613.000000,-1812549685.000000,156820072.000000,-1655729613.000000,2687930476.000000,,2687930476.000000,-79281633.000000,2608648843.000000,2687930476.000000,3265815750.000000,-577885274.000000,2687930476.000000,2608648843.000000,3186534117.000000,-577885274.000000,2608648843.000000
12M 2020,66901678037.000000,-42324799134.000000,24576878903.000000,-17542544535.000000,-17542544535.000000,-17542544535.000000,7034334368.000000,-123062963.000000,-2927801982.000000,94739491.000000,304136724.000000,2343750000.000000,62112804.000000,-123062963.000000,6911271405.000000,-2512624030.000000,-1549130700.000000,-963493330.000000,-2512624030.000000,4398647375.000000,,4398647375.000000,847814198.000000,5246461573.000000,4398647375.000000,5183477528.000000,-784830153.000000,4398647375.000000,5246461573.000000,6031291726.000000,-784830153.000000,5246461573.000000
12M 2021,70089543154.000000,-41263079732.000000,28826463422.000000,-16433098707.000000,-16433098707.000000,-16433098707.000000,12393364715.000000,-2191630761.000000,-2093327775.000000,65629205.000000,-549196497.000000,205000000.000000,180264306.000000,-2191630761.000000,10201733954.000000,-4128740410.000000,-2111092329.000000,-2017648081.000000,-4128740410.000000,6072993544.000000,,6072993544.000000,-142452834.000000,5930540710.000000,6072993544.000000,6068371595.000000,4621949.000000,6072993544.000000,5930540710.000000,5925918761.000000,4621949.000000,5930540710.000000
12M 2022,78173815627.000000,-43508464979.000000,34665350648.000000,-20337223494.000000,-20337223494.000000,-20337223494.000000,14328127154.000000,166874245.000000,-950770013.000000,828511447.000000,-3150972.000000,,292283783.000000,166874245.000000,14495001399.000000,-3115608866.000000,-3000598457.000000,-115010409.000000,-3115608866.000000,11379392533.000000,,11379392533.000000,-166944994.000000,11212447539.000000,11379392533.000000,11302390781.000000,77001752.000000,11379392533.000000,11212447539.000000,11135445787.000000,77001752.000000,11212447539.000000
12M 2023,100077030286.000000,-65744682031.000000,34332348255.000000,-20497800914.000000,-20497800914.000000,-20497800914.000000,13834547341.000000,510191945.000000,-1097120114.000000,1498122875.000000,-10390206.000000,114800000.000000,4779390.000000,510191945.000000,14344739286.000000,-2731393777.000000,-2788516752.000000,57122975.000000,-2731393777.000000,11613345509.000000,,11613345509.000000,36786848.000000,11650132357.000000,11613345509.000000,10519682413.000000,1093663096.000000,11613345509.000000,11650132357.000000,10556469261.000000,1093663096.000000,11650132357.000000
12M 2024,111074709353.000000,-72500608788.000000,38574100565.000000,-23622122686.000000,-23622122686.000000,-23622122686.000000,14951977879.000000,-247522791.000000,-1021080542.000000,1029628799.000000,74780837.000000,4957550.000000,-335809435.000000,-247522791.000000,14704455088.000000,-2771525476.000000,-2909257074.000000,137731598.000000,-2771525476.000000,11932929612.000000,,11932929612.000000,243065115.000000,12175994727.000000,11932929612.000000,11065560004.000000,867369608.000000,11932929612.000000,12175994727.000000,11308625119.000000,867369608.000000,12175994727.000000
