Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2018,0.00 B,236372.98,0.00,0.00,10.63 B,4.36%,11.92%,32.72%,3.38
12M 2019,0.00 B,272151.31,0.00,0.00,12.03 B,3.93%,12.11%,16.42%,2.44
12M 2020,0.00 B,431956.46,0.00,0.00,14.07 B,7.50%,15.78%,13.87%,2.40
12M 2021,0.64 B,9.48,0.00,0.00,18.71 B,9.03%,15.65%,22.79%,5.92
12M 2022,0.91 B,12.42,12.72,1.84,20.48 B,8.31%,10.60%,15.71%,15.07
12M 2023,0.91 B,11.56,8.82,0.93,20.08 B,7.60%,9.27%,10.79%,12.61
12M 2024,0.91 B,12.16,8.47,0.84,21.26 B,7.34%,9.20%,11.03%,14.64
