Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pengeluaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya :",Pemasok,Karyawan,Beban Operasi Lain,"Total Pengeluaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya :",Adjustment,Penerimaan Dari:,Penghasilan Bunga,Penghasilan Lainnya,Restitusi Pajak Penghasilan,Total Penerimaan Dari:,Pembayaran Atas:,Beban Bunga,Beban Pembiayaan Lainnya,Pajak Penghasilan,Total Pembayaran Atas:,Piutang Lain -Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi,Hasil Penjualan Obligasi Pemerintah,Investasi Hewan Ternak,Penerimaan Kas Dari Penyertaan Saham Minoritas,Hasil Penjualan Hewan Ternak,Kas Yang Diperoleh Saat Konsolidasi,Penyertaan Saham,Dividen Yang Diterima,Obligasi Pemerintah,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Tambahan Investasi Pada Joint Venture,Tambahan Investasi Pada Entitas Asosiasi,Setoran Saham Minoritas,Penambahan Aset Tidak Berwujud,Penambahan/(Pengurangan) Aset Tidak Lancar Lainnya,Penambahan Aset Hak Guna,Pembelian Kembali Saham (Saham Istimewa),Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Pinjaman Jangka Panjang,Penerimaan Dari Medium Term Notes,Saham Treasuri,Pembayaran/ Penambahan Pinjaman Jangka Pendek,Penambahan Utang Sewa,Pembayaran Sewa,Pembayaran Mesin,Pembayaran Pinjaman Jangka Panjang Yang Jatuh Tempo Dalam Satu Tahun:,Utang Bank,Utang Obligasi - Bersih,Total Pembayaran Pinjaman Jangka Panjang Yang Jatuh Tempo Dalam Satu Tahun:,Pembayaran Pinjaman Jangka Panjang,Dana Hasil Penjualan Merk Dagang,Penerimaan Setoran Modal Anak Perusahaan,Penerimaan Deviden,Pembayaran Deviden,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2007,-63543756329.000000,1198296292437.000000,-1217063353433.000000,,,,-1217063353433.000000,,,3702857703.000000,,6535166797.000000,10238024500.000000,,-45099645776.000000,,-9915074057.000000,-55014719833.000000,,-63543756329.000000,-43172525929.000000,,,,,,,,,,-43300661978.000000,,409000000.000000,,,,,-280863951.000000,,,-43172525929.000000,71494497599.000000,329155000000.000000,,,-7033041438.000000,,,,,-130803656963.000000,-119823804000.000000,-250627460963.000000,,,,,,71494497599.000000,-35221784659.000000,,39992003196.000000
12M 2008,130839061099.000000,1506235371938.000000,-1343937518042.000000,,,,-1343937518042.000000,,,18059599995.000000,,,18059599995.000000,,-38055151783.000000,,-11463241009.000000,-49518392792.000000,,130839061099.000000,-172062864091.000000,-160000000000.000000,,,,,,,,,-105568000447.000000,,110883437112.000000,,,,,-17378300756.000000,,,-172062864091.000000,164101689571.000000,,,,-2144840463.000000,,-71996103049.000000,,,-80774074669.000000,,-80774074669.000000,-72553600000.000000,391570307752.000000,,,,164101689571.000000,122877886579.000000,,162869889775.000000
12M 2009,15687936541.000000,1740551540208.000000,-1686233792236.000000,,,,-1686233792236.000000,,,21276314660.000000,681570800.000000,,21957885460.000000,,-27705444951.000000,,-32882251940.000000,-60587696891.000000,,15687936541.000000,55944182117.000000,160000000000.000000,,-10404020353.000000,,,,,,,-99676339743.000000,,,,,,,6024542213.000000,,,55944182117.000000,-21293579821.000000,250000000000.000000,,,-5703423629.000000,,-24281249942.000000,,,-165803785450.000000,,-165803785450.000000,-116405120800.000000,,2500000000.000000,,38400000000.000000,-21293579821.000000,52010078837.000000,162869889775.000000,214879968612.000000
12M 2010,263881302428.000000,2050248341783.000000,-1739753292285.000000,,,,-1739753292285.000000,,,13692547104.000000,1437626036.000000,,15130173140.000000,,-31704873080.000000,,-29938293251.000000,-61643166331.000000,-100753879.000000,263881302428.000000,-219246587233.000000,,,-8380215665.000000,,,,,,,-211993508861.000000,,,,,,,1127137293.000000,,,-219246587233.000000,122858082751.000000,360000000000.000000,,,-3088273390.000000,,-3716741690.000000,,,-94642857143.000000,,-94642857143.000000,-150000000000.000000,,,18000000000.000000,-3694045026.000000,122858082751.000000,168230338746.000000,214879968612.000000,383110307358.000000
12M 2011,322963103223.000000,2245216063999.000000,-1841255902457.000000,,,,-1841255902457.000000,,,16416994017.000000,1709912233.000000,,18126906250.000000,,-27643885877.000000,,-72970804778.000000,-100614690655.000000,1490726086.000000,322963103223.000000,-299509426464.000000,,,-35084528880.000000,,,,,,,-264978674874.000000,,,,,,,553777290.000000,,,-299509426464.000000,-169720100529.000000,,,,13382232546.000000,,-29472427932.000000,,,-152142857143.000000,,-152142857143.000000,,,,,-1487048000.000000,-169720100529.000000,-140344198420.000000,383120307358.000000,242776108938.000000
12M 2012,491603153597.000000,3045933058444.000000,-2488785726038.000000,,,,-2488785726038.000000,,,12085195324.000000,6574046751.000000,,18659242075.000000,,-12727917849.000000,,-70916678805.000000,-83644596654.000000,-558824230.000000,491603153597.000000,-54267583999.000000,,,,,,,,,,-34577041031.000000,,,,,,-19096121513.000000,-594421455.000000,,,-54267583999.000000,-147109164794.000000,,,,-46757876176.000000,,-23208431475.000000,,,-92142857143.000000,,-92142857143.000000,,,,15000000000.000000,,-147109164794.000000,293113417810.000000,242776108938.000000,535889526748.000000
12M 2013,195989263645.000000,3729966817696.000000,,-2613509325994.000000,-165787425795.000000,-629604770357.000000,-3408901522146.000000,10000.000000,,21427409890.000000,39692459576.000000,,61119869466.000000,,-7601363214.000000,,-170436720813.000000,-178038084027.000000,-8157827344.000000,195989263645.000000,-83894854034.000000,,,,,8286084464.000000,,-16350000000.000000,,,-88857102494.000000,,19245048068.000000,,,,-6070904572.000000,-147979500.000000,,,-83894854034.000000,-36359064683.000000,,,,16144332479.000000,,-6513405934.000000,,-60000000000.000000,,,-60000000000.000000,,,,15000000000.000000,-989991228.000000,-36359064683.000000,75735344928.000000,535889526748.000000,611624871676.000000
12M 2014,128022639236.000000,4276607741068.000000,,-3211343422773.000000,-183105097354.000000,-684887689115.000000,-4079336209242.000000,,,23576404186.000000,37736624521.000000,,61313028707.000000,,-2896772313.000000,,-125695094342.000000,-128591866655.000000,-1970054642.000000,128022639236.000000,-151360410751.000000,,,,,9134201249.000000,,-49452200000.000000,,,-110005997024.000000,,69944046.000000,,,,-1301234788.000000,194875766.000000,,,-151360410751.000000,-99002304236.000000,,,,-12201529598.000000,,-773606370.000000,-5904820355.000000,,-30714285714.000000,,-30714285714.000000,,,,,-49408062199.000000,-99002304236.000000,-122340075751.000000,611624871676.000000,489284795925.000000
12M 2015,669463282892.000000,4775218928995.000000,,-2959872843036.000000,-203604552431.000000,-912064170649.000000,-4075541566116.000000,,,37316668783.000000,45395769412.000000,,82712438195.000000,,-2314561135.000000,,-111720131452.000000,-114034692587.000000,1108174405.000000,669463282892.000000,-283394639132.000000,,,-17844408550.000000,,8838110941.000000,,,,,-244036641351.000000,,4365589771.000000,-25500000000.000000,,,-6836413943.000000,-2380876000.000000,,,-283394639132.000000,-26230857126.000000,,,,-6671820024.000000,,,-19564386966.000000,,,,,,,,5349864.000000,,-26230857126.000000,359837786634.000000,489284795925.000000,849122582559.000000
12M 2016,779108645836.000000,5136766189192.000000,,-3035992092859.000000,-213490349327.000000,-943612130761.000000,-4193094572947.000000,,,40335631050.000000,55006406191.000000,,95342037241.000000,,-2035318620.000000,,-253029785147.000000,-255065103767.000000,-4839903883.000000,779108645836.000000,-77338111138.000000,,,,,12927382815.000000,,,,,-41497871418.000000,,676160456.000000,-47100000000.000000,,,-2305726341.000000,-38056650.000000,,,-77338111138.000000,-29521421384.000000,,,,163984255.000000,,,-21518518527.000000,,,,,,,,-8166887112.000000,,-29521421384.000000,672249113314.000000,849122582559.000000,1521371695873.000000
