Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Obligasi Pemerintah,Hewan Ternak Produksi - Berumur Panjang,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Derivatif,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Surat Berharga Jangka Menengah,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Surat Berharga Jangka Menengah,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,162869889775.000000,160000000000.000000,150323375731.000000,149119937094.000000,1203438637.000000,150323375731.000000,881236955.000000,881236955.000000,,881236955.000000,284292916789.000000,46593344306.000000,804960763556.000000,,,,766344567479.000000,,43096041929.000000,104596019064.000000,914036628472.000000,1718997392028.000000,,,424216545112.000000,47435418699.000000,,233939500690.000000,203092074.000000,234142592764.000000,,,,,3160993351.000000,13132503495.000000,,,104025000000.000000,22320036803.000000,,126345036803.000000,,424216545112.000000,158130347331.000000,,,,127020000000.000000,16159109760.000000,,143179109760.000000,14951237571.000000,158130347331.000000,582346892443.000000,,577676400000.000000,51130441727.000000,516065394359.000000,8900000000.000000,507165394359.000000,516065394359.000000,1326900987.000000,-9548637488.000000,1136650499585.000000,1718997392028.000000,2888382000.000000
12M 2009,,,214879968612.000000,,177153426122.000000,175593832074.000000,1559594048.000000,177153426122.000000,935635582.000000,935635582.000000,,935635582.000000,383588600255.000000,36832287190.000000,813389917761.000000,,,9889415002.000000,808903387439.000000,,24196176987.000000,76323097445.000000,919312076873.000000,1732701994634.000000,,,384341997966.000000,41731995070.000000,,219906161054.000000,955030655.000000,220861191709.000000,,,,,5498459706.000000,18439469445.000000,,,87500000000.000000,3320921057.000000,,90820921057.000000,6989960979.000000,384341997966.000000,153822226576.000000,,,,125000000000.000000,12838188702.000000,,137838188702.000000,15984037874.000000,153822226576.000000,538164224542.000000,,577676400000.000000,51130441727.000000,562776336549.000000,11900000000.000000,550876336549.000000,562776336549.000000,2954591816.000000,,1194537770092.000000,1732701994634.000000,2888382000.000000
12M 2010,,,383120307358.000000,,190914744160.000000,190914744160.000000,,190914744160.000000,2595983509.000000,1025735644.000000,1570247865.000000,2595983509.000000,357743682574.000000,21067172977.000000,955441890578.000000,,,17680303952.000000,941931552988.000000,,,91542014742.000000,1051153871682.000000,2006595762260.000000,,,477557754724.000000,38643721680.000000,,238492625087.000000,,238492625087.000000,,,,,22821438399.000000,20508110159.000000,,,152142857143.000000,1643086303.000000,,153785943446.000000,3305915953.000000,477557754724.000000,227914581277.000000,19979916930.000000,,,175714285714.000000,11195102399.000000,,186909388113.000000,21025276234.000000,227914581277.000000,705472336001.000000,,577676400000.000000,51130441727.000000,669145878032.000000,18000000000.000000,651145878032.000000,669145878032.000000,3170706500.000000,,1301123426259.000000,2006595762260.000000,2888382000.000000
12M 2011,,,242776108938.000000,,255494585569.000000,255494585569.000000,,255494585569.000000,4994161328.000000,2240562103.000000,2753599225.000000,4994161328.000000,368496687848.000000,52318747375.000000,924080291058.000000,,,55788603908.000000,1069735963102.000000,,,129577121366.000000,1255101688376.000000,2179181979434.000000,,,607594391942.000000,52025954226.000000,,409839689103.000000,,409839689103.000000,,,,,7249611708.000000,29085018951.000000,,,85000000001.000000,22575250000.000000,,107575250001.000000,1818867953.000000,607594391942.000000,169140887640.000000,45362563765.000000,,,90714285713.000000,5643812500.000000,,96358098213.000000,27420225662.000000,169140887640.000000,776735279582.000000,,577676400000.000000,51130441727.000000,770378334080.000000,29000000000.000000,741378334080.000000,770378334080.000000,3261524045.000000,,1402446699852.000000,2179181979434.000000,2888382000.000000
12M 2012,,,535889526748.000000,,297400522080.000000,297400522080.000000,,297400522080.000000,11398411193.000000,5814947244.000000,5583463949.000000,11398411193.000000,334169035934.000000,17569107888.000000,1196426603843.000000,,,26062111777.000000,979511601619.000000,17933194395.000000,32796696.000000,200827073699.000000,1224366778186.000000,2420793382029.000000,,,592822529143.000000,5268078050.000000,,394466233719.000000,,394466233719.000000,,,,,57854467257.000000,51171595269.000000,,,60000000001.000000,6643609853.000000,,66643609854.000000,17418544994.000000,592822529143.000000,151451739464.000000,85608703824.000000,,,30714285713.000000,723864841.000000,,31438150554.000000,34404885086.000000,151451739464.000000,744274268607.000000,,577676400000.000000,51130441727.000000,1043984228158.000000,39000000000.000000,1004984228158.000000,1043984228158.000000,3728043537.000000,,1676519113422.000000,2420793382029.000000,2888382000.000000
12M 2013,,,611624871676.000000,,368549136075.000000,368549136075.000000,,368549136075.000000,13403674726.000000,6667801268.000000,6735873458.000000,13403674726.000000,534977217239.000000,36955755422.000000,1565510655138.000000,,,30102682590.000000,965974994305.000000,18694072362.000000,1599130743.000000,229739447004.000000,1246110327004.000000,2811620982142.000000,,,633794053008.000000,21412410529.000000,463538990751.000000,,,463538990751.000000,,102562222.000000,102562222.000000,357190478.000000,22410075747.000000,73915874428.000000,,,30714285714.000000,726348705.000000,5789737791.000000,37230372210.000000,14826576643.000000,633794053008.000000,162680395048.000000,76102720581.000000,,,,,51581817164.000000,51581817164.000000,34995857303.000000,162680395048.000000,796474448056.000000,,577676400000.000000,51130441727.000000,1369230340599.000000,74300000000.000000,1294930340599.000000,1369230340599.000000,17109351760.000000,,2015146534086.000000,2811620982142.000000,2888382000.000000
12M 2014,,,489284795925.000000,,395101722940.000000,395101722940.000000,,395101722940.000000,12347727034.000000,4539671316.000000,7808055718.000000,12347727034.000000,714411455060.000000,30956045860.000000,1642101746819.000000,,,57014019177.000000,1003229206363.000000,13887879432.000000,10920995246.000000,189929720318.000000,1274981820536.000000,2917083567355.000000,,,490967089226.000000,9210880931.000000,381899807713.000000,,,381899807713.000000,,2671277397.000000,2671277397.000000,,17414824736.000000,63831139275.000000,,,,,15885956163.000000,15885956163.000000,53203011.000000,490967089226.000000,161018718399.000000,64529509735.000000,,,,,60256511064.000000,60256511064.000000,36232697600.000000,161018718399.000000,651985807625.000000,,577676400000.000000,51130441727.000000,1625987913079.000000,106800000000.000000,1519187913079.000000,1625987913079.000000,10277109491.000000,25895433.000000,2265097759730.000000,2917083567355.000000,2888382000.000000
12M 2015,,,849122582559.000000,,448129204430.000000,448129204430.000000,,448129204430.000000,29499729273.000000,6098167310.000000,23401561963.000000,29499729273.000000,738803692770.000000,38009845595.000000,2103565054627.000000,,,76225587801.000000,1160712905883.000000,13763798541.000000,11793582124.000000,173934981272.000000,1436430855621.000000,3539995910248.000000,,,561628179393.000000,2539060908.000000,367005334619.000000,,,367005334619.000000,,,,,81026828371.000000,86288301722.000000,,,,,24710100898.000000,24710100898.000000,58552875.000000,561628179393.000000,180862036933.000000,51491473618.000000,,,,,99905151402.000000,99905151402.000000,29465411913.000000,180862036933.000000,742490216326.000000,,577676400000.000000,51130441727.000000,2144732481431.000000,135100000000.000000,2009632481431.000000,2144732481431.000000,16646925819.000000,7319444945.000000,2797505693922.000000,3539995910248.000000,2888382000.000000
12M 2016,,,1521371695873.000000,,462422864328.000000,462422864328.000000,,462422864328.000000,41958236339.000000,20955218272.000000,21003018067.000000,41958236339.000000,760534170292.000000,88534907181.000000,2874821874013.000000,,,75365544586.000000,1042072476333.000000,8550986750.000000,19691263309.000000,218697496374.000000,1364377767352.000000,4239199641365.000000,,,593525591694.000000,2703045162.000000,398216604088.000000,,,398216604088.000000,,58086559.000000,58086559.000000,,71224067980.000000,98044215779.000000,,,,,23221019251.000000,23221019251.000000,58552875.000000,593525591694.000000,156440554888.000000,38959664407.000000,,,,,71985522862.000000,71985522862.000000,45495367619.000000,156440554888.000000,749966146582.000000,,577676400000.000000,51130441727.000000,2847090768415.000000,135100000000.000000,2711990768415.000000,2847090768415.000000,15750256278.000000,-2414371637.000000,3489233494783.000000,4239199641365.000000,2888382000.000000
12M 2017,,,2120400000000.000000,,538024000000.000000,504629000000.000000,33395000000.000000,538024000000.000000,,,,,682624000000.000000,98942000000.000000,3439990000000.000000,,,80522000000.000000,1336398000000.000000,8298000000.000000,23496000000.000000,298236000000.000000,1746950000000.000000,5186940000000.000000,,,820625000000.000000,2234000000.000000,534492000000.000000,,,534492000000.000000,10000000.000000,,10000000.000000,,38288000000.000000,184417000000.000000,,,,455000000.000000,26520000000.000000,26975000000.000000,34209000000.000000,820625000000.000000,157560000000.000000,25588000000.000000,,,,1885000000.000000,56821000000.000000,58706000000.000000,73266000000.000000,157560000000.000000,978185000000.000000,,577676000000.000000,51251000000.000000,3475144000000.000000,135100000000.000000,3340044000000.000000,3475144000000.000000,123879000000.000000,-19195000000.000000,4208755000000.000000,5186940000000.000000,11553528000.000000
