Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1362606580492.000000,-1101875796134.000000,260730784358.000000,-327742780642.000000,-271322394313.000000,-56420386329.000000,-327742780642.000000,-67011996284.000000,335794133465.000000,18059599995.000000,-36119089518.000000,3928590600.000000,-45126547604.000000,366020481.000000,401337500.000000,394284222011.000000,335794133465.000000,268782137181.000000,35075393948.000000,-23819554314.000000,58894948262.000000,,35075393948.000000,303857531129.000000,-146029925.000000,303711501204.000000,,,,,303711501204.000000,303857531129.000000,-146029925.000000,303711501204.000000,,,,
12M 2009,1613927991404.000000,-1192033121119.000000,421894870285.000000,-294945427617.000000,-231978120762.000000,-62967306855.000000,-294945427617.000000,126949442668.000000,-28670642107.000000,21272504995.000000,-33374589747.000000,34164353700.000000,-35372055816.000000,-1376575527.000000,1670440000.000000,-15654719712.000000,-28670642107.000000,98278800561.000000,-37998257540.000000,-19098392598.000000,-18899864942.000000,,-37998257540.000000,60280543021.000000,872309169.000000,61152852190.000000,,,,,61152852190.000000,60280543021.000000,872309169.000000,61152852190.000000,,,,
12M 2010,1880411473916.000000,-1288167519944.000000,592243953972.000000,-406826867113.000000,-331528142923.000000,-75298724190.000000,-406826867113.000000,185417086859.000000,17506454838.000000,13304982960.000000,-32093468012.000000,38039473987.000000,1773391569.000000,,,-3517925666.000000,17506454838.000000,202923541697.000000,-95584183178.000000,-51408089263.000000,-44176093915.000000,,-95584183178.000000,107339358519.000000,-216114684.000000,107123243835.000000,,,,,107123243835.000000,107339358519.000000,-216114684.000000,107123243835.000000,,,,
12M 2011,2102383741532.000000,-1476677453814.000000,625706287718.000000,-443647370066.000000,-361471509271.000000,-82175860795.000000,-443647370066.000000,182058917652.000000,-25241011224.000000,16416994017.000000,-27643885877.000000,31400344946.000000,-3326924340.000000,,-16036601532.000000,-26050938438.000000,-25241011224.000000,156817906428.000000,-55494632835.000000,-30111986000.000000,-25382646835.000000,,-55494632835.000000,,,101323273593.000000,,,,101323273593.000000,101323273593.000000,101232456048.000000,90817545.000000,101323273593.000000,101323273593.000000,101232456048.000000,90817545.000000,101323273593.000000
12M 2012,2809851307439.000000,-1908109047237.000000,901742260202.000000,-449108256231.000000,-366413401362.000000,-82694854869.000000,-449108256231.000000,452634003971.000000,5336111213.000000,12085195324.000000,-11948954781.000000,28492374763.000000,-13513232874.000000,,-14849245962.000000,5069974743.000000,5336111213.000000,457970115184.000000,-104538495699.000000,-111603230250.000000,7064734551.000000,,-104538495699.000000,,,353431619485.000000,,,,353431619485.000000,353431619485.000000,352965099993.000000,466519492.000000,353431619485.000000,353431619485.000000,352965099993.000000,466519492.000000,353431619485.000000
12M 2013,3460231249075.000000,-2446448128599.000000,1013783120476.000000,-551154993237.000000,-433576647265.000000,-117578345972.000000,-551154993237.000000,462628127239.000000,-25907939366.000000,22439459095.000000,-7955069915.000000,-959224432.000000,-36748585605.000000,,-2264294635.000000,-420223874.000000,-25907939366.000000,436720187873.000000,-111592767209.000000,-122665084500.000000,11072317291.000000,,-111592767209.000000,325127420664.000000,,325127420664.000000,,,,325127420664.000000,325127420664.000000,325246112441.000000,-118691777.000000,325127420664.000000,325127420664.000000,325246112441.000000,-118691777.000000,325127420664.000000
12M 2014,3916789366423.000000,-2979799459658.000000,936989906765.000000,-609676357909.000000,-488878667936.000000,-120797689973.000000,-609676357909.000000,327313548856.000000,48043378918.000000,24591709425.000000,-4063182474.000000,-19298136012.000000,17939823758.000000,,-132984693.000000,29006148914.000000,48043378918.000000,375356927774.000000,-91996013563.000000,-112891088914.000000,20895075351.000000,,-91996013563.000000,283360914211.000000,,283360914211.000000,,,,283360914211.000000,283360914211.000000,291418156480.000000,-8057242269.000000,283360914211.000000,283360914211.000000,291418156480.000000,-8057242269.000000,283360914211.000000
12M 2015,4393932684171.000000,-3011443561889.000000,1382489122282.000000,-729850577125.000000,-593015089674.000000,-136835487451.000000,-729850577125.000000,652638545157.000000,48036705072.000000,36301363542.000000,-2314561134.000000,-26177208315.000000,-145300037.000000,,4350643845.000000,36021767171.000000,48036705072.000000,700675250229.000000,-177575035200.000000,-194588231250.000000,17013196050.000000,,-177575035200.000000,523100215029.000000,,523100215029.000000,1099322475.000000,1099322475.000000,1099322475.000000,524199537504.000000,523100215029.000000,519067114504.000000,4033100525.000000,523100215029.000000,524199537504.000000,516891620086.000000,7307917418.000000,524199537504.000000
12M 2016,4685987917355.000000,-3052883009122.000000,1633104908233.000000,-771136778406.000000,-634650063405.000000,-136486715001.000000,-771136778406.000000,861968129827.000000,70514652825.000000,23830538783.000000,-2057013064.000000,-4624692568.000000,2518618558.000000,,669352060.000000,50177849056.000000,70514652825.000000,932482782652.000000,-222657146910.000000,,,,-222657146910.000000,709825635742.000000,,709825635742.000000,-9930947770.000000,-9930947770.000000,-9930947770.000000,699894687972.000000,709825635742.000000,702358286984.000000,7467348758.000000,709825635742.000000,699894687972.000000,692624470403.000000,7270217569.000000,699894687972.000000
12M 2017,4879559000000.000000,-3056681000000.000000,1822878000000.000000,-861851000000.000000,-689769000000.000000,-172082000000.000000,-861851000000.000000,961027000000.000000,65204000000.000000,70510000000.000000,-1498000000.000000,-2115000000.000000,-13886000000.000000,,-21000000.000000,12214000000.000000,65204000000.000000,1026231000000.000000,-314550000000.000000,,,,-314550000000.000000,711681000000.000000,,711681000000.000000,-17039000000.000000,-17039000000.000000,-17039000000.000000,694642000000.000000,711681000000.000000,703151000000.000000,8530000000.000000,711681000000.000000,694642000000.000000,686345000000.000000,8297000000.000000,694642000000.000000
12M 2018,5472882000000.000000,-3516606000000.000000,1956276000000.000000,-1052258000000.000000,-855358000000.000000,-196900000000.000000,-1052258000000.000000,904018000000.000000,45000000000.000000,60084000000.000000,-2107000000.000000,-1524000000.000000,-25851000000.000000,,-2900000000.000000,17298000000.000000,45000000000.000000,949018000000.000000,-247411000000.000000,,,,-247411000000.000000,701607000000.000000,,701607000000.000000,738000000.000000,738000000.000000,738000000.000000,702345000000.000000,701607000000.000000,697784000000.000000,3823000000.000000,701607000000.000000,702345000000.000000,699214000000.000000,3131000000.000000,702345000000.000000
12M 2019,6241419000000.000000,-3891701000000.000000,2349718000000.000000,-1111760000000.000000,-908877000000.000000,-202883000000.000000,-1111760000000.000000,1237958000000.000000,137401000000.000000,105655000000.000000,-1661000000.000000,6971000000.000000,-38358000000.000000,,-1174000000.000000,65968000000.000000,137401000000.000000,1375359000000.000000,-339494000000.000000,,,,-339494000000.000000,1035865000000.000000,,1035865000000.000000,-5674000000.000000,-5674000000.000000,-5674000000.000000,1030191000000.000000,1035865000000.000000,1032277000000.000000,3588000000.000000,1035865000000.000000,1030191000000.000000,1026775000000.000000,3416000000.000000,1030191000000.000000
12M 2020,5967362000000.000000,-3738835000000.000000,2228527000000.000000,-1004934000000.000000,-773759000000.000000,-231175000000.000000,-1004934000000.000000,1223593000000.000000,197924000000.000000,80239000000.000000,-33630000000.000000,10647000000.000000,60744000000.000000,,-4225000000.000000,84149000000.000000,197924000000.000000,1421517000000.000000,-311851000000.000000,,,,-311851000000.000000,1109666000000.000000,,1109666000000.000000,26661000000.000000,26661000000.000000,26661000000.000000,1136327000000.000000,1109666000000.000000,1099696000000.000000,9970000000.000000,1109666000000.000000,1136327000000.000000,1126468000000.000000,9859000000.000000,1136327000000.000000
12M 2021,6616642000000.000000,-4241696000000.000000,2374946000000.000000,-958711000000.000000,-748823000000.000000,-209888000000.000000,-958711000000.000000,1416235000000.000000,125697000000.000000,155884000000.000000,-235275000000.000000,-6635000000.000000,17777000000.000000,,85000000.000000,193861000000.000000,125697000000.000000,1541932000000.000000,-265139000000.000000,,,,-265139000000.000000,1276793000000.000000,,1276793000000.000000,-25594000000.000000,-25594000000.000000,-25594000000.000000,1251199000000.000000,1276793000000.000000,1271638000000.000000,5155000000.000000,1276793000000.000000,1251199000000.000000,1245117000000.000000,6082000000.000000,1251199000000.000000
12M 2022,7656252000000.000000,-5199164000000.000000,2457088000000.000000,-1185591000000.000000,-961407000000.000000,-224184000000.000000,-1185591000000.000000,1271497000000.000000,17501000000.000000,127283000000.000000,-120978000000.000000,-20161000000.000000,98951000000.000000,,718000000.000000,-68312000000.000000,17501000000.000000,1288998000000.000000,-323512000000.000000,,,,-323512000000.000000,965486000000.000000,,965486000000.000000,-9189000000.000000,-9189000000.000000,-9189000000.000000,956297000000.000000,965486000000.000000,960786000000.000000,4700000000.000000,965486000000.000000,956297000000.000000,951453000000.000000,4844000000.000000,956297000000.000000
12M 2023,8302741000000.000000,-5611170000000.000000,2691571000000.000000,-1235498000000.000000,-982835000000.000000,-252663000000.000000,-1235498000000.000000,1456073000000.000000,51212000000.000000,69861000000.000000,-46848000000.000000,11057000000.000000,-6878000000.000000,,868000000.000000,23152000000.000000,51212000000.000000,1507285000000.000000,-321124000000.000000,,,,-321124000000.000000,1186161000000.000000,,1186161000000.000000,4980000000.000000,4980000000.000000,4980000000.000000,1191141000000.000000,1186161000000.000000,1169212000000.000000,16949000000.000000,1186161000000.000000,1191141000000.000000,1173926000000.000000,17215000000.000000,1191141000000.000000
12M 2024,8874202000000.000000,-5852425000000.000000,3021777000000.000000,-1622770000000.000000,-1347339000000.000000,-275431000000.000000,-1622770000000.000000,1399007000000.000000,107956000000.000000,37424000000.000000,-127000000.000000,21341000000.000000,36743000000.000000,,3311000000.000000,9264000000.000000,107956000000.000000,1506963000000.000000,-353047000000.000000,,,,-353047000000.000000,1153916000000.000000,,1153916000000.000000,18090000000.000000,18090000000.000000,18090000000.000000,1172006000000.000000,1153916000000.000000,1136624000000.000000,17292000000.000000,1153916000000.000000,1172006000000.000000,1154236000000.000000,17770000000.000000,1172006000000.000000
