Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tak Berwujud,Penambahan Aset Hak Guna,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Biaya Renovasi,Uang Muka Aset Hak Guna,Penurunan Piutang Non-Usaha Pihak Ketiga,Hasil Penjualan Entitas Anak,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Uang Muka Setoran Modal,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Pembiayaan Konsumen,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Pihak Ketiga,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-5301748400.000000,300769296754.000000,-188042308165.000000,-27720544701.000000,-54631584523.000000,-6564578052.000000,-29112029713.000000,,-5301748400.000000,-1058966521.000000,733777101.000000,,,-15978938356.000000,,,,4314183441.000000,9054597293.000000,817414000.000000,-1058966521.000000,-13884730856.000000,,210814191666.000000,-209929789490.000000,142825188131.000000,-135003027221.000000,-613789224.000000,,-16971156880.000000,-5006347838.000000,-13884730856.000000,-20245445777.000000,-6607680616.000000,-26853126393.000000
12M 2020,2176632298.000000,100347204062.000000,-21687715720.000000,-28549307748.000000,-23076849975.000000,-936315936.000000,-23920382385.000000,,2176632298.000000,-3861370241.000000,612026204.000000,,-2029166667.000000,-2519229778.000000,,,,,,75000000.000000,-3861370241.000000,12811404209.000000,,120463024139.000000,-96205623511.000000,9082780735.000000,-11849774796.000000,-371108973.000000,,-8307893385.000000,,12811404209.000000,11126666266.000000,-26853126393.000000,-15726460127.000000
12M 2021,12558796624.000000,176736193329.000000,-109668872447.000000,-21149573229.000000,-20748319054.000000,-557765909.000000,-12052866066.000000,,12558796624.000000,-993125767.000000,778644138.000000,,-595000000.000000,-1176769905.000000,,,,,,,-993125767.000000,-2338139850.000000,,14785846071.000000,-3914783165.000000,,-813333348.000000,-386220084.000000,,-12009649324.000000,,-2338139850.000000,9227531007.000000,-15726460127.000000,-6498929120.000000
12M 2022,-169292061707.000000,195879944364.000000,-306059470083.000000,-21632981477.000000,-19253113323.000000,-1092630681.000000,-17133810507.000000,,-169292061707.000000,-206221762750.000000,37091171.000000,822068.000000,-17054752000.000000,-110004923989.000000,,-29700000000.000000,-49500000000.000000,,,,-206221762750.000000,396691169284.000000,438546500000.000000,,,,-2827000000.000000,-251020716.000000,,-38777310000.000000,,396691169284.000000,21177344827.000000,-6498929120.000000,14678415707.000000
12M 2023,37567574834.000000,207157421970.000000,-109773278862.000000,-5615351625.000000,-34629314286.000000,-6696145561.000000,-12875756802.000000,,37567574834.000000,-7136301798.000000,69854080.000000,,-6779902447.000000,-426253431.000000,,,,,,,-7136301798.000000,-35513176967.000000,,,,,-25502845793.000000,-10331174.000000,-10000000000.000000,,,-35513176967.000000,-5081903931.000000,14678415707.000000,9596511776.000000
12M 2024,14132629140.000000,215133386643.000000,-154422505133.000000,-26841191254.000000,-10014553864.000000,,-9722507252.000000,,14132629140.000000,-5944299697.000000,78290000.000000,,-5428637155.000000,-593952542.000000,,,,,,,-5944299697.000000,-8962478215.000000,,8500000000.000000,,,-15462478215.000000,,-2000000000.000000,,,-8962478215.000000,-774148772.000000,9596511776.000000,8822363004.000000
