Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,(5 B),(16 B),(21 B),-31762.22
12M 2020,2 B,(3 B),(0 B),-511.34
12M 2021,13 B,(1 B),11 B,16988.10
12M 2022,(169 B),(140 B),(309 B),-45.47
12M 2023,38 B,(0 B),37 B,5.47
12M 2024,14 B,(1 B),14 B,1.99
