Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Pembibitan,Aset Tak Berwujud,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Kewajiban Lembaga Keuangan Non Bank,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Utang Pembelian Kendaraan,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Total Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,18166419000.000000,,16616674000.000000,16593000000.000000,23674000.000000,16616674000.000000,10267634000.000000,,10267634000.000000,10267634000.000000,45144712000.000000,19429570000.000000,109625009000.000000,,,12431162000.000000,5571913000.000000,487649991000.000000,115587979000.000000,372062012000.000000,487649991000.000000,259952594000.000000,29663626000.000000,75125700000.000000,,,36478827000.000000,906873813000.000000,1016498822000.000000,,,351665919000.000000,101415937000.000000,,121849127000.000000,,,121849127000.000000,51844174000.000000,5283708000.000000,,,,46438820000.000000,,5110478000.000000,102912000.000000,,51652210000.000000,19620763000.000000,351665919000.000000,391674651000.000000,,,331973340000.000000,8069916000.000000,,,173821000.000000,,340217077000.000000,6178781000.000000,,30290484000.000000,10500000000.000000,40790484000.000000,4488309000.000000,391674651000.000000,743340570000.000000,,314008160000.000000,,134230522000.000000,,,134230522000.000000,2000000.000000,,-175082430000.000000,273158252000.000000,1016498822000.000000,40766160.000000
12M 2009,,,318389684000.000000,,34124841000.000000,,34124841000.000000,34124841000.000000,10078445000.000000,,10078445000.000000,10078445000.000000,32140378000.000000,8037636000.000000,402770984000.000000,,,25408450000.000000,7336832000.000000,699848319000.000000,128387770000.000000,571460549000.000000,699848319000.000000,300919030000.000000,35317006000.000000,60073700000.000000,,,91210880000.000000,1220114217000.000000,1622885201000.000000,,,339677916000.000000,93337075000.000000,,81655110000.000000,,,81655110000.000000,48784938000.000000,7635458000.000000,,,,68448130000.000000,,7257740000.000000,84599000.000000,,75790469000.000000,32474866000.000000,339677916000.000000,377747545000.000000,,,354380148000.000000,7159990000.000000,,,89222000.000000,,361629360000.000000,5668773000.000000,,,4850000000.000000,4850000000.000000,5599412000.000000,377747545000.000000,717425461000.000000,,403708244000.000000,375136319000.000000,301697607000.000000,,,301697607000.000000,,,-175082430000.000000,905459740000.000000,1622885201000.000000,4037082440.000000
12M 2010,,,498991579000.000000,150000000000.000000,39525245000.000000,,39525245000.000000,39525245000.000000,4373878000.000000,,4373878000.000000,4373878000.000000,68560716000.000000,17902858000.000000,779354276000.000000,,25965659000.000000,,9188617000.000000,1135656485000.000000,190622338000.000000,945034147000.000000,1135656485000.000000,351602684000.000000,60701925000.000000,28970877000.000000,56221100000.000000,,207016661000.000000,1875324008000.000000,2654678284000.000000,,,611500203000.000000,229441791000.000000,,188298531000.000000,,,188298531000.000000,61889257000.000000,24363596000.000000,,,,91941991000.000000,,6841240000.000000,233007000.000000,,99016238000.000000,8490790000.000000,611500203000.000000,914405260000.000000,,692672609000.000000,202771659000.000000,4648864000.000000,,238723000.000000,,,900331855000.000000,6140671000.000000,,,,,7932734000.000000,914405260000.000000,1525905463000.000000,,403708244000.000000,375136319000.000000,523669871000.000000,8373354000.000000,515296517000.000000,523669871000.000000,,,-173741613000.000000,1128772821000.000000,2654678284000.000000,4037082440.000000
12M 2011,,,58274568000.000000,182200000000.000000,3457159000.000000,,3457159000.000000,3457159000.000000,2329779000.000000,,2329779000.000000,2329779000.000000,168578072000.000000,26353663000.000000,441193241000.000000,,,,18205883000.000000,2099306326000.000000,303157595000.000000,1796148731000.000000,2099306326000.000000,468595125000.000000,145827835000.000000,111761080000.000000,52368500000.000000,,251773816000.000000,3147838565000.000000,3589031806000.000000,,,517058240000.000000,73178000000.000000,39338397000.000000,209250689000.000000,,,209250689000.000000,59500679000.000000,24512294000.000000,,,,85226341000.000000,,14332016000.000000,914355000.000000,,100472712000.000000,10805469000.000000,517058240000.000000,1646070458000.000000,,693877680000.000000,911933455000.000000,19193672000.000000,,1533872000.000000,,,1626538679000.000000,5605763000.000000,,,,,13926016000.000000,1646070458000.000000,2163128698000.000000,,404162419000.000000,380689486000.000000,807724302000.000000,12179378000.000000,795544924000.000000,807724302000.000000,,,-166673099000.000000,1425903108000.000000,3589031806000.000000,4041624190.000000
12M 2012,,,50553030000.000000,25000000000.000000,12797844000.000000,,12797844000.000000,12797844000.000000,3187279000.000000,,3187279000.000000,3187279000.000000,215910257000.000000,27671382000.000000,335119792000.000000,,,,40892643000.000000,3183707898000.000000,818965772000.000000,2364742126000.000000,3183707898000.000000,690559495000.000000,172093124000.000000,48515900000.000000,18787217000.000000,,423306718000.000000,4577862995000.000000,4912982787000.000000,,,514558556000.000000,73780000000.000000,39338397000.000000,211888866000.000000,,,211888866000.000000,43971718000.000000,44670635000.000000,,,,47340918000.000000,,15584430000.000000,1340993000.000000,,64266341000.000000,36642599000.000000,514558556000.000000,2732243562000.000000,,695220289000.000000,1974997625000.000000,12038219000.000000,,1466954000.000000,,,2683723087000.000000,27102816000.000000,,,,,21417659000.000000,2732243562000.000000,3246802118000.000000,,405177034000.000000,387703325000.000000,1021370750000.000000,16985200000.000000,1004385550000.000000,1021370750000.000000,,,-148070440000.000000,1666180669000.000000,4912982787000.000000,4051770340.000000
12M 2013,,,68243793000.000000,,25149845000.000000,,25149845000.000000,25149845000.000000,3132959000.000000,,3132959000.000000,3132959000.000000,159460820000.000000,63047539000.000000,319034956000.000000,,,,62169187000.000000,4328063790000.000000,1969124534000.000000,2358939256000.000000,4328063790000.000000,799056548000.000000,95116885000.000000,44663300000.000000,24529625000.000000,,527793017000.000000,5881392352000.000000,6200427308000.000000,,,715019935000.000000,176299000000.000000,39338397000.000000,176448218000.000000,,,176448218000.000000,27798496000.000000,45436198000.000000,,,,129188192000.000000,,15706214000.000000,1276937000.000000,,146171343000.000000,103528283000.000000,715019935000.000000,3300639082000.000000,,696716134000.000000,2535905864000.000000,12212013000.000000,,166522000.000000,33509510000.000000,,3278510043000.000000,,,,,,22129039000.000000,3300639082000.000000,4015659017000.000000,,447118299000.000000,539428285000.000000,1156509767000.000000,20917957000.000000,1135591810000.000000,1156509767000.000000,,,41711940000.000000,2184768291000.000000,6200427308000.000000,4471182990.000000
12M 2014,,,178601000000.000000,,47008000000.000000,,47008000000.000000,47008000000.000000,220511000000.000000,,,220511000000.000000,303714000000.000000,865172000000.000000,1615006000000.000000,,,,275667000000.000000,8783201000000.000000,5278372000000.000000,3504829000000.000000,8783201000000.000000,107138000000.000000,3636207000000.000000,1199851000000.000000,,,762770000000.000000,14764834000000.000000,16379840000000.000000,,,3105061000000.000000,435430000000.000000,39338000000.000000,,,450313000000.000000,450313000000.000000,121553000000.000000,216771000000.000000,246000000.000000,,703487000000.000000,619164000000.000000,,10473000000.000000,166000000.000000,,1333290000000.000000,508120000000.000000,3105061000000.000000,6328088000000.000000,,,5525719000000.000000,7131000000.000000,,,,,5532850000000.000000,739682000000.000000,,,,,55556000000.000000,6328088000000.000000,9433149000000.000000,,3152529000000.000000,4000747000000.000000,112570000000.000000,,,112570000000.000000,119175000000.000000,,-438330000000.000000,6946691000000.000000,16379840000000.000000,31525291000.000000
12M 2015,,,1251121000000.000000,,63853000000.000000,,63853000000.000000,63853000000.000000,181568000000.000000,,,181568000000.000000,304138000000.000000,996203000000.000000,2796883000000.000000,,,,344554000000.000000,8992149000000.000000,6553712000000.000000,2438437000000.000000,8992149000000.000000,3785598000000.000000,107967000000.000000,1196218000000.000000,,,435468000000.000000,14861954000000.000000,17658837000000.000000,,,3955212000000.000000,697990000000.000000,,,,646130000000.000000,646130000000.000000,87189000000.000000,92296000000.000000,,,,2057687000000.000000,,5533000000.000000,,,2063220000000.000000,368387000000.000000,3955212000000.000000,7050710000000.000000,,,6271276000000.000000,1148000000.000000,,,,,6272424000000.000000,746195000000.000000,,,,,32091000000.000000,7050710000000.000000,11005922000000.000000,,3152529000000.000000,4000747000000.000000,-67167000000.000000,,,-67167000000.000000,120887000000.000000,,-554081000000.000000,6652915000000.000000,17658837000000.000000,31525291000.000000
12M 2016,,,129367000000.000000,,84863000000.000000,,84863000000.000000,84863000000.000000,127300000000.000000,,,127300000000.000000,345648000000.000000,690246000000.000000,1377424000000.000000,,,,328235000000.000000,8906275000000.000000,7148892000000.000000,1757383000000.000000,8906275000000.000000,3825249000000.000000,88309000000.000000,1191544000000.000000,,,537317000000.000000,14876929000000.000000,16254353000000.000000,,,2368056000000.000000,603000000000.000000,,,,258003000000.000000,258003000000.000000,111908000000.000000,87363000000.000000,,,,1015269000000.000000,,949000000.000000,,,1016218000000.000000,291564000000.000000,2368056000000.000000,7626861000000.000000,,,6856655000000.000000,,,,,,6856655000000.000000,731252000000.000000,,,,,38954000000.000000,7626861000000.000000,9994917000000.000000,,3152529000000.000000,4000747000000.000000,-456915000000.000000,,,-456915000000.000000,119268000000.000000,,-556193000000.000000,6259436000000.000000,16254353000000.000000,31525291000.000000
12M 2017,,,85112000000.000000,,48272000000.000000,,48272000000.000000,48272000000.000000,100822000000.000000,,,100822000000.000000,364316000000.000000,540814000000.000000,1139336000000.000000,,,,402458000000.000000,8763353000000.000000,7589560000000.000000,1173793000000.000000,8763353000000.000000,3849725000000.000000,82365000000.000000,1185803000000.000000,,,568108000000.000000,14851812000000.000000,15991148000000.000000,,,2652447000000.000000,823995000000.000000,,,,478259000000.000000,478259000000.000000,94613000000.000000,92402000000.000000,,,,835191000000.000000,77850000000.000000,,,,913041000000.000000,250137000000.000000,2652447000000.000000,7276008000000.000000,,,5553095000000.000000,,932039000000.000000,,,,6485134000000.000000,750852000000.000000,,,,,40022000000.000000,7276008000000.000000,9928455000000.000000,,3152529000000.000000,4000747000000.000000,-642888000000.000000,,,-642888000000.000000,119629000000.000000,,-567324000000.000000,6062693000000.000000,15991148000000.000000,31525291000.000000
