Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjusment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,513699019000.000000,-207660503000.000000,306038516000.000000,-61097846000.000000,,-4306818000.000000,-56791028000.000000,-61097846000.000000,,-61097846000.000000,244940670000.000000,-64682655000.000000,818662000.000000,,-40648973000.000000,-23069269000.000000,-1783075000.000000,-64682655000.000000,180258015000.000000,-60448135000.000000,-59163366000.000000,-1284769000.000000,-60448135000.000000,119809880000.000000,,119809880000.000000,,,,,119809880000.000000,119809880000.000000,,,119809880000.000000,,,,,
12M 2009,584109004000.000000,-219093024000.000000,365015980000.000000,-106176796000.000000,,-6993220000.000000,-99183576000.000000,-106176796000.000000,,-106176796000.000000,258839184000.000000,-11028860000.000000,3598141000.000000,,39830282000.000000,-41650260000.000000,-12807023000.000000,-11028860000.000000,247810324000.000000,-80345239000.000000,-82620166000.000000,2274927000.000000,-80345239000.000000,167465085000.000000,2000000.000000,167467085000.000000,,,,,167467085000.000000,167465085000.000000,2000000.000000,,167467085000.000000,,,,,
12M 2010,712173946000.000000,-244989589000.000000,467184357000.000000,96181692000.000000,,4923960000.000000,91257732000.000000,96181692000.000000,,96181692000.000000,563366049000.000000,-38423495000.000000,12791005000.000000,,7884577000.000000,-54515884000.000000,-4583193000.000000,-38423495000.000000,524942554000.000000,-88991606000.000000,-89894863000.000000,903257000.000000,-88991606000.000000,435950948000.000000,,435950948000.000000,,,,,435950948000.000000,435950948000.000000,,,435950948000.000000,,,,,
12M 2011,888298308000.000000,-274292928000.000000,614005380000.000000,-131045301000.000000,,-7532609000.000000,-123512692000.000000,-131045301000.000000,,-131045301000.000000,482960079000.000000,-53035219000.000000,12947687000.000000,-226829000.000000,-468211000.000000,-68498485000.000000,3210619000.000000,-53035219000.000000,429924860000.000000,-109536687000.000000,-119088861000.000000,9552174000.000000,-109536687000.000000,,,320388173000.000000,,,,320388173000.000000,320388173000.000000,320388173000.000000,,,320388173000.000000,320388173000.000000,320388173000.000000,,,320388173000.000000
12M 2012,944274538000.000000,-373114024000.000000,571160514000.000000,-153869178000.000000,,-11924201000.000000,-141944977000.000000,-153869178000.000000,,-153869178000.000000,417291336000.000000,-65877612000.000000,4794164000.000000,,-835644000.000000,-70355188000.000000,519056000.000000,-65877612000.000000,351413724000.000000,-89229915000.000000,-110777704000.000000,21547789000.000000,-89229915000.000000,,,262183809000.000000,,,,262183809000.000000,262183809000.000000,262183809000.000000,,,262183809000.000000,262183809000.000000,262183809000.000000,,,262183809000.000000
12M 2013,1144246960000.000000,-603043575000.000000,541203385000.000000,-215598473000.000000,,-15025873000.000000,-200572600000.000000,-215598473000.000000,,-215598473000.000000,325604912000.000000,-70708639000.000000,1472536000.000000,494301000.000000,-1608619000.000000,-84116568000.000000,13049711000.000000,-70708639000.000000,254896273000.000000,-73114342000.000000,-93815543000.000000,20701201000.000000,-73114342000.000000,,,181781931000.000000,,,,181781931000.000000,181781931000.000000,181781931000.000000,,,181781931000.000000,181781931000.000000,181781931000.000000,,,181781931000.000000
12M 2014,2264396000000.000000,-1635264000000.000000,629132000000.000000,-274775000000.000000,,-111111000000.000000,-163664000000.000000,-274775000000.000000,,-274775000000.000000,354357000000.000000,-79883000000.000000,14760000000.000000,,22582000000.000000,-138949000000.000000,21724000000.000000,-79883000000.000000,274474000000.000000,-79836000000.000000,-67042000000.000000,-12794000000.000000,-79836000000.000000,,,194638000000.000000,-4002000000.000000,-4002000000.000000,-4002000000.000000,190636000000.000000,194638000000.000000,189470000000.000000,5168000000.000000,,194638000000.000000,190636000000.000000,185468000000.000000,5168000000.000000,,190636000000.000000
12M 2015,2674271000000.000000,-2100500000000.000000,573771000000.000000,-339794000000.000000,,-77080000000.000000,-262714000000.000000,-339794000000.000000,,-339794000000.000000,233977000000.000000,-437599000000.000000,25943000000.000000,,-757000000.000000,-467740000000.000000,4955000000.000000,-437599000000.000000,-203622000000.000000,22222000000.000000,-49848000000.000000,72070000000.000000,22222000000.000000,,,-181400000000.000000,-115751000000.000000,-115751000000.000000,-115751000000.000000,-297151000000.000000,-181400000000.000000,-179737000000.000000,-1663000000.000000,,-181400000000.000000,-297151000000.000000,-295488000000.000000,-1663000000.000000,,-297151000000.000000
12M 2016,2541763000000.000000,-1948273000000.000000,593490000000.000000,-348689000000.000000,,-78413000000.000000,-270276000000.000000,-348689000000.000000,,-348689000000.000000,244801000000.000000,-580970000000.000000,14414000000.000000,1166000000.000000,52797000000.000000,-648778000000.000000,-569000000.000000,-580970000000.000000,-336169000000.000000,-55198000000.000000,-52814000000.000000,-2384000000.000000,-55198000000.000000,,,-391367000000.000000,-2112000000.000000,-2112000000.000000,-2112000000.000000,-393479000000.000000,-391367000000.000000,-389748000000.000000,-1619000000.000000,,-391367000000.000000,-393479000000.000000,-391860000000.000000,-1619000000.000000,,-393479000000.000000
12M 2017,3045954000000.000000,-2276709000000.000000,769245000000.000000,-359619000000.000000,,-87591000000.000000,-272028000000.000000,-359619000000.000000,,-359619000000.000000,409626000000.000000,-575719000000.000000,4834000000.000000,-123000000.000000,-3214000000.000000,-602913000000.000000,25697000000.000000,-575719000000.000000,-166093000000.000000,-21698000000.000000,-72642000000.000000,50944000000.000000,-21698000000.000000,,,-187791000000.000000,-11131000000.000000,-11131000000.000000,-11131000000.000000,-198922000000.000000,-187791000000.000000,-185973000000.000000,-1818000000.000000,,-187791000000.000000,-198922000000.000000,-197104000000.000000,-1818000000.000000,,-198922000000.000000
