Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok. Karyawan Dan Lainnya,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kepada Pemasok. Karyawan Dan Lainnya,Penerimaan Restitusi Pajak,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan Badan,Pembayaran Imbalan Kerja Jangka Panjang,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Pembayaran Bunga Yang Dikapitalisasi Ke Tanaman Belum Menghasilkan,Penerimaan Dari Petani Plasma,Penerimaan Dari Investasi Plasma,Pembayaran Atas Investasi Plasma,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Arus Kas Keluar Bersih Pada Tanggal Akuisisi Setelah Dikurangi Saldo Kas Entitas Anak Pada Tanggal Akuisisi,Penambahan Perkebunan Plasma,Uang Muka Penambahan Plasma,Uang Muka Pembelian Bangunan,Uang Muka Pembelian Mesin,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Investasi,Pembayaran Atas Transaksi Dengan Kepentingan Nonpengendali,Saldo Kas Pihak Yang Diakuisisi Secara Akuntansi Pada Tanggal Transaksi Akuisisi Terbalik,Pembayaran Sehubungan Dengan Hak Guna Usaha Dalam Proses,Pembayaran Atas Biaya Pengembangan Tanaman Perkebunan Dan Pembibitan,Pencairan Deposito Berjangka,Pengeluaran Kepada Petani Plasma,Penempatan Kas Yang Dibatasi Penggunaannya,Investasi Jangka Pendek,Penambahan Aset Tidak Berwujud,Pembayaran Atas Akuisisi Anak Perusahaan,Divestasi Anak Perusahaan,Penambahan Tanaman Perkebunan,Pembayaran Kepada Pihak Yang Mempunyai Hubungan Istimewa,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari Penawaran Umum Perdana Saham,Pihak Yang Mempunyai Hubungan Istimewa,Perolehan Dari Penerbitan Obligasi,Perolehan Pinjaman Bank,Jangka Panjang,Jangka Pendek,Total Perolehan Pinjaman Bank,Pembayaran Pinjaman Bank,Jangka Panjang,Jangka Pendek,Total Pembayaran Pinjaman Bank,Penerimaan Utang Lembaga Keuangan Bukan Bank,Pembayaran Utang Dari Lembaga Bukan Keuangan Bank,Penambahan Modal Entitas Anak,Perolehan Hutang Pembelian Kendaraan,Perolehan Dari Modal Disetor Lainnya,Penerimaan Uang Muka Setoran Modal,Pembayaran Dividen,Pembayaran Utang Pembelian Kendaraan,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Pinjaman Diterima,Hasil Transaksi Jual Dan Sewa-Balik,Pembayaran Saham Treasuri,Pembayaran Utang Pemegang Saham,Perolehan Dari Employee Stock Ownership Program,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,176991540000.000000,351746967000.000000,-150419888000.000000,,,-150419888000.000000,,-21102020000.000000,-3233519000.000000,,176991540000.000000,-436240753000.000000,738448000.000000,,6985755000.000000,,,55800518000.000000,,-804564000.000000,,,,-89409435000.000000,,,,,,,,,,,,-341828599000.000000,,-67722876000.000000,,,-436240753000.000000,277689342000.000000,,37605261000.000000,,157943682000.000000,,,157943682000.000000,-50808611000.000000,,,-50808611000.000000,,,,,135269400000.000000,,,,-2320390000.000000,,,,,,277689342000.000000,18440129000.000000,12841098000.000000,596568000.000000,31877795000.000000
12M 2008,182348551000.000000,541595073000.000000,-244399785000.000000,,,-244399785000.000000,,-52915395000.000000,-61931342000.000000,,182348551000.000000,-406014393000.000000,818662000.000000,,,,,-25967138000.000000,,-3225110000.000000,,,,-74388224000.000000,,,,,,,,,,,,-67000000000.000000,,-236252583000.000000,,,-406014393000.000000,209373026000.000000,57972600000.000000,,,159538096000.000000,,,159538096000.000000,-52391000.000000,,,-52391000.000000,,,,,,,,,-8085279000.000000,,,,,,209373026000.000000,-14292816000.000000,31877795000.000000,581440000.000000,18166419000.000000
12M 2009,152575624000.000000,579454940000.000000,-281716927000.000000,,,-281716927000.000000,,-46250893000.000000,-98911496000.000000,,152575624000.000000,-334320533000.000000,3598141000.000000,,,,,-43267772000.000000,,-1957590000.000000,-9784616000.000000,,,-55248230000.000000,,,,,,,,,,,,-5650000000.000000,,-222010466000.000000,,,-334320533000.000000,482075732000.000000,451515403000.000000,,,36337256000.000000,,,36337256000.000000,-102912000.000000,,,-102912000.000000,,,,,,,,,-5674015000.000000,,,,,,482075732000.000000,300330823000.000000,18166419000.000000,-107558000.000000,318389684000.000000
12M 2010,363275995000.000000,682756578000.000000,-177422725000.000000,,,-177422725000.000000,,-42278002000.000000,-99779856000.000000,,363275995000.000000,-850921294000.000000,11061902000.000000,,10360587000.000000,,,-682255000.000000,,-30615892000.000000,-30659507000.000000,,,-69372967000.000000,,,,,-112466073000.000000,,,,,-150000000000.000000,,-4850000000.000000,,-473697089000.000000,,,-850921294000.000000,668171333000.000000,,,692533104000.000000,155093398000.000000,,,155093398000.000000,-170121102000.000000,,,-170121102000.000000,,,,548000000.000000,,,,-250091000.000000,-9631976000.000000,,,,,,668171333000.000000,180526034000.000000,318389684000.000000,75861000.000000,498991579000.000000
12M 2011,280377305000.000000,926540833000.000000,-409315220000.000000,,,-409315220000.000000,9942189000.000000,-148840860000.000000,-97949637000.000000,,280377305000.000000,-1267455369000.000000,13442984000.000000,,16627691000.000000,,,26095297000.000000,,-57866823000.000000,-78743829000.000000,,,-118713734000.000000,480000000.000000,,,,-46535121000.000000,,,,,-32200000000.000000,,,,-990041834000.000000,,,-1267455369000.000000,546352839000.000000,,,,788367027000.000000,,,788367027000.000000,-242049922000.000000,,,-242049922000.000000,,39338397000.000000,,,,,-36333742000.000000,-423503000.000000,-6139274000.000000,,,,,3593856000.000000,546352839000.000000,-440725225000.000000,498991579000.000000,8214000.000000,58274568000.000000
12M 2012,136901237000.000000,960707341000.000000,-457005890000.000000,,,-457005890000.000000,,-237112465000.000000,-129687749000.000000,,136901237000.000000,-1109007737000.000000,5730672000.000000,,47292637000.000000,,,,-173472674000.000000,-90910782000.000000,-31787560000.000000,-56306510000.000000,,-135597224000.000000,,,,,-26247898000.000000,,,,,157200000000.000000,,,,-804908398000.000000,,,-1109007737000.000000,964320744000.000000,,,,1135719845000.000000,,,1135719845000.000000,-104831539000.000000,,,-104831539000.000000,,,,,,,-48537361000.000000,-1640280000.000000,-24501385000.000000,,,,,8111464000.000000,964320744000.000000,-7785756000.000000,58274568000.000000,64218000.000000,50553030000.000000
12M 2013,94821507000.000000,1198927474000.000000,-651920103000.000000,,,-651920103000.000000,,-346635293000.000000,-105550571000.000000,,94821507000.000000,-1103829990000.000000,1518640000.000000,,46176269000.000000,,,,-23388994000.000000,-68608429000.000000,-56135720000.000000,56306510000.000000,,-144246559000.000000,1050000000.000000,,,,-65339443000.000000,,,,,25000000000.000000,,,,-876162264000.000000,,,-1103829990000.000000,1025788865000.000000,344335000000.000000,,,802202349000.000000,,,802202349000.000000,-57524901000.000000,,,-57524901000.000000,,,,,,,-46642914000.000000,-1617041000.000000,-26296858000.000000,,,,,11333230000.000000,1025788865000.000000,16780382000.000000,50553030000.000000,910381000.000000,68243793000.000000
12M 2014,140355000000.000000,1914806000000.000000,-1490409000000.000000,,,-1490409000000.000000,,-241531000000.000000,-42511000000.000000,,140355000000.000000,-1381793000000.000000,3473000000.000000,,-44000000000.000000,102103000000.000000,-141574000000.000000,,-232228000000.000000,,,,,-347620000000.000000,995000000.000000,,-362933000000.000000,60471000000.000000,-7999000000.000000,-412481000000.000000,,,,,,,,,,,-1381793000000.000000,1091274000000.000000,,,,1961404000000.000000,,,1961404000000.000000,-870117000000.000000,,,-870117000000.000000,,,,,,,,,-13000000.000000,,,,,,1091274000000.000000,-150164000000.000000,328410000000.000000,355000000.000000,178601000000.000000
12M 2015,-34105000000.000000,2527231000000.000000,-1680168000000.000000,,,-1680168000000.000000,,-769863000000.000000,-111305000000.000000,,-34105000000.000000,-348801000000.000000,25943000000.000000,,,240544000000.000000,,,,,-26483000000.000000,,,-297711000000.000000,18368000000.000000,,3375000000.000000,,,-312837000000.000000,,,,,,,,,,,-348801000000.000000,1459570000000.000000,,,-700000000000.000000,4677270000000.000000,,,4677270000000.000000,-2506611000000.000000,,,-2506611000000.000000,,,,,,,,,-11089000000.000000,,,,,,1459570000000.000000,1076664000000.000000,178601000000.000000,-4144000000.000000,1251121000000.000000
12M 2016,-372104000000.000000,2447060000000.000000,,-1160955000000.000000,-711643000000.000000,-1872598000000.000000,,-872298000000.000000,-74268000000.000000,,-372104000000.000000,-203929000000.000000,14414000000.000000,,,132481000000.000000,,,,,-24546000000.000000,,,-188486000000.000000,10249000000.000000,,,,,-148041000000.000000,,,,,,,,,,,-203929000000.000000,-545764000000.000000,,,,4187460000000.000000,,,4187460000000.000000,-4727492000000.000000,,,-4727492000000.000000,,,,,,,,,-5732000000.000000,,,,,,-545764000000.000000,-1121797000000.000000,1251121000000.000000,43000000.000000,129367000000.000000
