Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,23 B,,23 B,82522.52
12M 2022,8 B,(17 B),(9 B),-33342.78
12M 2023,20 B,(36 B),(16 B),-58973.49
