Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Operasional Lainnya,Penerimaan Pendapatan Bunga,Pembayaran Untuk Biaya Keuangan,Penerimaan Dari Penghasilan Keuangan,Pembayaran Dividen,Penerimaan Kas Lainnya,Penerimaan Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Pembayaran Bangunan Dalam Proses,Penambahan Deposito,Penempatan Investasi Pada Entitas Asosiasi,Perubahan Kepemilikan Pada Entitas Anak,Perolehan Aset Takberwujud,Penerimaan Pembayaran Atas Pemberian Pinjaman Kepada Pihak Berelasi,Penjualan Aset Tetap,Penempatan Investasi Jangka Panjang,Peningkatan Aset Keuangan Lancar Lainnya,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penambahan Dana Syirkah Temporer,Pembayaran Dana Syirkah Temporer,Penerimaan Utang Sewa Pembiayaan,Pembayaran Kas Yang Dibatasi Penggunaannya,Pembayaran Utang Sewa Pembiayaan,Penambahan Aset Keuangan Lainnya,Penerimaan Liabilitas Sewa,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Tambahan Setoran Modal,Penerbitan Modal Saham,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan (Penurunan) Utang Bank Jangka Pendek - Kredit Rekening Koran,Kas Dan Bank Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,22887207088.000000,118362790104.000000,-28899408747.000000,-53081280084.000000,-5925411179.000000,,-4853128145.000000,,,1019455123.000000,,-3735809984.000000,22887207088.000000,,,,,,,,,,,,,,,18334051647.000000,,,,,-2627830259.000000,-22847482996.000000,,,30250000000.000000,,,,-645063478.000000,,163528380.000000,,,14040900000.000000,,,18334051647.000000,41221258735.000000,,,8004070903.000000,49225329638.000000
12M 2022,7734100083.000000,101458663684.000000,-40865720296.000000,-22608563678.000000,-27383498762.000000,,-3643595812.000000,,,2786380201.000000,,-2009565254.000000,7734100083.000000,-16981553674.000000,-16981553674.000000,,,,,,,,,,,,-16981553674.000000,-11058092740.000000,,,55246000000.000000,,-30887841073.000000,-4933634156.000000,,,3000000000.000000,-3427524256.000000,282572850.000000,-30000000000.000000,-174137725.000000,,,,-163528380.000000,,,,-11058092740.000000,-20305546331.000000,,,59602857240.000000,39297310909.000000
12M 2023,19735705441.000000,129626427997.000000,-48709047407.000000,-42022919130.000000,-17209085814.000000,,-7565985614.000000,,,4079886993.000000,,1536428416.000000,19735705441.000000,-36146492177.000000,-36091707048.000000,,-54785129.000000,,,,,,,,,,-36146492177.000000,-13672626965.000000,2977204389.000000,,33071929334.000000,,-700008000.000000,-45093892823.000000,,,30000000000.000000,-3844110996.000000,175237200.000000,-30000000000.000000,-258986069.000000,,,,,,,,-13672626965.000000,-30083413701.000000,,,29547207476.000000,-536206225.000000
