Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,965414.29,0.00,0.00,19.38 B,0.89%,10.86%,33.66%,1.14
12M 2021,0.00 B,30290207.49,0.00,0.00,18.63 B,26.83%,76.85%,13.33%,1.89
12M 2022,0.00 B,77869.51,0.00,0.00,17.84 B,4.76%,10.84%,8.68%,6.08
12M 2023,4.00 B,2.41,45.64,1.25,17.54 B,2.71%,4.80%,3.59%,3.11
12M 2024,4.00 B,1.93,68.91,1.47,14.55 B,1.65%,3.72%,3.16%,2.03
