Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Operasi Lainnya,Pembayaran Bunga,Penerimaan Bunga,Pembayaran (Penerimaan) Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Lain-Lain,Pihak Berelasi,Total Penerimaan Dari Piutang Lain-Lain,Pembayaran Untuk Piutang Lain-Lain,Pihak Berelasi,Total Pembayaran Untuk Piutang Lain-Lain,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari,Setoran Modal,Agio Saham,Utang Bank,Utang Lain-Lain Pihak Berelasi,Total Penerimaan Dari,Pembayaran Untuk,Utang Lain-Lain Pihak Berelasi.,Utang Bank,Utang Pembiayaan Konsumen,Total Pembayaran Untuk,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,46693304746.000000,473520269784.000000,-397366027158.000000,-13819510789.000000,-7674240240.000000,-7554546931.000000,,-412639920.000000,46693304746.000000,-31944613505.000000,,,,,-17181629111.000000,-17181629111.000000,,-14797984394.000000,35000000.000000,-31944613505.000000,-4576336834.000000,,,,14071323395.000000,,14071323395.000000,,,-18079672297.000000,-567987932.000000,-18647660229.000000,-4576336834.000000,10172354407.000000,-32850179319.000000,-22677824912.000000
12M 2021,13702834463.000000,441158622795.000000,-403153052172.000000,-16624679618.000000,-2075122466.000000,-5139538017.000000,,-463396059.000000,13702834463.000000,42606334833.000000,,,,,-18320119123.000000,-18320119123.000000,,-1502682407.000000,62429136363.000000,42606334833.000000,-18589441085.000000,,,,,1400000000.000000,1400000000.000000,,,-19281202508.000000,-708238577.000000,-19989441085.000000,-18589441085.000000,37719728211.000000,-22677824912.000000,15041903299.000000
12M 2022,19743414194.000000,401397468961.000000,-353152635122.000000,-18314408952.000000,-8120132916.000000,-1606602198.000000,,-460275579.000000,19743414194.000000,-48587669190.000000,,,,,-30896452812.000000,-30896452812.000000,-9739900000.000000,-8083316378.000000,132000000.000000,-48587669190.000000,24036187319.000000,,24000000000.000000,,6500000000.000000,,30500000000.000000,,-1400000000.000000,-4614623276.000000,-449189405.000000,-6463812681.000000,24036187319.000000,-4808067677.000000,15041903299.000000,10233835622.000000
12M 2023,-29223759542.000000,357464262082.000000,-351439517697.000000,-17098955130.000000,-12922717175.000000,-1976266008.000000,,-3250565614.000000,-29223759542.000000,-54463816360.000000,,121155237390.000000,121155237390.000000,,,,-175619053750.000000,,,-54463816360.000000,84368242408.000000,,20000000000.000000,55718995103.000000,19821000000.000000,,95539995103.000000,,,-10839416493.000000,-332336202.000000,-11171752695.000000,84368242408.000000,680666506.000000,10233835622.000000,10914502128.000000
12M 2024,-26434860640.000000,373384714635.000000,-368952621696.000000,-16636135732.000000,-6569653701.000000,-3478449100.000000,,-4182715046.000000,-26434860640.000000,-2989672031.000000,,,,,,,,-2989672031.000000,,-2989672031.000000,21818358848.000000,,,,55288600000.000000,,55288600000.000000,,,-33125114434.000000,-345126718.000000,-33470241152.000000,21818358848.000000,-7606173823.000000,10914502128.000000,3308328305.000000
