Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,12508939666.000000,11987672353.000000,3257320053.000000,8730352300.000000,11987672353.000000,17378202243.000000,14260523230.000000,56135337492.000000,,71938665455.000000,71938665455.000000,,71938665455.000000,8901242201.000000,1164491608.000000,79250777060.000000,,161255176324.000000,217390513816.000000,,,166086052537.000000,35186764578.000000,,120573784316.000000,3227072865.000000,123800857181.000000,,,,,1142402841.000000,,5292912844.000000,663115093.000000,5956027937.000000,166086052537.000000,33527933035.000000,,27933093869.000000,351012874.000000,28284106743.000000,5243826292.000000,33527933035.000000,199613985572.000000,,1000000000.000000,,17240480754.000000,,17240480754.000000,17240480754.000000,,-463952510.000000,17776528244.000000,217390513816.000000,2000.000000
12M 2021,,,15041903299.000000,4174899607.000000,3266395607.000000,908504000.000000,4174899607.000000,18595148398.000000,24244598700.000000,62056550004.000000,,90258784578.000000,90258784578.000000,,90258784578.000000,10240656369.000000,1143430202.000000,62076074316.000000,,163718945465.000000,225775495469.000000,,,131703242098.000000,,,107483217751.000000,8893977074.000000,116377194825.000000,,,1400000000.000000,1400000000.000000,9268952879.000000,,4289623373.000000,367471021.000000,4657094394.000000,131703242098.000000,15242680094.000000,,9655180832.000000,481088612.000000,10136269444.000000,5106410650.000000,15242680094.000000,146945922192.000000,,1000000000.000000,,77820895725.000000,,77820895725.000000,77820895725.000000,,8677552.000000,78829573277.000000,225775495469.000000,2000.000000
12M 2022,,,10233835622.000000,3762288369.000000,3661588369.000000,100700000.000000,3762288369.000000,8393702000.000000,32558666213.000000,54948492204.000000,,121155237390.000000,121155237390.000000,,121155237390.000000,12314140052.000000,1289158473.000000,62393194708.000000,9739900000.000000,206891630623.000000,261840122827.000000,,,130711352348.000000,,,104767714234.000000,7577625400.000000,112345339634.000000,,,,,12194260017.000000,,5839416492.000000,332336205.000000,6171752697.000000,130711352348.000000,16153951711.000000,,9990764437.000000,446456959.000000,10437221396.000000,5716730315.000000,16153951711.000000,146865304059.000000,,80000000000.000000,,35280018013.000000,2000000000.000000,33280018013.000000,35280018013.000000,,-305199245.000000,114974818768.000000,261840122827.000000,160000.000000
12M 2023,,,10914502128.000000,6275199936.000000,6275199936.000000,,6275199936.000000,25939027283.000000,69043474659.000000,112172204006.000000,,,,,,12789868252.000000,1350782149.000000,54848633414.000000,174597550000.000000,243586833815.000000,355759037821.000000,,,144009919896.000000,14821000000.000000,,111461992328.000000,473840002.000000,111935832330.000000,,,,,11866540088.000000,,5041420760.000000,345126718.000000,5386547478.000000,144009919896.000000,11000742301.000000,,4949343676.000000,101330244.000000,5050673920.000000,5950068381.000000,11000742301.000000,155010662197.000000,,100000000000.000000,55718995103.000000,44914088221.000000,2000000000.000000,42914088221.000000,44914088221.000000,,115292300.000000,200748375624.000000,355759037821.000000,4000000000.000000
12M 2024,,,3308328305.000000,2564430143.000000,2564430143.000000,,2564430143.000000,49366483455.000000,174326054312.000000,229565296215.000000,,,,,,11451641750.000000,1870782981.000000,50335173699.000000,174597550000.000000,238255148430.000000,467820444645.000000,,,233644681605.000000,23605000000.000000,,189949636765.000000,4242289847.000000,194191926612.000000,,,,,10827424757.000000,,4918999992.000000,101330244.000000,5020330236.000000,233644681605.000000,26425504508.000000,,18451250010.000000,,18451250010.000000,7974254498.000000,26425504508.000000,260070186113.000000,,100000000000.000000,55718995103.000000,52642908546.000000,2000000000.000000,50642908546.000000,52642908546.000000,,-611645117.000000,207750258532.000000,467820444645.000000,4000000000.000000
