Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Efek Tersedia Untuk Dijual,Others,Total Efek Tersedia Untuk Dijual,Surat Berharga Jangka Menengah,Others,Total Investasi Jangka Pendek,Piutang Premi,Piutang Reasuransi,Piutang Lain-Lain,Aset Reasuransi,Others,Total Aset Reasuransi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Liabilitas Kontrak Asuransi,Others,Total Liabilitas Kontrak Asuransi,Utang Reasuransi,Utang Pajak,Beban Akrual,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,5530337468.000000,,39769325000.000000,26623537500.000000,26623537500.000000,26623537500.000000,,8992176668.000000,75385039168.000000,41039425109.000000,32818987240.000000,3008500177.000000,89674997940.000000,,89674997940.000000,15269660718.000000,848140094.000000,8670925481.000000,272246013395.000000,,,8625375874.000000,146933330182.000000,,146933330182.000000,1346219813.000000,373844470.000000,936138228.000000,2421298036.000000,5928184103.000000,166564390706.000000,,60000000000.000000,2770781054.000000,41890089615.000000,35852515979.000000,6037573636.000000,41890089615.000000,1020752021.000000,105681622690.000000,272246013396.000000,300000000.000000
12M 2011,,7361612273.000000,,32041603600.000000,34780340000.000000,34780340000.000000,34780340000.000000,,10646465758.000000,77468409358.000000,29066369079.000000,17740427175.000000,4808850747.000000,78707283506.000000,,78707283506.000000,15675371184.000000,808163119.000000,9640828471.000000,241277314912.000000,,,9024869494.000000,132575539375.000000,,132575539375.000000,5440734538.000000,266550630.000000,1326909157.000000,3872465187.000000,8745826221.000000,161252894602.000000,,60000000000.000000,2770781054.000000,15767164118.000000,3571626826.000000,12195537292.000000,15767164118.000000,1486475138.000000,80024420310.000000,241277314912.000000,300000000.000000
12M 2012,,4805383310.000000,,35088340000.000000,34146400000.000000,34146400000.000000,34146400000.000000,,10179774323.000000,79414514323.000000,29313149386.000000,25069944513.000000,3623588815.000000,,21971157915.000000,21971157915.000000,14528896527.000000,1246159514.000000,9164844392.000000,189137638695.000000,,,5975174874.000000,68690374311.000000,68690374311.000000,68690374311.000000,8659893792.000000,1338636976.000000,2087174323.000000,5063936058.000000,10401589332.000000,102216779666.000000,,60000000000.000000,2770781054.000000,23352542836.000000,10887265654.000000,12465277182.000000,23352542836.000000,797535138.000000,86920859028.000000,189137638694.000000,300000000.000000
12M 2013,,8465068981.000000,,52588320854.000000,30976852000.000000,30976852000.000000,30976852000.000000,,7107227624.000000,90672400478.000000,39629974789.000000,21142033790.000000,2997986958.000000,,10780986463.000000,10780986463.000000,14088722967.000000,2124532026.000000,12190514674.000000,202092221126.000000,,,5184652086.000000,80238413062.000000,80238413062.000000,80238413062.000000,11720617725.000000,720783064.000000,1999037600.000000,2242298144.000000,13337495818.000000,115443297499.000000,,60000000000.000000,2770781054.000000,25268488729.000000,5906804256.000000,19361684473.000000,25268488729.000000,-1390346156.000000,86648923627.000000,202092221126.000000,300000000.000000
12M 2014,,10848201707.000000,,113168340000.000000,25400122000.000000,25400122000.000000,25400122000.000000,,6938332237.000000,145506794237.000000,49476492785.000000,15560947743.000000,2153639550.000000,,16466160975.000000,16466160975.000000,61968314059.000000,4210674012.000000,8655028706.000000,314846253774.000000,,,10577420250.000000,117235666689.000000,117235666689.000000,117235666689.000000,9224149982.000000,1656822563.000000,1422615627.000000,4694808206.000000,15861121946.000000,160672605263.000000,,60000000000.000000,2770781054.000000,42811020014.000000,19361684473.000000,23449335541.000000,42811020014.000000,48591847443.000000,154173648511.000000,314846253774.000000,300000000.000000
12M 2015,,16669022834.000000,,105893480000.000000,34085758000.000000,34085758000.000000,34085758000.000000,,8176935622.000000,148156173622.000000,61634371612.000000,23980235694.000000,713988216.000000,,56832319369.000000,56832319369.000000,66401864758.000000,5298089917.000000,10397074087.000000,390083140109.000000,,,8780597350.000000,172940976019.000000,172940976019.000000,172940976019.000000,11554802600.000000,3424585619.000000,1364280431.000000,6231304760.000000,19570107880.000000,223866654659.000000,,60000000000.000000,2770781054.000000,55349774822.000000,31202893091.000000,24146881731.000000,55349774822.000000,48095929574.000000,166216485450.000000,390083140109.000000,600000000.000000
12M 2016,,11600901881.000000,,119384140000.000000,60434202195.000000,60434202195.000000,60434202195.000000,,5711905475.000000,185530247670.000000,63844826473.000000,7584359258.000000,713988216.000000,,72203373091.000000,72203373091.000000,66139554822.000000,5679458927.000000,13752766992.000000,427049477330.000000,,,9028257484.000000,192173411374.000000,192173411374.000000,192173411374.000000,12047088090.000000,1229851097.000000,1369246070.000000,9546576718.000000,18124635574.000000,243519066407.000000,,60000000000.000000,2770781054.000000,72370983207.000000,42336309014.000000,30034674193.000000,72370983207.000000,48388646662.000000,183530410923.000000,427049477330.000000,600000000.000000
12M 2017,,14519676151.000000,,103908836000.000000,63469568770.000000,63469568770.000000,63469568770.000000,,3234710450.000000,170613115220.000000,76508107097.000000,14346522792.000000,713988216.000000,,67811413498.000000,67811413498.000000,75147449627.000000,6358668040.000000,20089222561.000000,446108163202.000000,,,7649405701.000000,184221512403.000000,184221512403.000000,184221512403.000000,15163595819.000000,668490440.000000,2179520879.000000,6310038845.000000,18471162439.000000,234663726526.000000,,60000000000.000000,2770781054.000000,87339763572.000000,58334658124.000000,29005105448.000000,87339763572.000000,61333892050.000000,211444436676.000000,446108163202.000000,600000000.000000
12M 2018,,11675712902.000000,,84331935000.000000,73073108583.000000,73073108583.000000,73073108583.000000,,3550789980.000000,160955833563.000000,83935111290.000000,13126436678.000000,11339863183.000000,,96820872591.000000,96820872591.000000,86766152494.000000,6773450869.000000,7045899469.000000,478439333039.000000,,,12624442968.000000,207606661756.000000,207606661756.000000,207606661756.000000,11221131258.000000,938457688.000000,2786503474.000000,5755573881.000000,17880666239.000000,258813437264.000000,,60000000000.000000,2770781054.000000,100457453921.000000,69103710506.000000,31353743415.000000,100457453921.000000,56397660750.000000,219625895725.000000,478439332989.000000,600000000.000000
12M 2019,,9180911925.0,,70658560550.0,64381079533.0,64381079533.0,64381079533.0,1000000000.0,3013810200.0,139053450283.0,68212275551.0,24372745095.0,7895074576.0,,96412806363.0,96412806363.0,82235156900.0,6897649722.0,13410254364.0,447670324779.0,,,25661728770.0,191828692769.0,191828692769.0,191828692769.0,5816748324.0,357373479.0,399004900.0,1559666255.0,12684004951.0,238307219448.0,,60000000000.0,2770781054.0,88545696238.0,80988529488.0,7557166750.0,88545696238.0,58046628038.0,209363105330.0,447670324778.0,600000000.0
12M 2020,,10218012106.0,,53165125250.0,41118839759.0,41118839759.0,41118839759.0,1000000000.0,3389308660.0,98673273669.0,53491589331.0,43449304553.0,9655703536.0,,39179219462.0,39179219462.0,94477864482.0,5746939267.0,10872001848.0,365763908254.0,,,11228088112.0,112450907098.0,112450907098.0,112450907098.0,10964575454.0,309595042.0,845340754.0,8520962475.0,11909816024.0,156229284959.0,,60000000000.0,2770781054.0,80778436780.0,82212279999.0,-1433843219.0,80778436780.0,65985405461.0,209534623295.0,365763908254.0,600000000.0
12M 2021,,8301695852.0,,122869225125.0,59160180778.0,59160180778.0,59160180778.0,1000000000.0,2252634930.0,185282040833.0,69037661122.0,51368504280.0,11675040333.0,,95041795727.0,95041795727.0,90101371556.0,5280431097.0,11763703847.0,527852244647.0,,,8341020604.0,168000145888.0,168000145888.0,168000145888.0,24080932611.0,311118815.0,388300000.0,3324384530.0,14952466362.0,219398368810.0,,140000000000.0,20971259054.0,81124153996.0,82212279999.0,-1088126003.0,81124153996.0,66358462787.0,308453875837.0,527852244647.0,1400000000.0
12M 2022,,9785303347.0,,104782992000.0,74819728163.0,74819728163.0,74819728163.0,1000000000.0,1850600172.0,182453320335.0,59264696417.0,35549567682.0,11249638637.0,,84131397891.0,84131397891.0,99397076352.0,5481807186.0,11718948246.0,499031756093.0,,,3387923494.0,146560891542.0,146560891542.0,146560891542.0,15312505040.0,255163041.0,321900000.0,1163153682.0,14188159174.0,181189695973.0,,140000000000.0,20971259054.0,81698156855.0,82212279999.0,-514123144.0,81698156855.0,75172644211.0,317842060120.0,499031756093.0,1400000000.0
12M 2023,,9957768696.0,,92579160000.0,95311413382.0,95311413382.0,95311413382.0,1000000000.0,1055240000.0,189945813382.0,64716340954.0,39739377483.0,9289449824.0,,69606341944.0,69606341944.0,97942050145.0,5040613425.0,12485380227.0,498723136080.0,,,5439164547.0,125225573025.0,125225573025.0,125225573025.0,23175130718.0,385249492.0,2075304418.0,2748830472.0,15300026661.0,174349279333.0,,140000000000.0,20971259054.0,85717712782.0,82212279999.0,3505432783.0,85717712782.0,77684884911.0,324373856747.0,498723136080.0,1400000000.0
12M 2024,,8709898867.0,,110015454841.0,101740164823.0,101740164823.0,101740164823.0,925000000.0,1347024000.0,214027643664.0,70753435593.0,26839090585.0,10285510554.0,,124025702111.0,124025702111.0,97820820729.0,6833388742.0,14142193978.0,573437684823.0,,,2561881111.0,203100974345.0,203100974345.0,203100974345.0,22441142011.0,219287649.0,1171013344.0,462043078.0,16383882943.0,246340224481.0,,140000000000.0,20971259054.0,90487588617.0,82212279999.0,8275308618.0,90487588617.0,75638612671.0,327097460342.0,573437684823.0,1400000000.0
