Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Reasuransi,Penerimaan Lain-Lain,Pembayaran Premi Reasuransi,Pembayaran Klaim,Pembayaran Komisi,Pembayaran Beban Usaha,Pembayaran Tantiem,Penerimaan Dari Pengembalian Pajak,Pembayaran Pajak,Pembayaran Beban Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposlto,Penerimaan Hasil Investasi,Hasil Penjualan Saham,Hasil Penjualan Aset Tetap,Penjualan Saham,Penjualan Reksa Dana,Penjualan Investasi Lain,Pembelian Perangkat Lunak,Penjualan Obligasi,Penempatan Deposito,Pembelian Obligasi,Pembelian Reksa Dana,Pembelian Aset Lain,Pembelian Saham,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Tambahan Modal Disetor,Pembayaran Liabilitas Sewa,Biaya Emisi Saham,Pembayaran Tantiem,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,9145323934.000000,149093609827.000000,22954523636.000000,1876755556.000000,-31171051122.000000,-53256411875.000000,-31799215554.000000,-38939658564.000000,-900496234.000000,,-5410683531.000000,-3302048205.000000,,9145323934.000000,-114049129.000000,171652128600.000000,5512794641.000000,345508254.000000,257287500.000000,6012554938.000000,,,,9167000000.000000,-163924407200.000000,-17271000000.000000,,,-9472757188.000000,-2393158674.000000,-114049129.000000,-7200000000.000000,-7200000000.000000,,,,,-7200000000.000000,,1831274805.000000,5530337468.000000,7361612273.000000
12M 2012,191562022.000000,225327624406.000000,34660549541.000000,7090406761.000000,-45446227347.000000,-132409266301.000000,-37830405208.000000,-41525399031.000000,-975418510.000000,,-5409445716.000000,-3290856573.000000,,191562022.000000,909209015.000000,129028293600.000000,5460700521.000000,359445225.000000,55000000.000000,8721335750.000000,,,,14316000000.000000,-132050030000.000000,-16055000000.000000,,,-8019165375.000000,-907370706.000000,909209015.000000,-3657000000.000000,-3657000000.000000,,,,,-3657000000.000000,,-2556228963.000000,7361612273.000000,4805383310.000000
12M 2013,18708787509.000000,259628132720.000000,28365703031.000000,4789802775.000000,-35521581926.000000,-137350177805.000000,-46534575643.000000,-45409700678.000000,-938437500.000000,,-5525292376.000000,-2795085089.000000,,18708787509.000000,-11311101839.000000,138115592619.000000,4537637333.000000,315774675.000000,845500000.000000,4221055125.000000,,,,7090000000.000000,-155615573473.000000,-3950000000.000000,,,-5626988750.000000,-1244099368.000000,-11311101839.000000,-3738000000.000000,-3738000000.000000,,,,,-3738000000.000000,,3659685670.000000,4805383309.000000,8465068979.000000
12M 2014,39499859799.000000,215157646760.000000,18097928724.000000,7579506326.000000,-28414948936.000000,-78282664913.000000,-44002912696.000000,-44606873553.000000,,,-5340349559.000000,-687472354.000000,,39499859799.000000,-37116727073.000000,242623135021.000000,7512338060.000000,605013668.000000,9575670600.000000,8578699450.000000,,,,43756500000.000000,-303203154167.000000,-37852500000.000000,,,-7803805875.000000,-908623830.000000,-37116727073.000000,,,,,,,,,2383132726.000000,8465068981.000000,10848201707.000000
12M 2015,5737323703.000000,208999410439.000000,23158823614.000000,19178469519.000000,-37973225458.000000,-106398515302.000000,-41374004965.000000,-51590134027.000000,,,-6555892378.000000,-1707607739.000000,,5737323703.000000,5345497423.000000,288744956500.000000,9404259683.000000,76772675.000000,3493700000.000000,2286112825.000000,,,,20157975000.000000,-281520096500.000000,-27537500000.000000,,,-4068971000.000000,-5691711760.000000,5345497423.000000,-5262000000.000000,-5262000000.000000,,,,,-5262000000.000000,,5820821126.000000,10848201707.000000,16669022833.000000
12M 2016,31426678045.000000,189405060101.000000,45741335822.000000,1381475533.000000,-52302982628.000000,-56491066542.000000,-35855069351.000000,-47639889027.000000,,,-8469867988.000000,-4342317875.000000,,31426678045.000000,-30260798998.000000,411180967000.000000,9281186151.000000,,,7526092700.000000,,,,8450000000.000000,-424671627000.000000,-33820000000.000000,,,-6049856875.000000,-2157560974.000000,-30260798998.000000,-6234000000.000000,-6234000000.000000,,,,,-6234000000.000000,,-5068120953.000000,16669022834.000000,11600901881.000000
12M 2017,-19184706187.000000,206766166618.000000,28155072165.000000,16718325232.000000,-70449661248.000000,-95214925573.000000,-42930360039.000000,-51992816637.000000,,,-9765118476.000000,-471388229.000000,,-19184706187.000000,29213857838.000000,446812471673.000000,10493925113.000000,,,7779756000.000000,,,,35795000000.000000,-430409670000.000000,-34522500000.000000,,,-5807627275.000000,-927497673.000000,29213857838.000000,-7110377381.000000,-7110377381.000000,,,,,-7110377381.000000,,2918774270.000000,11600901881.000000,14519676151.000000
12M 2018,-6856864231.000000,218274372977.000000,40119148239.000000,22746496092.000000,-64607669997.000000,-105354012480.000000,-37295709270.000000,-63295646345.000000,,,-8895213144.000000,-8548630303.000000,,-6856864231.000000,15346900982.000000,541512201000.000000,8411354350.000000,,1810712701.000000,5423787059.000000,,,,15450000000.000000,-521935300000.000000,-29705000000.000000,,,-5620854128.000000,,15346900982.000000,-11334000000.000000,-11334000000.000000,,,,,-11334000000.000000,,-2843963249.000000,14519676151.000000,11675712902.000000
12M 2019,-20409428987.000000,218915654024.000000,22351878043.000000,8416888013.000000,-64987426410.000000,-95950465439.000000,-35704156182.000000,-59481546990.000000,,,-8282307691.000000,-5687946355.000000,,-20409428987.000000,30424628010.000000,405987500000.000000,8486828783.000000,,600000.000000,5148388740.000000,,,,11000000000.000000,-4425612125.000000,-392677528000.000000,,,-1000000000.000000,-2095549388.000000,30424628010.000000,-12510000000.000000,-12510000000.000000,,,,,-12510000000.000000,,-2494800977.000000,11675712902.000000,9180911925.000000
12M 2020,-46603206911.000000,158092003754.000000,40383524758.000000,1907447666.000000,-51540818616.000000,-114170609363.000000,-26142450071.000000,-51281777032.000000,,,-3020070029.000000,-830457978.000000,,-46603206911.000000,47640307092.000000,372010893516.000000,6113237881.000000,,,,,,,28778664709.000000,-354544914300.000000,-2079734000.000000,,,,-2637840714.000000,47640307092.000000,,,,,,,,,1037100181.000000,9180911925.000000,10218012106.000000
