Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Pendapatan Underwriting,Hasil Investasi,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Beban Komisi,Beban Usaha,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,119226750172.000000,171563137067.000000,-62736014358.000000,5565750722.000000,,4833876741.000000,119226750172.000000,-107569498688.000000,-64962158726.000000,37387531541.000000,-25386093422.000000,-52415103732.000000,,-2193674349.000000,-107569498688.000000,11657251484.000000,2046478731.000000,,13703730215.000000,-2730271973.000000,-2690295000.000000,-39976973.000000,-2730271973.000000,10973458242.000000,465723117.000000,465723117.000000,465723117.000000,11439181359.000000,10973458242.000000,10973458242.000000,,10973458242.000000,11439181359.000000,11439181359.000000,,11439181359.000000
12M 2012,179549164946.000000,239401482253.000000,-58723453729.000000,-5232945949.000000,,4104082371.000000,179549164946.000000,-166222032947.000000,-126902351758.000000,42897554807.000000,-38653957391.000000,-51685514029.000000,,8122235424.000000,-166222032947.000000,13327131999.000000,2168931211.000000,,15496063210.000000,-3034411355.000000,-3472407750.000000,437996395.000000,-3034411355.000000,12461651855.000000,-688940000.000000,-688940000.000000,-688940000.000000,11772711855.000000,12461651855.000000,12461651855.000000,,12461651855.000000,11772711855.000000,11772711855.000000,,11772711855.000000
12M 2013,236282931419.000000,288500447065.000000,-43044975662.000000,-12316980304.000000,,3144440320.000000,236282931419.000000,-234861102023.000000,-127797307470.000000,8620302059.000000,-49027316629.000000,-55329300085.000000,,-11327479898.000000,-234861102023.000000,1421829396.000000,4452905981.000000,,5874735377.000000,-220789490.000000,-1099162000.000000,878372510.000000,-220789490.000000,5653945887.000000,-2187881294.000000,-2187881294.000000,-2187881294.000000,3466064593.000000,5653945887.000000,5653945887.000000,,5653945887.000000,3466064593.000000,3466064593.000000,,3466064593.000000
12M 2014,211539725631.000000,250103765016.000000,-35394523331.000000,-12056710033.000000,,8887193979.000000,211539725631.000000,-202650759980.000000,-84398421954.000000,9632867434.000000,-47857961982.000000,-58628282250.000000,,-21398961228.000000,-202650759980.000000,8888965651.000000,9055702396.000000,,17944668047.000000,-402136762.000000,-2488278750.000000,2086141988.000000,-402136762.000000,17542531285.000000,49982193599.000000,49982193599.000000,49982193599.000000,67524724884.000000,17542531285.000000,17542531285.000000,,17542531285.000000,67524724884.000000,67524724884.000000,,67524724884.000000
12M 2015,220095529271.000000,261351764307.000000,-46044777083.000000,-4231863115.000000,,9020405162.000000,220095529271.000000,-204845324732.000000,-111103282634.000000,31158766167.000000,-46349771417.000000,-63868712973.000000,,-14682323875.000000,-204845324732.000000,15250204539.000000,6836117410.000000,,22086321949.000000,-4272856473.000000,-4910205250.000000,637348777.000000,-4272856473.000000,17813465476.000000,1293841376.000000,1293841376.000000,1293841376.000000,19107306852.000000,17813465476.000000,17813465476.000000,,17813465476.000000,19107306852.000000,19107306852.000000,,19107306852.000000
12M 2016,207397974335.000000,259043584163.000000,-70904471529.000000,7851700023.000000,,11407161678.000000,207397974335.000000,-181057885066.000000,-109261340725.000000,39560671342.000000,-35745036444.000000,-62284589844.000000,,-13327589395.000000,-181057885066.000000,26340089269.000000,1902898279.000000,,28242987548.000000,-4541729609.000000,-4895356250.000000,353626641.000000,-4541729609.000000,23701257939.000000,292717088.000000,292717088.000000,292717088.000000,23993975027.000000,23701257939.000000,23701257939.000000,,23701257939.000000,23993975027.000000,23993975027.000000,,23993975027.000000
12M 2017,184772622714.000000,272382364576.000000,-95419368356.000000,-2677017717.000000,,10486644211.000000,184772622714.000000,-159908202901.000000,-111714142163.000000,40642178919.000000,-30808587332.000000,-62900863180.000000,,4873210855.000000,-159908202901.000000,24864419813.000000,1765699334.000000,,26630119147.000000,-3958429953.000000,-4917589000.000000,959159047.000000,-3958429953.000000,22671689194.000000,12945245388.000000,12945245388.000000,12945245388.000000,35616934582.000000,22671689194.000000,22671689194.000000,,22671689194.000000,35616934582.000000,35616934582.000000,,35616934582.000000
12M 2018,192283936009.000000,255849157191.000000,-76493742916.000000,3809969787.000000,,9118551947.000000,192283936009.000000,-167358147412.000000,-120611604575.000000,51517725846.000000,-31702270298.000000,-67715518555.000000,,1153520170.000000,-167358147412.000000,24925788597.000000,4689981771.000000,,29615770368.000000,-4595443192.000000,-4936609250.000000,341166058.000000,-4595443192.000000,25020327176.000000,-4936231250.000000,-4936231250.000000,-4936231250.000000,20084095926.000000,25020327176.000000,25020327176.000000,,25020327176.000000,20084095926.000000,20084095926.000000,,20084095926.000000
12M 2019,161499894461.000000,222059871727.000000,-82681757230.000000,13431414538.000000,,8690365426.000000,161499894461.000000,-160855970054.000000,-120235759209.000000,48983011398.000000,-23563084653.000000,-67918769628.000000,,1878632038.000000,-160855970054.000000,643924407.000000,1954106641.000000,,2598031048.000000,-1374280552.000000,-1319911500.000000,-54369052.000000,-1374280552.000000,1223750496.000000,1648967238.000000,1648967238.000000,1648967238.000000,2872717734.000000,1223750496.000000,1223750496.000000,,1223750496.000000,2872717734.000000,2872717734.000000,,2872717734.000000
12M 2020,113383364806.000000,153682095002.000000,-60039527274.000000,13448900622.000000,,6291896456.000000,113383364806.000000,-120404894885.000000,-102880879535.000000,53411810905.000000,-18691349320.000000,-60759026488.000000,,8514549553.000000,-120404894885.000000,-7021530079.000000,615124119.000000,,-6406405960.000000,-1360853498.000000,-106443480.000000,-1254410018.000000,-1360853498.000000,-7767259458.000000,7938777423.000000,7938777423.000000,7938777423.000000,171517965.000000,-7767259458.000000,-7767259458.000000,,-7767259458.000000,171517965.000000,171517965.000000,,171517965.000000
