Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,0.0
12M 2011,,,,,,,,,7.71,,0.46,,,,0.0
12M 2012,,,,,,,,,11.89,12.46,0.83,0.86,,,0.0
12M 2013,,,,,,,,,16.51,17.05,1.21,1.13,,,0.0
12M 2014,,,,,,,,,5.56,5.68,0.82,0.73,,,0.0
12M 2015,,,,,,,,,3.43,3.44,0.62,0.56,,,0.0
12M 2016,,,,,,,,,3.13,3.13,0.51,0.5,,,0.0
12M 2017,,,,,,,,,2.62,2.61,0.42,0.42,,,0.0
12M 2018,,,,,,,,,2.38,2.38,0.42,0.39,,,0.0
12M 2019,,,,,,,,,1.91,1.95,0.35,0.35,,,0.0
12M 2020,,,,,,,,,1.28,1.3,0.28,0.3,,,0.0
12M 2021,,,,,,,,,1.29,1.32,0.27,0.22,,,0.0
12M 2022,,,,,,,,,1.05,1.06,0.19,0.2,,,0.0
12M 2023,,,,,,,,,1.27,1.29,0.25,0.25,,,0.0
12M 2024,,,,,,,,,1.39,1.39,0.25,0.25,,,0.0
