Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Penerimaan Bunga,Pembayaran Biaya Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Piutang Lain-Lain Pihak Berelasi,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Modal Saham,Penerimaan Dana Ipo Bersih,Beban Emisi Ipo,Agio Saham,Pembelian Saham Treasuri,Warrant,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Deviden,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Setoran Modal Entitas Anak,Penerimaan Dari Exercise Warant,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,2040651498.000000,36530725513.000000,-5432673922.000000,-19930004358.000000,-7643423101.000000,53968277.000000,-797619989.000000,-740320922.000000,2040651498.000000,-6238325174.000000,-2065523538.000000,,-615259023.000000,-3557542613.000000,-6238325174.000000,4224839662.000000,4500036000.000000,,,,,,3978580164.000000,-3058339168.000000,,,781503279.000000,-1976940613.000000,,,,4224839662.000000,27165986.000000,941595224.000000,968761210.000000
12M 2020,10921749371.000000,41587087252.000000,-7068468155.000000,-14501216095.000000,-7369906615.000000,34872797.000000,-1002021334.000000,-758598479.000000,10921749371.000000,-3867832730.000000,-1868024417.000000,,71326871.000000,-2071135184.000000,-3867832730.000000,-5628686604.000000,,,,,,,458282842.000000,-4863999676.000000,,,6471685860.000000,-144318750.000000,,,-7550336880.000000,-5628686604.000000,1425230037.000000,968761210.000000,2393991247.000000
12M 2021,30062426062.000000,107230203797.000000,-9294763150.000000,-55276960123.000000,-10199305299.000000,26836731.000000,-661706038.000000,-1761879856.000000,30062426062.000000,-3599775352.000000,-1341414384.000000,,-68782569.000000,-2189578399.000000,-3599775352.000000,-14530172240.000000,,,,,,,597072338.000000,-795800000.000000,,,1250656417.000000,-8013289115.000000,,,-7568811880.000000,-14530172240.000000,11932478470.000000,2393991247.000000,14326469717.000000
12M 2022,18337201622.000000,173651324197.000000,-16487579781.000000,-99328710125.000000,-30554700683.000000,85883765.000000,-670985661.000000,-8358030090.000000,18337201622.000000,-25232070348.000000,-12163874238.000000,,1064216487.000000,-14132412597.000000,-25232070348.000000,19060789534.000000,20000000000.000000,,,,,,14710571213.000000,-13190221898.000000,-94526000.000000,,3000358062.000000,-3857989863.000000,10000000.000000,,-1517401980.000000,19060789534.000000,12165920808.000000,14326469717.000000,26492390525.000000
12M 2023,10946343481.000000,290683835701.000000,-26350862919.000000,-217003403996.000000,-30711031781.000000,362773037.000000,-730113012.000000,-5304853549.000000,10946343481.000000,-55574417248.000000,-22397397068.000000,,,-33177020180.000000,-55574417248.000000,39697669972.000000,60000000000.000000,,-4632801079.000000,,,,,-95398035.000000,-226862400.000000,-7110097864.000000,,,,10441350.000000,-8247612000.000000,39697669972.000000,-4930403795.000000,26492390525.000000,21561986730.000000
12M 2024,81983446217.000000,451079497782.000000,-27835421915.000000,-319279016949.000000,-14097824122.000000,320778997.000000,-672036850.000000,-7532530726.000000,81983446217.000000,-48975977373.000000,-48423051395.000000,405000000.000000,,-957925978.000000,-48975977373.000000,-21015586837.000000,,,,,-869191200.000000,,,,-289121400.000000,-10154317235.000000,,,,17537398.000000,-9720494400.000000,-21015586837.000000,11991882007.000000,21561986730.000000,33553868737.000000
