Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Pemegang Saham,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,968761210.000000,12063444297.000000,2492495449.000000,9570948848.000000,12063444297.000000,1072760789.000000,1066760789.000000,6000000.000000,1072760789.000000,1750088886.000000,15855055182.000000,,9119344563.000000,9578988013.000000,494126200.000000,15000000.000000,19207458776.000000,35062513958.000000,,,21751350489.000000,1905333280.000000,32166342.000000,3352106121.000000,482645441.000000,8885748216.000000,7093351089.000000,,,,,21751350489.000000,1838463431.000000,,,,,1838463431.000000,1838463431.000000,23589813920.000000,,13000036000.000000,,-1448744567.000000,-1448744567.000000,,-1448744567.000000,-78591395.000000,11472700038.000000,35062513958.000000,382354.000000
12M 2020,,,2393991247.000000,20305853143.000000,5874053806.000000,14431799337.000000,20305853143.000000,1000933918.000000,995433918.000000,5500000.000000,1000933918.000000,1676481699.000000,25377260007.000000,,16875863182.000000,10942118190.000000,978794609.000000,15000000.000000,28811775981.000000,54189035988.000000,,,33111109773.000000,2419823394.000000,44722742.000000,4823419103.000000,847709737.000000,4480031382.000000,13420718199.000000,,7074685216.000000,,7074685216.000000,33111109773.000000,6555025709.000000,,,1277049468.000000,1277049468.000000,5277976241.000000,6555025709.000000,39666135482.000000,,13000036000.000000,,1671418922.000000,1671418922.000000,,1671418922.000000,-148554416.000000,14522900506.000000,54189035988.000000,382354.000000
12M 2021,,,14326469717.000000,9353587128.000000,,9353587128.000000,9353587128.000000,1064716487.000000,1064216487.000000,500000.000000,1064716487.000000,1685545579.000000,26430318911.000000,,8375642562.000000,11671325905.000000,1155159637.000000,2612251585.000000,23814379689.000000,50244698600.000000,,,19868277216.000000,1461319016.000000,54804059.000000,5633793176.000000,563935206.000000,4281303720.000000,6658085501.000000,,1215036538.000000,,1215036538.000000,19868277216.000000,10877763959.000000,,,,,10877763959.000000,10877763959.000000,30746041175.000000,,13000036000.000000,,6563360840.000000,6563360840.000000,,6563360840.000000,-64739415.000000,19498657425.000000,50244698600.000000,382354.000000
12M 2022,,,26492390525.000000,23160168529.000000,812252891.000000,22347915638.000000,23160168529.000000,2357899286.000000,,2357899286.000000,2357899286.000000,18547670307.000000,70558128647.000000,,20973747605.000000,23749423804.000000,1530381243.000000,2919955170.000000,49173507822.000000,119731636469.000000,,,43547755756.000000,32129025354.000000,365605347.000000,1486298348.000000,3155514800.000000,5801653035.000000,,,264672800.000000,344986072.000000,609658872.000000,43547755756.000000,21484532643.000000,,94526000.000000,737527571.000000,832053571.000000,20652479072.000000,21484532643.000000,65032288399.000000,,38286413300.000000,8514076000.000000,8275690438.000000,7275690438.000000,1000000000.000000,8275690438.000000,-376831668.000000,54699348070.000000,119731636469.000000,1531456532.000000
12M 2023,,,21561986730.000000,48326693723.000000,75933548.000000,48250760175.000000,48326693723.000000,7618786445.000000,,7618786445.000000,7618786445.000000,40352988680.000000,117860455578.000000,,55968045731.000000,49602447756.000000,1456681519.000000,2884166420.000000,109911341426.000000,227771797004.000000,,,80312839247.000000,54269390320.000000,132900000.000000,1062433900.000000,9824255348.000000,5706255000.000000,,,132336400.000000,9185268279.000000,9317604679.000000,80312839247.000000,27579820224.000000,,,9934629391.000000,9934629391.000000,17645190833.000000,27579820224.000000,107892659471.000000,,50788153525.000000,51389976046.000000,18209489032.000000,17209489032.000000,1000000000.000000,18209489032.000000,-508481070.000000,119879137533.000000,227771797004.000000,2031526141.000000
12M 2024,,,33553868737.000000,90368699458.000000,76687700.000000,90292011758.000000,90368699458.000000,1553372848.000000,,1553372848.000000,1553372848.000000,26491878472.000000,151967819515.000000,,88608585173.000000,35123245000.000000,792344559.000000,2859608667.000000,127383783399.000000,279351602914.000000,,,112955971947.000000,73258031049.000000,117418371.000000,1559619834.000000,23092646338.000000,5706405000.000000,,,105790281.000000,9116061074.000000,9221851355.000000,112955971947.000000,32264852224.000000,,,1379093692.000000,1379093692.000000,30885758532.000000,32264852224.000000,145220824171.000000,,50791076425.000000,51404590546.000000,33928864733.000000,32928864733.000000,1000000000.000000,33928864733.000000,-1993752961.000000,134130778743.000000,279351602914.000000,2031643057.000000
