Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,10399.17,0.00,0.00,8.61 B,11.34%,34.66%,99.92%,8.34
12M 2020,0.00 B,8160.40,0.00,0.00,16.51 B,5.76%,21.48%,39.82%,3.32
12M 2021,0.00 B,12794.27,0.00,0.00,19.56 B,9.74%,25.09%,32.11%,7.55
12M 2022,1.53 B,6.34,0.00,0.00,14.54 B,8.11%,17.76%,16.17%,10.70
12M 2023,2.03 B,8.39,10.25,0.55,28.19 B,7.48%,14.22%,7.73%,3.94
12M 2024,2.03 B,12.74,9.26,0.50,61.95 B,9.26%,19.29%,19.76%,17.54
