Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,41788861136.000000,-20279402413.000000,21509458723.000000,-14859079312.000000,-14220807539.000000,-638271773.000000,-14859079312.000000,6650379411.000000,-726043796.000000,-797619989.000000,71576193.000000,,-726043796.000000,5924335615.000000,-1948171305.000000,-2416100373.000000,467929068.000000,-1948171305.000000,3976164310.000000,-78591395.000000,,-78591395.000000,3897572915.000000,3976164310.000000,3976164310.000000,,3976164310.000000,3897572915.000000,3897572915.000000,,3897572915.000000
12M 2020,46720167557.000000,-21839940585.000000,24880226972.000000,-18032655767.000000,-16928400913.000000,-1104254854.000000,-18032655767.000000,6847571205.000000,-1995880423.000000,-2062986704.000000,67106281.000000,,-1995880423.000000,4851690782.000000,-1731527293.000000,-2196462542.000000,464935249.000000,-1731527293.000000,3120163489.000000,-69963021.000000,,-69963021.000000,3050200468.000000,3120163489.000000,3120163489.000000,,3120163489.000000,3050200468.000000,3050200468.000000,,3050200468.000000
12M 2021,90691800295.000000,-61195195424.000000,29496604871.000000,-21235201852.000000,-20958324060.000000,-276877792.000000,-21235201852.000000,8261403019.000000,-958964737.000000,-1093819772.000000,134855035.000000,,-958964737.000000,7302438282.000000,-2410496364.000000,-2610501520.000000,200005156.000000,-2410496364.000000,4891941918.000000,83815001.000000,,83815001.000000,4975756919.000000,4891941918.000000,4891941918.000000,,4891941918.000000,4975756919.000000,4975756919.000000,,4975756919.000000
12M 2022,178622979646.000000,-131643667929.000000,46979311717.000000,-38363531789.000000,-38363531789.000000,,-38363531789.000000,8615779928.000000,4100835415.000000,-805366431.000000,85883765.000000,4820318081.000000,4100835415.000000,12716615343.000000,-3076875422.000000,-3381724394.000000,304848972.000000,-3076875422.000000,9639739921.000000,-249502976.000000,-249502976.000000,-249502976.000000,9390236945.000000,9639739921.000000,9712329198.000000,-72589277.000000,9639739921.000000,9390236945.000000,9462826222.000000,-72589277.000000,9390236945.000000
12M 2023,319583191855.000000,-246223364845.000000,73359827010.000000,-64716423220.000000,-64716423220.000000,,-64716423220.000000,8643403790.000000,13551380721.000000,-2191422590.000000,362773037.000000,15380030274.000000,13551380721.000000,22194784511.000000,-5098865641.000000,-4994814920.000000,-104050721.000000,-5098865641.000000,17095918870.000000,-183671814.000000,-183671814.000000,-183671814.000000,16912247056.000000,17095918870.000000,17043896458.000000,52022412.000000,17095918870.000000,16912247056.000000,16860224644.000000,52022412.000000,16912247056.000000
12M 2024,478316908145.000000,-362862681269.000000,115454226876.000000,-84453180412.000000,-84453180412.000000,,-84453180412.000000,31001046464.000000,3833980770.000000,-1767788346.000000,320778997.000000,5280990119.000000,3833980770.000000,34835027234.000000,-8968650504.000000,-8015477321.000000,-953173183.000000,-8968650504.000000,25866376730.000000,-604866435.000000,-604866435.000000,-604866435.000000,25261510295.000000,25866376730.000000,25877590986.000000,-11214256.000000,25866376730.000000,25261510295.000000,25280086028.000000,-18575733.000000,25261510295.000000
