Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,29 B,(6 B),23 B,5697318.55
12M 2021,6 B,(19 B),(12 B),-3056362.86
12M 2022,34 B,(12 B),22 B,5614680.81
12M 2023,21 B,(15 B),7 B,54404.38
12M 2024,1 B,(46 B),(46 B),-25.88
