Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Operasional,Pembayaran Pajak,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Uang Muka Pembelian Aset,Penambahan Aset Tidak Lancar Lainnya,Transfer Ke Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Dari Kepentingan Non Pengendali Pada Entitas Anak,Dana Yang Dibatasi Penggunaannya,Setoran Modal Dari Penawaran Umum,Tambahan Modal Disetor,Agio Saham,Beban Emisi Saham,Pembayaran Dividen Kepada Pihak Non-Pengendali,Kenaikan (Penurunan) Piutang Pihak Berelasi,Kenaikan (Penurunan) Utang Pihak Berelasi,Penerimaan (Pembayaran) Pinjaman Bank,Penerimaan Utang Lain Lain Pihak Ketiga,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,29200733845.000000,382254444409.000000,321783494.000000,-293298274155.000000,-53861137978.000000,-1346535515.000000,-394124010.000000,-4475422400.000000,29200733845.000000,-7507449662.000000,-6411459662.000000,,,-45990000.000000,-1050000000.000000,-7507449662.000000,-18237585721.000000,6600000000.000000,,,,,,-473306722.000000,-2370210849.000000,-20761910003.000000,-1232158147.000000,,,-18237585721.000000,3455698462.000000,13891310182.000000,,17347008644.000000
12M 2021,6333263740.000000,392636786210.000000,938564604.000000,-324896527386.000000,-57747938918.000000,-1365794657.000000,-3330154869.000000,98328756.000000,6333263740.000000,-23103736437.000000,-18558715173.000000,,-166041000.000000,-1178980264.000000,-3200000000.000000,-23103736437.000000,13400113375.000000,4160000.000000,,,,,,-364000000.000000,-600384331.000000,-3392124047.000000,15693275044.000000,2203933880.000000,-144747171.000000,13400113375.000000,-3370359322.000000,17347008644.000000,,13976649322.000000
12M 2022,34125982911.000000,424421504309.000000,276974713.000000,-339064768179.000000,-46808332339.000000,-2690271850.000000,-2575851297.000000,566727554.000000,34125982911.000000,-25569316007.000000,-11667259663.000000,,,1097943656.000000,-15000000000.000000,-25569316007.000000,2780331554.000000,,,,,,,-382200000.000000,-6550018428.000000,-7482491244.000000,17047233357.000000,,147807869.000000,2780331554.000000,11336998458.000000,13976649327.000000,,25313647785.000000
12M 2023,21449952394.000000,370913353253.000000,273068315.000000,-297733259899.000000,-53239801692.000000,-1176609171.000000,-1621746925.000000,4034948513.000000,21449952394.000000,-15737278661.000000,-14703809533.000000,5455556602.000000,,-7539025730.000000,1050000000.000000,-15737278661.000000,-13113405512.000000,,,,,,,-6000000000.000000,,-257295293.000000,-7339805821.000000,,483695602.000000,-13113405512.000000,-7400731779.000000,25313647785.000000,,17912916006.000000
12M 2024,603808758.000000,499193901571.000000,4155547709.000000,-414307891279.000000,-85731673087.000000,-6036593609.000000,-5576878170.000000,8907395623.000000,603808758.000000,-78223507286.000000,-46452443138.000000,,-38222110182.000000,6549046034.000000,-98000000.000000,-78223507286.000000,175141423070.000000,,15000000000.000000,26574951950.000000,153073258354.000000,,-6350000000.000000,-2214286250.000000,,3264713400.000000,-14205415097.000000,,-1799287.000000,175141423070.000000,97521724542.000000,17912916006.000000,,115434640548.000000
