Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan Dan Buruh,Penerimaan Bunga,Penerimaan Tagihan Pajak Pertambahan Nilai,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan Dari (Pembayaran Untuk) Operasional Lainnya,Penerimaan Pendapatan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penambahan Beban Ditangguhkan,Perolehan Penyertaan Di Entitas Anak,Penambahan Surat Berharga,Penurunan Surat Berharga,Penambahan Uang Muka Pembelian,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Pembelian Kembali Saham Beredar,Penerimaan Modal Saham,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Sewa Pembiayaan,Penambahan (Penurunan) Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Pembiayaan Konsumen,Modal Saham Yang Diperoleh Kembali,Penerimaan Tambahan Modal Disetor Dari Eksekusi Waran Seri I,Penambahan Modal Saham Dari Eksekusi Waran Seri I,Kepentingan Non Pengendali Dari Aset Besih Entitas Anak,Peningkatan Modal Disetor Di Entitas Anak Oleh Kepentingan Non Pengendali,Pembayaran Beban Emisi Saham,Pembayaran Dividen Tunai Entitas Anak,Pembayaran Dividen,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2010,1862332040.000000,213972471857.000000,-187627141861.000000,,,,-18618271665.000000,-4048689512.000000,-2187768325.000000,371731546.000000,,1862332040.000000,-17221303870.000000,2573580000.000000,,,,,,-732137130.000000,-19062746740.000000,-17221303870.000000,12755797356.000000,21000000000.000000,,,2000000000.000000,-2451740753.000000,,-6951925182.000000,,,-760536709.000000,,,,,,-80000000.000000,,,,12755797356.000000,-2603174474.000000,,6533520956.000000,3930346482.000000
12M 2011,127074583.000000,241776887789.000000,-214353980302.000000,,,,-19615694256.000000,-4303218655.000000,-3020406535.000000,-356513458.000000,,127074583.000000,-25161101469.000000,2504138177.000000,-858063615.000000,-3927000000.000000,,,,,-22880176031.000000,-25161101469.000000,26972224711.000000,33750000000.000000,,,3376229475.000000,-2965376079.000000,,-681708598.000000,,,-927888440.000000,,,,,,-2218830185.000000,-3360201462.000000,,,26972224711.000000,1938197825.000000,,3416711156.000000,5354908981.000000
12M 2012,16843147032.000000,265798977154.000000,-214106493210.000000,,,,-27274370578.000000,-3619242203.000000,-4092257063.000000,136532932.000000,,16843147032.000000,-6955260124.000000,880380791.000000,,,,,,-1684328638.000000,-6151312277.000000,-6955260124.000000,-8846286816.000000,,,,,-3581314057.000000,,-1158824564.000000,,,-1766148195.000000,,,,,,,-2340000000.000000,,,-8846286816.000000,1041600092.000000,,4738971003.000000,5780571095.000000
12M 2013,39652190973.000000,365728419955.000000,-294014664930.000000,,32830230.000000,,-21341528244.000000,,-6456902950.000000,-4295963088.000000,,39652190973.000000,-53480536098.000000,261090909.000000,,-16284300000.000000,,,,-16499756928.000000,-20957570079.000000,-53480536098.000000,15754300812.000000,,,,8189092268.000000,-3842060849.000000,,14453422994.000000,,,-3046153601.000000,,,,,,,,,,15754300812.000000,1925955687.000000,535292538.000000,6373711519.000000,8834959744.000000
12M 2014,-29883033.000000,462527691334.000000,-398380531398.000000,,45865904.000000,,-46025812671.000000,,-10519388486.000000,-7677707716.000000,,-29883033.000000,-13902359515.000000,1653272729.000000,,,,,,-618411010.000000,-14937221234.000000,-13902359515.000000,13957052022.000000,,,,6412000942.000000,-5210479102.000000,,17456423414.000000,,,-3875893232.000000,,,,,,,,-825000000.000000,,13957052022.000000,24809474.000000,53338002.000000,7466541491.000000,7544688967.000000
12M 2015,2204123679.000000,523312916247.000000,-445050065282.000000,,119160903.000000,,-56662299022.000000,,-9625279857.000000,-9890309310.000000,,2204123679.000000,-10361348773.000000,837272727.000000,,,,,,,-11198621500.000000,-10361348773.000000,7943344900.000000,,,,3667781054.000000,-3344291959.000000,,13369972846.000000,,,-3790117041.000000,,,,,,,-1960000000.000000,,,7943344900.000000,-213880194.000000,271395660.000000,9410876110.000000,9468391576.000000
12M 2016,38255302345.000000,638808986170.000000,-517947929921.000000,,44057063.000000,,-62628871122.000000,,-10397020319.000000,-9623919526.000000,,38255302345.000000,-4354964692.000000,314636364.000000,,,,,,,-4669601056.000000,-4354964692.000000,-28095551344.000000,4797810000.000000,,,,-4154209707.000000,,-25922537187.000000,,,-2816614450.000000,,,,,,,,,,-28095551344.000000,5804786309.000000,-47609144.000000,8658473828.000000,14415650993.000000
12M 2017,12706380594.000000,698742312640.000000,-593004399784.000000,,28080052.000000,,-72105599912.000000,,-11533291195.000000,-9420721207.000000,,12706380594.000000,-47209615993.000000,890636364.000000,,,,,,,-48100252357.000000,-47209615993.000000,30238920905.000000,300000000.000000,,,25600000000.000000,-9547350910.000000,,16139161582.000000,,,-2252889767.000000,,,,,,,,,,30238920905.000000,-4264314494.000000,6099482.000000,9022509790.000000,4764294778.000000
12M 2018,17370720460.000000,779155047051.000000,-655488738821.000000,,29330464.000000,,-86966441680.000000,,-7978207535.000000,-11380269019.000000,,17370720460.000000,-9721866652.000000,1392272728.000000,,,,,,,-11114139380.000000,-9721866652.000000,-4801409203.000000,,,,,-5196284049.000000,,3825576284.000000,,,-2550701438.000000,,,,,,,,-880000000.000000,,-4801409203.000000,2847444605.000000,50807558.000000,9115361639.000000,12013613802.000000
12M 2019,99465554519.000000,1127411792109.000000,-868502413716.000000,,106669998.000000,,-115393888047.000000,-21611314605.000000,-22545291220.000000,,,99465554519.000000,-47428071153.000000,2506484640.000000,,-2853808500.000000,,,,,-47080747293.000000,-47428071153.000000,66895455927.000000,2532248682.000000,,1535290000.000000,122530570423.000000,-15266666672.000000,,-38559191095.000000,,,-4666795411.000000,,,,,,,,-1210000000.000000,,66895455927.000000,118932939293.000000,-216456328.000000,23319959817.000000,142036442782.000000
