Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,220763874733.000000,-186619712181.000000,34144162552.000000,-22135796782.000000,-22135796782.000000,,-22135796782.000000,12008365770.000000,-2900587247.000000,40471473.000000,-4038564414.000000,89107881.000000,808783596.000000,199614217.000000,-2900587247.000000,9107778523.000000,-2280546740.000000,6827231783.000000,-1637515007.000000,5189716776.000000,,,5189716776.000000,3616418043.000000,1573298733.000000,,5189716776.000000,,,,,
12M 2011,244802861887.000000,-204013091248.000000,40789770639.000000,-24419136248.000000,-24419136248.000000,,-24419136248.000000,16370634391.000000,-4019877544.000000,45849073.000000,-4303218655.000000,61068072.000000,155605806.000000,20818160.000000,-4019877544.000000,12350756847.000000,-3108157324.000000,9242599523.000000,-1609447033.000000,7633152490.000000,,,7633152490.000000,6086821027.000000,1546331463.000000,,7633152490.000000,,,,,
12M 2012,279603768317.000000,-229653814593.000000,49949953724.000000,-29919918204.000000,-30301048283.000000,381130079.000000,-29919918204.000000,20030035520.000000,-3594219745.000000,25022458.000000,-3619242203.000000,,,,-3594219745.000000,16435815775.000000,-4191025134.000000,12244790641.000000,,12244790641.000000,179998753.000000,12424789394.000000,12244790641.000000,9224454888.000000,3020335753.000000,,12244790641.000000,12424789394.000000,9316254251.000000,3108535143.000000,,12424789394.000000
12M 2013,399345658763.000000,-316437023218.000000,82908635545.000000,-45053512374.000000,-38950017003.000000,-6103495371.000000,-45053512374.000000,37855123171.000000,-4263132858.000000,32830230.000000,-4295963088.000000,,,,-4263132858.000000,33591990313.000000,-8451226930.000000,25140763383.000000,-2551661831.000000,22589101552.000000,10290478341.000000,32879579893.000000,22589101552.000000,13581359535.000000,9007742017.000000,,22589101552.000000,32879579893.000000,18829503489.000000,14050076404.000000,,32879579893.000000
12M 2014,493881857454.000000,-408398731266.000000,85483126188.000000,-49649815964.000000,-49633842717.000000,-15973247.000000,-49649815964.000000,35833310224.000000,-7631841812.000000,45865904.000000,-7677707716.000000,,,,-7631841812.000000,28201468412.000000,-7140433800.000000,21061034612.000000,,21061034612.000000,-696678152.000000,20364356460.000000,21061034612.000000,10986954963.000000,10074079649.000000,,21061034612.000000,20364356460.000000,10631649105.000000,9732707355.000000,,20364356460.000000
12M 2015,538363112800.000000,-435203997016.000000,103159115784.000000,-60934052578.000000,-55240892094.000000,-5693160484.000000,-60934052578.000000,42225063206.000000,-9771148407.000000,119160903.000000,-9890309310.000000,,,,-9771148407.000000,32453914799.000000,-8374792461.000000,24079122338.000000,,24079122338.000000,6105555.000000,24085227893.000000,24079122338.000000,13744373060.000000,10334749278.000000,,24079122338.000000,24085227893.000000,13846365441.000000,10238862452.000000,,24085227893.000000
12M 2016,666434061412.000000,-554275328517.000000,112158732895.000000,-68731545074.000000,-69230159739.000000,498614665.000000,-68731545074.000000,43427187821.000000,-9579862463.000000,44057063.000000,-9623919526.000000,,,,-9579862463.000000,33847325358.000000,-8617820135.000000,25229505223.000000,,25229505223.000000,-68441614.000000,25161063609.000000,25229505223.000000,14255362744.000000,10974142479.000000,,25229505223.000000,25161063609.000000,14118520103.000000,11042543506.000000,,25161063609.000000
12M 2017,708740551637.000000,-588935699382.000000,119804852255.000000,-71790420150.000000,-70120926011.000000,-1669494139.000000,-71790420150.000000,48014432105.000000,-9392641155.000000,28080052.000000,-9420721207.000000,,,,-9392641155.000000,38621790950.000000,-9586395553.000000,29035395397.000000,,29035395397.000000,-800472643.000000,28234922754.000000,29035395397.000000,13170217823.000000,15865177574.000000,,29035395397.000000,28234922754.000000,12426839706.000000,15808083048.000000,,28234922754.000000
12M 2018,789643654873.000000,-638294546423.000000,151349108450.000000,-82789683751.000000,-78154460660.000000,-4635223091.000000,-82789683751.000000,68559424699.000000,-11350938555.000000,29330464.000000,-11380269019.000000,,,,-11350938555.000000,57208486144.000000,-14702210621.000000,42506275523.000000,,42506275523.000000,541118771.000000,43047394294.000000,42506275523.000000,24249023997.000000,18257251526.000000,,42506275523.000000,43047394294.000000,24537636213.000000,18509758081.000000,,43047394294.000000
12M 2019,1096435817888.000000,-821595543791.000000,274840274097.000000,-131398320249.000000,-134770148327.000000,3371828078.000000,-131398320249.000000,143441953848.000000,-21504644607.000000,106669998.000000,-21611314605.000000,,,,-21504644607.000000,121937309241.000000,-31211431854.000000,90725877387.000000,-12304142032.000000,78421735355.000000,-2729870066.000000,75691865289.000000,78421735355.000000,56314630899.000000,22107104456.000000,,78421735355.000000,75691865289.000000,54538539642.000000,21153325647.000000,,75691865289.000000
