Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,6533520956.000000,40799952382.000000,943675719.000000,39856276663.000000,40799952382.000000,14656994.000000,,14656994.000000,14331638578.000000,752621629.000000,62432390539.000000,,40583964653.000000,225299677.000000,3144881131.000000,43954145461.000000,106386536000.000000,,,73638636700.000000,34117175112.000000,,,35904016806.000000,35904016806.000000,347629389.000000,76123550.000000,,76123550.000000,,,2724398987.000000,469292856.000000,3193691843.000000,,73638636700.000000,9858667626.000000,,,8485197317.000000,472271600.000000,8957468917.000000,901198709.000000,9858667626.000000,83497304326.000000,,5000000000.000000,,10661511191.000000,,10661511191.000000,10661511191.000000,3541583037.000000,3686137446.000000,22889231674.000000,106386536000.000000,1000.000000
12M 2010,,,1353641452.000000,33247759679.000000,,33247759679.000000,33247759679.000000,2112409900.000000,2112409900.000000,2112409900.000000,13385459360.000000,1204509715.000000,51303780106.000000,,50608954438.000000,282579888.000000,5323011070.000000,56214545396.000000,107518325502.000000,,,59059297349.000000,27165249930.000000,,1835304587.000000,24941486551.000000,26776791138.000000,445581123.000000,,1295242500.000000,1295242500.000000,,,3300668526.000000,75764132.000000,3376432658.000000,,59059297349.000000,8181098918.000000,,,6943551699.000000,107742094.000000,7051293793.000000,1129805125.000000,8181098918.000000,67240396267.000000,,26000000000.000000,,14277929235.000000,,14277929235.000000,14277929235.000000,,,40277929235.000000,107518325502.000000,260000000.000000
12M 2011,,,4738971003.000000,50617329356.000000,43818286.000000,50573511070.000000,50617329356.000000,442552248.000000,,442552248.000000,28471849262.000000,367075365.000000,84637777234.000000,,73125377937.000000,359002091.000000,6400553716.000000,79884933744.000000,164522710978.000000,,,74370689900.000000,26483541332.000000,,1391338935.000000,37304569821.000000,38695908756.000000,1523469179.000000,2584571349.000000,,2584571349.000000,,,4235793468.000000,847405816.000000,5083199284.000000,,74370689900.000000,8368989742.000000,9175478.000000,,5803342175.000000,799562491.000000,6602904666.000000,1756909598.000000,8368989742.000000,82739679642.000000,,55000000000.000000,16451169815.000000,6364750261.000000,100000000.000000,6264750261.000000,6364750261.000000,3868114517.000000,98996743.000000,81783031336.000000,164522710978.000000,550000000.000000
12M 2012,,,5119824303.000000,64422120517.000000,,64422120517.000000,64422120517.000000,363449200.000000,363449200.000000,363449200.000000,32360684677.000000,2104119713.000000,104370198410.000000,,75470395188.000000,443074089.000000,4613075200.000000,80526544477.000000,184896742887.000000,,,85298205317.000000,25324716768.000000,,5882999830.000000,46712653200.000000,52595653030.000000,1663413796.000000,,876033837.000000,876033837.000000,260194425.000000,,3691945614.000000,886247847.000000,4578193461.000000,,85298205317.000000,5292783793.000000,34669858.000000,,2105129180.000000,772572265.000000,2877701445.000000,2380412490.000000,5292783793.000000,90590989110.000000,,55000000000.000000,16550166557.000000,15589205149.000000,100000000.000000,15489205149.000000,15589205149.000000,7024636853.000000,141745218.000000,94305753777.000000,184896742887.000000,550000000.000000
12M 2013,,,7466541491.000000,108397947603.000000,,108397947603.000000,108397947603.000000,493829334.000000,,493829334.000000,60023256957.000000,19204083471.000000,195585658856.000000,,105216294418.000000,500314243.000000,176964704.000000,105893573365.000000,301479232221.000000,,,150482940928.000000,47468749389.000000,,,92214117601.000000,92214117601.000000,3643094292.000000,,845384959.000000,845384959.000000,319302278.000000,,3564820466.000000,2427471943.000000,5992292409.000000,,150482940928.000000,11112992131.000000,173102316.000000,,5610867494.000000,2091382642.000000,7702250136.000000,3237639679.000000,11112992131.000000,161595933059.000000,,55000000000.000000,16110157268.000000,29170564684.000000,100000000.000000,29070564684.000000,29170564684.000000,34025709051.000000,5576868159.000000,139883299162.000000,301479232221.000000,550000000.000000
12M 2014,,,9410876110.000000,139752113723.000000,496701810.000000,139255411913.000000,139752113723.000000,239370821.000000,,239370821.000000,75858974959.000000,20084454561.000000,245345790174.000000,,110792833798.000000,570555725.000000,105085971.000000,111468475494.000000,356814265668.000000,,,184602687438.000000,64925172803.000000,,5562481375.000000,103798388975.000000,109360870350.000000,2457336323.000000,,38701171.000000,38701171.000000,405371877.000000,,5052319548.000000,2362915366.000000,7415234914.000000,,184602687438.000000,12788922608.000000,293280598.000000,,7191077395.000000,1266888938.000000,8457966333.000000,4037675677.000000,12788922608.000000,197391610046.000000,,55000000000.000000,16110157268.000000,39332519647.000000,100000000.000000,39232519647.000000,39332519647.000000,43758416406.000000,5221562301.000000,159422655622.000000,356814265668.000000,550000000.000000
12M 2015,,,8658473828.000000,154802310276.000000,4324249444.000000,150478060832.000000,154802310276.000000,177066140.000000,,177066140.000000,79554208566.000000,4467936178.000000,247659994988.000000,,117612199760.000000,706820965.000000,31803485.000000,118350824210.000000,366010819198.000000,,,184214469035.000000,78295145649.000000,,9689711899.000000,84661529197.000000,94351241096.000000,1744359019.000000,,50702164.000000,50702164.000000,230963500.000000,,7597151476.000000,1944906131.000000,9542057607.000000,,184214469035.000000,10867323350.000000,270548900.000000,,4159816814.000000,1021949350.000000,5181766164.000000,5415008286.000000,10867323350.000000,195081792385.000000,,55000000000.000000,16115299711.000000,53134794033.000000,100000000.000000,53034794033.000000,53134794033.000000,46979245097.000000,-300312028.000000,170929026813.000000,366010819198.000000,550000000.000000
12M 2016,,,9022509790.000000,182427385518.000000,6434893393.000000,175992492125.000000,182427385518.000000,122441440.000000,,122441440.000000,95547717345.000000,11138006139.000000,298258060232.000000,,111122445703.000000,933483583.000000,16587084.000000,112072516370.000000,410330576602.000000,,,201756667857.000000,52372608462.000000,,1023100012.000000,135899680378.000000,136922780390.000000,3361637724.000000,,1203553156.000000,1203553156.000000,4254005482.000000,,2209617380.000000,1432465263.000000,3642082643.000000,,201756667857.000000,7686008323.000000,176222532.000000,,,746098495.000000,746098495.000000,6763687296.000000,7686008323.000000,209442676180.000000,,55000000000.000000,16913109711.000000,67390156777.000000,100000000.000000,67290156777.000000,67390156777.000000,59981788603.000000,1602845331.000000,200887900422.000000,410330576602.000000,550000000.000000
12M 2017,,,9115361639.000000,192425624515.000000,8939925782.000000,183485698733.000000,192425624515.000000,249268986.000000,,249268986.000000,131015702213.000000,15856379909.000000,348662337262.000000,,147610455698.000000,2416800701.000000,12063334.000000,150039319733.000000,498701656995.000000,,,242051192180.000000,68511770044.000000,,1821362462.000000,157173372449.000000,158994734911.000000,2965100020.000000,,992980168.000000,992980168.000000,4439692279.000000,,5120000004.000000,1026914754.000000,6146914758.000000,,242051192180.000000,27227641639.000000,178454739.000000,,17493333327.000000,816972457.000000,18310305784.000000,8738881116.000000,27227641639.000000,269278833819.000000,,55000000000.000000,16913109711.000000,80560374600.000000,100000000.000000,80460374600.000000,80560374600.000000,75936871651.000000,1012467214.000000,229422823176.000000,498701656995.000000,550000000.000000
12M 2018,,,12089897847.000000,203140191255.000000,11888523701.000000,191251667554.000000,203140191255.000000,570869273.000000,,570869273.000000,144342696536.000000,13200691200.000000,373344346111.000000,,149708894516.000000,1532265134.000000,1543809402.000000,152784969052.000000,526129315163.000000,,,231453796427.000000,72337346328.000000,,8783562338.000000,137944318902.000000,146727881240.000000,3965734679.000000,,282444026.000000,282444026.000000,1178890423.000000,,5120000004.000000,1615540809.000000,6735540813.000000,225958918.000000,231453796427.000000,23085301266.000000,300855154.000000,,12373333323.000000,1682908913.000000,14056242236.000000,8728203876.000000,23085301266.000000,254539097693.000000,,55000000000.000000,16913109711.000000,103929398597.000000,100000000.000000,103829398597.000000,103929398597.000000,94446629732.000000,1301079430.000000,271590217470.000000,526129315163.000000,550000000.000000
