Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,19347648.64,0.00,19347648.64,37 B,9 B,46 B,40 B,(11 B)
12M 2010,0.00,154.92,0.00,154.92,31 B,7 B,38 B,36 B,(8 B)
12M 2011,2.34,141.66,2.34,141.66,32 B,7 B,38 B,33 B,10 B
12M 2012,2.65,158.69,2.65,158.69,30 B,3 B,33 B,28 B,19 B
12M 2013,3.08,192.47,3.08,192.47,53 B,8 B,61 B,54 B,45 B
12M 2014,3.14,210.30,3.14,210.30,72 B,8 B,81 B,71 B,61 B
12M 2015,2.93,225.36,2.93,225.36,88 B,5 B,93 B,84 B,63 B
12M 2016,2.10,256.19,2.10,256.19,56 B,1 B,57 B,48 B,97 B
12M 2017,1.93,279.07,1.93,279.07,75 B,18 B,93 B,84 B,107 B
12M 2018,1.86,322.08,1.86,322.08,79 B,14 B,93 B,81 B,142 B
12M 2019,1.13,378.24,1.13,378.24,106 B,84 B,190 B,171 B,236 B
12M 2020,1.37,417.41,1.37,417.41,90 B,35 B,125 B,100 B,233 B
12M 2021,1.89,529.79,1.89,529.79,128 B,101 B,228 B,132 B,322 B
12M 2022,1.40,576.34,1.40,576.34,243 B,277 B,520 B,479 B,206 B
12M 2023,1.56,595.05,1.56,595.05,337 B,238 B,575 B,459 B,197 B
12M 2024,0.85,755.05,0.85,755.05,353 B,228 B,581 B,462 B,180 B
