Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Penerimaan Restitusi,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Bunga,Penyertaan Pada Entitas Asosiasi,Penurunan (Kenaikan) Investasi Ventura Bersama,Penyertaan Pada Ventura Bersama,Penyertaan Pada Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank Jangka Pendek Pihak Berelasi,Pembayaran Pinjaman Bank Jangka Pendek Pihak Ketiga,Pembayaran Pinjaman Bank Jangka Pendek Pihak Berelasi,Penerimaan Pinjaman Bank Jangka Pendek Pihak Ketiga,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Pada Pihak Berelasi,Pembayaran Bunga,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Bunga Sewa Pembiayaan,Penerimaan Dari Penjualan Saham Treasuri,Setoran Modal Pihak Non Pengendali,Penerimaan Tambahan Setoran Modal,Penerimaan Dari Medium Term Notes,Pelunasan Mtn,Perolehan Saham Kembali,Penerimaan (Pelunasan) Ptk,Pembayaran Dividen,Pemilik Entitas Induk,Kepentingan Non Pengendali,Total Pembayaran Dividen,Pelunasan Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2011,135160000000.000000,1609038000000.000000,-1288328000000.000000,-46274000000.000000,,-108229000000.000000,10663000000.000000,-1172000000.000000,-40538000000.000000,135160000000.000000,-162239000000.000000,-162239000000.000000,,,,,,,-162239000000.000000,-34141000000.000000,72180000000.000000,-67492000000.000000,,,,,,-2000000000.000000,,,,,,,,,,,,,-28874000000.000000,-7955000000.000000,-36829000000.000000,,,-34141000000.000000,-61220000000.000000,,286940000000.000000,,225720000000.000000
12M 2012,293849000000.000000,2465168000000.000000,-1875821000000.000000,-57956000000.000000,,-157807000000.000000,3565000000.000000,-1838000000.000000,-81462000000.000000,293849000000.000000,-174250000000.000000,-174250000000.000000,,,,,,,-174250000000.000000,-4998000000.000000,77896000000.000000,-76260000000.000000,,,,,,-1901000000.000000,,,,,,45815000000.000000,,,,,,,-39630000000.000000,-10918000000.000000,-50548000000.000000,,,-4998000000.000000,114601000000.000000,,225720000000.000000,,340321000000.000000
12M 2013,123766000000.000000,2716664000000.000000,-2266464000000.000000,-88911000000.000000,,-124796000000.000000,7279000000.000000,-10968000000.000000,-109038000000.000000,123766000000.000000,-454305000000.000000,-454305000000.000000,,,,,,,-454305000000.000000,403250000000.000000,439213000000.000000,-286185000000.000000,,,,,,,,,-260000000.000000,,,5350000000.000000,,366000000000.000000,,-58246000000.000000,,,-49096000000.000000,-13526000000.000000,-62622000000.000000,,,403250000000.000000,72711000000.000000,,340319000000.000000,,413030000000.000000
12M 2014,192010242661.000000,2626340965450.000000,-1929865738091.000000,-137428718860.000000,,-125125312054.000000,69402136998.000000,-47088175979.000000,-264224914803.000000,192010242661.000000,-790213951461.000000,-643618829097.000000,,,,,,-146595122364.000000,-790213951461.000000,1186278910630.000000,615402417613.000000,-588962595617.000000,,,,,,-12134988250.000000,,,-1255383337.000000,,,14650000000.000000,1178579460221.000000,,,,,,-16620000000.000000,-3380000000.000000,-20000000000.000000,,,1186278910630.000000,588075201830.000000,,450399497043.000000,,1038474698873.000000
12M 2015,458415942291.000000,2908410000322.000000,-1919069149159.000000,-184859486273.000000,,-221478719026.000000,49208968209.000000,-64744190787.000000,-109051480995.000000,458415942291.000000,-472119395797.000000,-442994450797.000000,,,,,,-29124945000.000000,-472119395797.000000,-201140378553.000000,745615186429.000000,-813081281404.000000,,,,,,-68562153330.000000,,,-1377458517.000000,,,,824136500.000000,,-366000000000.000000,,400000000000.000000,,-61810089600.000000,-36748718631.000000,-98558808231.000000,,,-201140378553.000000,-214843832059.000000,,1038474698874.000000,,823630866815.000000
12M 2016,-79247536911.000000,3131777692575.000000,-2543245287781.000000,-207697090514.000000,,-238923936734.000000,21195463059.000000,-56862321030.000000,-185492056486.000000,-79247536911.000000,-482388021805.000000,-482388021805.000000,,,,,,,-482388021805.000000,80215906582.000000,1055225964795.000000,-836978969488.000000,,,,,,-5800803094.000000,,,-1174732557.000000,-57740931.000000,,,1200000000.000000,,,,-80000000000.000000,,-32735292800.000000,-19462519343.000000,-52197812143.000000,,,80215906582.000000,-481419652134.000000,,823630866815.000000,,342211214681.000000
12M 2017,556143968918.000000,4603250853207.000000,-2976349407737.000000,-360519734834.000000,,-369377638473.000000,5055762241.000000,-79552832119.000000,-266363033367.000000,556143968918.000000,-531584510283.000000,-500584510283.000000,,,-24500000000.000000,-6500000000.000000,,,-531584510283.000000,270984723717.000000,2293235295437.000000,-1863535145960.000000,,,,,43000000000.000000,,,,,,,,,,,,-120000000000.000000,,-51246944000.000000,-30468481760.000000,-81715425760.000000,,,270984723717.000000,295544182352.000000,,342211214681.000000,,637755397033.000000
12M 2018,733378642718.000000,6269452496065.000000,-4187815280986.000000,-326200869598.000000,,-555564819311.000000,6150663367.000000,-98187138167.000000,-374456408652.000000,733378642718.000000,-439848569825.000000,-439848569825.000000,,,,,,,-439848569825.000000,-66851214286.000000,2402869205432.000000,-2557299463736.000000,,,,,130000000000.000000,-100000000000.000000,,16659320000.000000,-7936592069.000000,,,,,,,,150000000000.000000,-101143683913.000000,,,-101143683913.000000,,,-66851214286.000000,226678858607.000000,582186027.000000,637755397032.000000,,865016441666.000000
12M 2019,1126052429214.000000,6733691185868.000000,-4329991873057.000000,-340373031775.000000,,-559573427319.000000,9184039904.000000,-148626425566.000000,-238258038841.000000,1126052429214.000000,-379291925685.000000,-391439925685.000000,148000000.000000,,,12000000000.000000,,,-379291925685.000000,-9377379476.000000,2549709785729.000000,-2727751085706.000000,,,,,,-30000000000.000000,,,-55398283223.000000,,,,,,,,,,-145920401358.000000,-17394918.000000,-145937796276.000000,-300000000000.000000,700000000000.000000,-9377379476.000000,737383124053.000000,-118815199.000000,865016441666.000000,,1602280750520.000000
12M 2020,803263880033.000000,6000517078119.000000,-4206958768509.000000,-318942762704.000000,68990519214.000000,-526678407937.000000,,,-213663778150.000000,803263880033.000000,-281518460027.000000,-316805842817.000000,,29736471632.000000,,6000911158.000000,-450000000.000000,,-281518460027.000000,-581409923138.000000,1155296904703.000000,-1375671440178.000000,551716122939.000000,,-292039005510.000000,,23608631162.000000,-35608631162.000000,-110698365952.000000,,-75247054473.000000,-849055704.000000,76185906102.000000,,,,,,,,-128076420849.000000,-27514216.000000,-128103935065.000000,-370000000000.000000,,-581409923138.000000,-59664503132.000000,-399024133.000000,1602280750520.000000,,1542217223255.000000
