Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penelitian Dan Pengembangan,Beban Pemasaran,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Bersih Ventura Bersama,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,1635087000000.000000,-1428781000000.000000,206306000000.000000,-29986000000.000000,-26785000000.000000,-1936000000.000000,-1265000000.000000,-29986000000.000000,176320000000.000000,13447000000.000000,6211000000.000000,,9460000000.000000,,,,-2224000000.000000,13447000000.000000,189767000000.000000,-45342000000.000000,,144425000000.000000,,144425000000.000000,144423000000.000000,144423000000.000000,,144423000000.000000,144423000000.000000,144423000000.000000,,144423000000.000000
12M 2012,2030597000000.000000,-1765145000000.000000,265452000000.000000,-34166000000.000000,-31243000000.000000,-1446000000.000000,-1477000000.000000,-34166000000.000000,231286000000.000000,2396000000.000000,1900000000.000000,,-5795000000.000000,,,,6291000000.000000,2396000000.000000,233682000000.000000,-54313000000.000000,,179369000000.000000,,179369000000.000000,179368000000.000000,178920000000.000000,448000000.000000,179368000000.000000,179368000000.000000,178920000000.000000,448000000.000000,179368000000.000000
12M 2013,2643724000000.000000,-2255749000000.000000,387975000000.000000,-51773000000.000000,-47903000000.000000,-1977000000.000000,-1893000000.000000,-51773000000.000000,336202000000.000000,-7681000000.000000,,-3620000000.000000,-5366000000.000000,,,,1305000000.000000,-7681000000.000000,328521000000.000000,-87315000000.000000,,241206000000.000000,,241206000000.000000,241207000000.000000,242875000000.000000,-1668000000.000000,241207000000.000000,241207000000.000000,242875000000.000000,-1668000000.000000,241207000000.000000
12M 2014,3277195052159.000000,-2790104909056.000000,487090143103.000000,-78192173085.000000,-71588253991.000000,-4745818215.000000,-1858100879.000000,-78192173085.000000,408897970018.000000,2623130470.000000,,6031236079.000000,-5089216991.000000,,,,1681111382.000000,2623130470.000000,411521100488.000000,-89117249234.000000,,322403851254.000000,,322403851254.000000,322403851254.000000,328509457250.000000,-6105605996.000000,322403851254.000000,322403851254.000000,328509457250.000000,-6105605996.000000,322403851254.000000
12M 2015,2652622140207.000000,-2324038892037.000000,328583248170.000000,-90150479041.000000,-84936586613.000000,-3052251330.000000,-2161641098.000000,-90150479041.000000,238432769129.000000,-32373430547.000000,37020987484.000000,-62961848066.000000,-7929015323.000000,,,,1496445358.000000,-32373430547.000000,206059338582.000000,-34275316813.000000,,171784021769.000000,-13216044338.000000,158567977431.000000,171784021770.000000,173878424549.000000,-2094402779.000000,171784021770.000000,158567977432.000000,160662380211.000000,-2094402779.000000,158567977432.000000
12M 2016,3481731506128.000000,-2977298901593.000000,504432604535.000000,-96174468582.000000,-88942657834.000000,-4566058568.000000,-2665752180.000000,-96174468582.000000,408258135953.000000,-67998534555.000000,16337101069.000000,-56504143558.000000,-370253752.000000,,,,-27461238314.000000,-67998534555.000000,340259601398.000000,-58691974024.000000,,281567627374.000000,-3520062902.000000,278047564472.000000,281567627375.000000,272426432069.000000,9141195306.000000,281567627375.000000,278047564473.000000,268906369167.000000,9141195306.000000,278047564473.000000
12M 2017,5362263237778.000000,-4695623846375.000000,666639391403.000000,-136280651731.000000,-127516201846.000000,-5214598539.000000,-3549851346.000000,-136280651731.000000,530358739672.000000,-110857119512.000000,3804332754.000000,-88526521259.000000,-1403827073.000000,874362971.000000,450220729.000000,,-26055687634.000000,-110857119512.000000,419501620160.000000,-79042760767.000000,,340458859393.000000,-2041546850.000000,338417312543.000000,340458859391.000000,337124197724.000000,3334661667.000000,340458859391.000000,338417312541.000000,334995259585.000000,3422052956.000000,338417312541.000000
12M 2018,6930628258854.000000,-6048206381338.000000,882421877516.000000,-149876016777.000000,-141580112489.000000,-6274324383.000000,-2021579905.000000,-149876016777.000000,732545860739.000000,-113294557054.000000,4987414532.000000,-94839584808.000000,-363241698.000000,239638256.000000,24410812884.000000,,-47729596220.000000,-113294557054.000000,619251303685.000000,-132611129232.000000,,486640174453.000000,3380185582.000000,490020360035.000000,486640174453.000000,486353057930.000000,287116523.000000,486640174453.000000,490020360035.000000,489637913088.000000,382446947.000000,490020360035.000000
12M 2019,7083384467587.000000,-6132667455204.000000,950717012383.000000,-155311054495.000000,-145368001304.000000,-8219042470.000000,-1724010721.000000,-155311054495.000000,795405957888.000000,-169135413178.000000,8329313155.000000,-146014430427.000000,1378440238.000000,4708602241.000000,2050185656.000000,,-39587524041.000000,-169135413178.000000,626270544710.000000,-115558811307.000000,,510711733403.000000,6859992675.000000,517571726078.000000,510711733403.000000,512346720675.000000,-1634987272.000000,510711733403.000000,517571726078.000000,519156210001.000000,-1584483923.000000,517571726078.000000
12M 2020,4803359291718.000000,-4493836346777.000000,309522944941.000000,-125126109902.000000,-120347903640.000000,-3995065883.000000,-783140379.000000,-125126109902.000000,184396835039.000000,-53892025070.000000,23980821605.000000,-113196382597.000000,-2987789613.000000,3068478414.000000,-11704926040.000000,-12266000000.000000,59213773161.000000,-53892025070.000000,130504809969.000000,-7357730549.000000,,123147079420.000000,-2156782090.000000,120990297330.000000,123147079420.000000,128052492224.000000,-4905412804.000000,123147079420.000000,120990297330.000000,125738435375.000000,-4748138045.000000,120990297330.000000
