Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Medium Term Notes,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Medium Term Notes,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,225720000000.000000,306955000000.000000,153982000000.000000,152973000000.000000,306955000000.000000,,,,,502000000.000000,704070000000.000000,154694000000.000000,1391941000000.000000,,13558000000.000000,,3700000000.000000,429644000000.000000,,446902000000.000000,1838843000000.000000,,,1402904000000.000000,15857000000.000000,,326054000000.000000,7177000000.000000,333231000000.000000,38583000000.000000,311892000000.000000,,21072000000.000000,,,,,682269000000.000000,1402904000000.000000,6244000000.000000,,,,,,,,6244000000.000000,6244000000.000000,1409148000000.000000,,115000000000.000000,,314694000000.000000,78010000000.000000,236684000000.000000,314694000000.000000,,,429694000000.000000,1838842000000.000000,2712106900.000000
12M 2012,,,340319000000.000000,309419000000.000000,123230000000.000000,186189000000.000000,309419000000.000000,,,,,551000000.000000,881217000000.000000,262473000000.000000,1793979000000.000000,,18815000000.000000,,3700000000.000000,584605000000.000000,,607120000000.000000,2401099000000.000000,,,1778015000000.000000,19492000000.000000,,387880000000.000000,33120000000.000000,421000000000.000000,43398000000.000000,278076000000.000000,,17983000000.000000,,,,,998066000000.000000,1778015000000.000000,18755000000.000000,,,,,,,,18755000000.000000,18755000000.000000,1796770000000.000000,,115000000000.000000,,443067000000.000000,106895000000.000000,336172000000.000000,443067000000.000000,46263000000.000000,,604330000000.000000,2401100000000.000000,2712106900.000000
12M 2013,,,413027000000.000000,421906000000.000000,199617000000.000000,222289000000.000000,421906000000.000000,,,,,1855000000.000000,846027000000.000000,213204000000.000000,1896019000000.000000,,5789000000.000000,,3487000000.000000,1012107000000.000000,,1021383000000.000000,2917402000000.000000,,,1794348000000.000000,172519000000.000000,,308495000000.000000,16605000000.000000,325100000000.000000,24333000000.000000,254434000000.000000,,26466000000.000000,,,1236000000.000000,1236000000.000000,990260000000.000000,1794348000000.000000,393035000000.000000,,,2552000000.000000,2552000000.000000,366000000000.000000,,,24483000000.000000,393035000000.000000,2187383000000.000000,,667000000000.000000,,71319000000.000000,23245000000.000000,48074000000.000000,71319000000.000000,49945000000.000000,-58246000000.000000,730018000000.000000,2917401000000.000000,6670000000.000000
12M 2014,,,1038474698874.000000,475688830625.000000,275088765508.000000,200600065117.000000,475688830625.000000,,,,,6998955891.000000,457603142859.000000,148273408275.000000,2127039036524.000000,,716716854.000000,,3371815069.000000,1671205371711.000000,,1675293903634.000000,3802332940158.000000,,,1509531476033.000000,198959176375.000000,,402514485764.000000,17584578139.000000,420099063903.000000,38432045776.000000,193349599216.000000,366000000000.000000,53890493881.000000,,,1377458520.000000,1377458520.000000,237423638362.000000,1509531476033.000000,67024011787.000000,,,1174732559.000000,1174732559.000000,,1283750345.000000,44146819747.000000,20418709136.000000,67024011787.000000,1576555487820.000000,,871546660000.000000,973193706603.000000,379828866582.000000,51319409332.000000,328509457250.000000,379828866582.000000,59454412296.000000,-58246193143.000000,2225777452338.000000,3802332940158.000000,8715466600.000000
12M 2015,,,823630866815.000000,570108562856.000000,210110868120.000000,359997694736.000000,570108562856.000000,,,,,12303441004.000000,622479997668.000000,426386049575.000000,2454908917918.000000,,408266860.000000,,3265376707.000000,1997514941320.000000,,2001188584887.000000,4456097502805.000000,,,1793464704364.000000,131493081399.000000,,529477314623.000000,28008696580.000000,557486011203.000000,8452874000.000000,365081174822.000000,,37379514098.000000,,80000000000.000000,1174732559.000000,81174732559.000000,612397316283.000000,1793464704364.000000,399207637116.000000,,320000000000.000000,,320000000000.000000,,9790036297.000000,,69417600819.000000,399207637116.000000,2192672341480.000000,,871546660000.000000,973193706603.000000,458296032267.000000,61319409332.000000,396976622935.000000,458296032267.000000,58184146017.000000,-97795383562.000000,2263425161325.000000,4456097502805.000000,8715466600.000000
12M 2016,,,342211214681.000000,653482031527.000000,237514757305.000000,415967274222.000000,653482031527.000000,,,,,9616158866.000000,694463252298.000000,740164262360.000000,2439936919732.000000,,,,3158938351.000000,2219223927235.000000,,2222382865586.000000,4662319785318.000000,,,1863793637442.000000,349740076706.000000,,616362291463.000000,47773175022.000000,664135466485.000000,11927211446.000000,460686640314.000000,,9536968777.000000,,120000000000.000000,,120000000000.000000,247767273714.000000,1863793637442.000000,308051234223.000000,,200000000000.000000,,200000000000.000000,,28351110499.000000,,79700123724.000000,308051234223.000000,2171844871665.000000,,871546660000.000000,973193706603.000000,678524652193.000000,66569409332.000000,611955242861.000000,678524652193.000000,68525341322.000000,-101315446464.000000,2490474913654.000000,4662319785319.000000,8715466600.000000
12M 2017,,,637755397032.000000,1219478279422.000000,380881547744.000000,838596731678.000000,1219478279422.000000,,,,,8937516361.000000,1034176711455.000000,1451029270129.000000,4351377174399.000000,,,25374362971.000000,4380000000.000000,2679459038772.000000,7385518901.000000,2716598920644.000000,7067976095043.000000,,,4216314368712.000000,1245417243015.000000,,1146005659243.000000,77382191191.000000,1223387850434.000000,63421459139.000000,908283704524.000000,,74416360615.000000,,200000000000.000000,,200000000000.000000,501387750985.000000,4216314368712.000000,103726392246.000000,,,,,,12748722255.000000,,90977669991.000000,103726392246.000000,4320040760958.000000,,871546660000.000000,973193706603.000000,934691957806.000000,74769409332.000000,859922548474.000000,934691957806.000000,71947394279.000000,-103444384603.000000,2747935334085.000000,7067976095043.000000,8715466600.000000
12M 2018,,,865016441666.000000,1213120116246.000000,439644832427.000000,773475283819.000000,1213120116246.000000,,,,,17406032756.000000,1206104516907.000000,2569067289462.000000,5870714397037.000000,,1312527614.000000,25614001227.000000,4380000000.000000,2947961042010.000000,31796331784.000000,3011063902635.000000,8881778299672.000000,,,5248086459534.000000,1455222308428.000000,,1059903288914.000000,86265013242.000000,1146168302156.000000,99083680988.000000,1694138394591.000000,,73486801908.000000,,,35343034464.000000,35343034464.000000,744643936999.000000,5248086459534.000000,496879829933.000000,,350000000000.000000,39754903981.000000,389754903981.000000,,11601431413.000000,,95523494539.000000,496879829933.000000,5744966289467.000000,,871546660000.000000,973193706603.000000,1277987995520.000000,143194248877.000000,1134793746643.000000,1277987995520.000000,72329841225.000000,-58246193143.000000,3136812010205.000000,8881778299672.000000,8715466600.000000
12M 2019,,,1602280750520.000000,1309533098285.000000,570928456771.000000,738604641514.000000,1309533098285.000000,,,,,21459194735.000000,1148378932136.000000,3087260570159.000000,7168912545835.000000,,3911023727.000000,30322603468.000000,79408000000.000000,3012075396737.000000,43265517440.000000,3168982541372.000000,10337895087207.000000,,,6195054960778.000000,2035684801444.000000,,859093836233.000000,39453506099.000000,898547342332.000000,116229962299.000000,2065504675825.000000,,40937243638.000000,,250000000000.000000,77947654987.000000,327947654987.000000,710203280253.000000,6195054960778.000000,634394186422.000000,,500000000000.000000,34212061802.000000,534212061802.000000,,29667636658.000000,,70514487962.000000,634394186422.000000,6829449147200.000000,,871546660000.000000,973193706603.000000,1651223804163.000000,242297750536.000000,1408926053627.000000,1651223804163.000000,70727962384.000000,-58246193143.000000,3508445940007.000000,10337895087207.000000,8715466600.000000
12M 2020,,,1542217223256.000000,632738063839.000000,219680373484.000000,413057690355.000000,632738063839.000000,85382991081.000000,3829682989.000000,81553308092.000000,85382991081.000000,18740129445.000000,793744013430.000000,2175385882734.000000,5248208303785.000000,,26833922238.000000,33391081882.000000,81544418000.000000,2952492507874.000000,166547065815.000000,3260808995809.000000,8509017299594.000000,,,4706620585979.000000,484190633928.000000,,1282695761481.000000,1314668962110.000000,2597364723591.000000,50617644747.000000,1254006182137.000000,,4432841183.000000,,,44193711079.000000,44193711079.000000,271814849314.000000,4706620585979.000000,411823714491.000000,,380000000000.000000,712368147.000000,380712368147.000000,,,,31111346344.000000,411823714491.000000,5118444300470.000000,,871546660000.000000,988633419562.000000,1464533704823.000000,344817328522.000000,1119716376301.000000,1464533704823.000000,65859214739.000000,,3390572999124.000000,8509017299594.000000,8715466600.000000
12M 2021,,,1738917107151.000000,806993223439.000000,346947285358.000000,460045938081.000000,806993223439.000000,65343192452.000000,12083737887.000000,53259454565.000000,65343192452.000000,25451444228.000000,1002846037751.000000,1854263191154.000000,5493814196175.000000,,32006669957.000000,35898736959.000000,125806191448.000000,3152889015230.000000,87768683151.000000,3434369296745.000000,8928183492920.000000,,,4938393406640.000000,876288291215.000000,,1097295531658.000000,1329163330268.000000,2426458861926.000000,63307639810.000000,1299424561853.000000,,887118294.000000,,45000000000.000000,14662746199.000000,59662746199.000000,212364187343.000000,4938393406640.000000,541905742043.000000,,457000000000.000000,50000221937.000000,507000221937.000000,,,,34905520106.000000,541905742043.000000,5480299148683.000000,,871546660000.000000,988633419562.000000,1523276428229.000000,372988876808.000000,1150287551421.000000,1523276428229.000000,64427836446.000000,,3447884344237.000000,8928183492920.000000,8715466600.000000
12M 2022,,,1538311584458.000000,798516158932.000000,487561266566.000000,310954892366.000000,798516158932.000000,32534522219.000000,10652249444.000000,21882272775.000000,32534522219.000000,20217692953.000000,1072998763935.000000,2686981998976.000000,6149560721473.000000,,7332043631.000000,,187621945755.000000,3045751191074.000000,57262802328.000000,3297967982788.000000,9447528704261.000000,,,5472902652071.000000,1045011042779.000000,,758881159211.000000,1332414757271.000000,2091295916482.000000,82877983756.000000,1848822605926.000000,,2709133301.000000,,70000000000.000000,33636619103.000000,103636619103.000000,298549350724.000000,5472902652071.000000,336805525779.000000,,275000000000.000000,8250912884.000000,283250912884.000000,,14633501699.000000,,38921111196.000000,336805525779.000000,5809708177850.000000,,871546660000.000000,987413288862.000000,1669537203178.000000,372988876808.000000,1296548326370.000000,1669537203178.000000,109323374371.000000,,3637820526411.000000,9447528704261.000000,8715466600.000000
12M 2023,,,407214592020.000000,957976761503.000000,424250739481.000000,533726022022.000000,957976761503.000000,48793270080.000000,16045490246.000000,32747779834.000000,48793270080.000000,18861836892.000000,960330205362.000000,1991716709405.000000,4384893375262.000000,,9122851199.000000,,188962776000.000000,3003465305734.000000,45226355981.000000,3246777288914.000000,7631670664176.000000,,,3727677856740.000000,101187473870.000000,,196261706987.000000,1862913605369.000000,2059175312356.000000,130271245980.000000,960612550881.000000,,2657715230.000000,,40000000000.000000,7904264220.000000,47904264220.000000,425869294203.000000,3727677856740.000000,277882820916.000000,,235000000000.000000,6831950.000000,235006831950.000000,,,,42875988966.000000,277882820916.000000,4005560677656.000000,,871546660000.000000,987413288862.000000,1672161462804.000000,372988876808.000000,1299172585996.000000,1672161462804.000000,94988574854.000000,,3626109986520.000000,7631670664176.000000,8715466600.000000
12M 2024,,,597554294190.000000,918684918481.000000,500849180985.000000,417835737496.000000,918684918481.000000,45266756499.000000,14699045648.000000,30567710851.000000,45266756499.000000,13099021155.000000,725336071642.000000,1629869989074.000000,3929811051041.000000,,2801824451.000000,,191558156000.000000,3007715519262.000000,62801778124.000000,3264877277837.000000,7194688328878.000000,,,3042007165746.000000,,,386524885353.000000,1587487264670.000000,1974012150023.000000,65090279861.000000,582020283767.000000,,1440687071.000000,,40000000000.000000,6566084523.000000,46566084523.000000,372877680501.000000,3042007165746.000000,465915417730.000000,,426254000000.000000,,426254000000.000000,,,,39661417730.000000,465915417730.000000,3507922583476.000000,,871546660000.000000,987413288862.000000,1733637247615.000000,372988876808.000000,1360648370807.000000,1733637247615.000000,94168548925.000000,,3686765745402.000000,7194688328878.000000,8715466600.000000
