Period,Total Pendapatan,Hasil Investasi,Keuntungan Atas Perdagangan Efek,Others,Total Keuntungan Atas Perdagangan Efek,Pendapatan Bunga,Others,Total Pendapatan Bunga,Pendapatan Sewa Pembiayaan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Komisi Dari Transaksi Perantara Pedagang Efek,Pendapatan Pembiayaan Konsumen,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Umum Dan Administrasi,Others,Total Beban Umum Dan Administrasi,Beban Klaim,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5352489345.000000,2447232554.000000,,131406602.000000,131406602.000000,,957557260.000000,957557260.000000,,,,,,,1816292929.000000,5352489345.000000,-5806456003.000000,-1881967261.000000,,-2455411744.000000,-624586200.000000,-3079997944.000000,,-844490798.000000,-5806456003.000000,-453966658.000000,1228056434.000000,1188849289.000000,,,39207145.000000,1228056434.000000,774089776.000000,-233139395.000000,-323401302.000000,90261907.000000,-233139395.000000,540950381.000000,-68403511.000000,472546870.000000,,,472546870.000000,540950381.000000,-68403511.000000,472546870.000000,,,,
12M 2009,13378210145.000000,3125117402.000000,,2381816000.000000,2381816000.000000,,6018227445.000000,6018227445.000000,,,,,,,1853049298.000000,13378210145.000000,-7685595678.000000,-2264818157.000000,,-2960953912.000000,-844284000.000000,-3805237912.000000,,-1615539609.000000,-7685595678.000000,5692614466.000000,1231750138.000000,851260024.000000,,,380490114.000000,1231750138.000000,6924364604.000000,-325929942.000000,-354562320.000000,28632378.000000,-325929942.000000,6598434662.000000,-2194888706.000000,4403545956.000000,,,4403545956.000000,6598434662.000000,-2194888706.000000,4403545956.000000,,,,
12M 2010,18843272131.000000,5590572848.000000,,4416317000.000000,4416317000.000000,,1605276419.000000,1605276419.000000,,,,,,,7231105864.000000,18843272131.000000,-13422374559.000000,-2732826876.000000,,-6224481682.000000,-884205400.000000,-7108687082.000000,,-3580860601.000000,-13422374559.000000,5420897572.000000,5304886360.000000,4473213666.000000,,,831672694.000000,5304886360.000000,10725783932.000000,498490380.000000,-356797166.000000,855287546.000000,498490380.000000,11224274312.000000,-1427051926.000000,9797222386.000000,,,9797222386.000000,11224274312.000000,-1427051926.000000,9797222386.000000,,,,
12M 2011,26940846146.000000,2136772615.000000,,18501026031.000000,18501026031.000000,,385290214.000000,385290214.000000,,,,,,,5917757286.000000,26940846146.000000,-13567253329.000000,-2732684637.000000,,-6585970633.000000,-963895360.000000,-7549865993.000000,,-3284702699.000000,-13567253329.000000,13373592817.000000,5942276601.000000,4622891538.000000,,-811959.000000,1320197022.000000,5942276601.000000,19315869418.000000,-83900509.000000,-279057500.000000,195156991.000000,-83900509.000000,19231968909.000000,,19231968909.000000,,19231968909.000000,19231968912.000000,17143972276.000000,2087996636.000000,19231968912.000000,19231968912.000000,17143972276.000000,2087996636.000000,19231968912.000000
12M 2012,10884696285.000000,2331508529.000000,,-5925323436.000000,-5925323436.000000,,533883987.000000,533883987.000000,,,,,,,13944627205.000000,10884696285.000000,-14197394731.000000,-4658884567.000000,-5403430235.000000,,,-5403430235.000000,,-4135079929.000000,-14197394731.000000,-3312698446.000000,7269255315.000000,7179793590.000000,90733333.000000,1002818.000000,-2274426.000000,7269255315.000000,3956556869.000000,306772573.000000,-208351338.000000,515123911.000000,306772573.000000,4263329442.000000,,4263329442.000000,,4263329442.000000,4263329442.000000,4047150869.000000,216178573.000000,4263329442.000000,4263329442.000000,4047150869.000000,216178573.000000,4263329442.000000
12M 2013,25323497701.000000,18201588054.000000,,,,,2000000000.000000,2000000000.000000,,,,,,5115321359.000000,6588288.000000,25323497701.000000,-19987299670.000000,-7453974331.000000,-8495545902.000000,,,-8495545902.000000,,-4037779437.000000,-19987299670.000000,5336198031.000000,7164768982.000000,6499412807.000000,,4836627.000000,660519548.000000,7164768982.000000,12500967013.000000,341855049.000000,-349466160.000000,691321209.000000,341855049.000000,12842822062.000000,,12842822062.000000,,12842822062.000000,12842822062.000000,12213628017.000000,629194045.000000,12842822062.000000,12842822062.000000,12213628017.000000,629194045.000000,12842822062.000000
12M 2014,71130942578.000000,61129902840.000000,,,,,,,,,,,,9952702988.000000,48336750.000000,71130942578.000000,-38378195319.000000,-13257726885.000000,-20938973030.000000,,,-20938973030.000000,,-4181495404.000000,-38378195319.000000,32752747259.000000,718652672.000000,729111631.000000,,-23172.000000,-10435787.000000,718652672.000000,33471399931.000000,-69516602.000000,-622991618.000000,553475016.000000,-69516602.000000,33401883329.000000,,33401883329.000000,,33401883329.000000,33401883329.000000,29765048780.000000,3636834549.000000,33401883329.000000,33401883329.000000,29765048780.000000,3636834549.000000,33401883329.000000
12M 2015,83488085690.000000,43079565792.000000,,,,,16986616173.000000,16986616173.000000,88666667.000000,,,,,,23333237058.000000,83488085690.000000,-45432508649.000000,-17210440922.000000,-24684865908.000000,,,-24684865908.000000,,-3537201819.000000,-45432508649.000000,38055577041.000000,-9149349687.000000,978116551.000000,,7436109.000000,-10134902347.000000,-9149349687.000000,28906227354.000000,-1470645166.000000,-1952005608.000000,481360442.000000,-1470645166.000000,27435582188.000000,,27435582188.000000,356678338.000000,27792260526.000000,27435582188.000000,25573417141.000000,1862165047.000000,27435582188.000000,27792260526.000000,27752281419.000000,39979107.000000,27792260526.000000
12M 2016,153359234412.000000,78215785775.000000,,,,,19745957894.000000,19745957894.000000,1439777779.000000,,,,,,53957712964.000000,153359234412.000000,-71726984241.000000,-21960591781.000000,-44985714846.000000,,,-44985714846.000000,,-4780677614.000000,-71726984241.000000,81632250171.000000,-7993549194.000000,6828982567.000000,142125262.000000,-623107.000000,-14964033916.000000,-7993549194.000000,73638700977.000000,-3279233542.000000,-3965559011.000000,686325469.000000,-3279233542.000000,70359467435.000000,,70359467435.000000,16263847.000000,70375731282.000000,70359467436.000000,67389188130.000000,2970279306.000000,70359467436.000000,70375731280.000000,67408918397.000000,2966812883.000000,70375731280.000000
12M 2017,255119235664.000000,143942224609.000000,,,,,37237066047.000000,37237066047.000000,277833333.000000,2925491125.000000,-36085407.000000,-15326033.000000,8883038000.000000,,61904993990.000000,255119235664.000000,-106995930704.000000,-33590602980.000000,-66872965419.000000,,,-66872965419.000000,-2909281170.000000,-3623081135.000000,-106995930704.000000,148123304960.000000,-17583591886.000000,7787149939.000000,,-3882065.000000,-25366859760.000000,-17583591886.000000,130539713074.000000,-5694508383.000000,-6668669541.000000,974161158.000000,-5694508383.000000,124845204691.000000,,124845204691.000000,-642251113.000000,124202953578.000000,124845204692.000000,119923416645.000000,4921788047.000000,124845204692.000000,124202953578.000000,119297295751.000000,4905657827.000000,124202953578.000000
12M 2018,473564916412.000000,155170829167.000000,,,,,57998160001.000000,57998160001.000000,165135316.000000,152844978532.000000,-140008409.000000,-123234808.000000,22084477601.000000,,85564579012.000000,473564916412.000000,-359305382037.000000,-48732372059.000000,-144391182125.000000,,,-144391182125.000000,-159639323325.000000,-6542504528.000000,-359305382037.000000,114259534375.000000,-35567463555.000000,11191433724.000000,,-15771320.000000,-46743125959.000000,-35567463555.000000,78692070820.000000,-8292348150.000000,-9892042375.000000,1599694225.000000,-8292348150.000000,70399722670.000000,,70399722670.000000,1718661970.000000,72118384640.000000,70399722671.000000,67513818889.000000,2885903782.000000,70399722671.000000,72118384641.000000,69201425419.000000,2916959222.000000,72118384641.000000
12M 2019,1193590630021.000000,138348284430.000000,,,,,86604818373.000000,86604818373.000000,141596950.000000,798548094622.000000,-99323892.000000,102155112.000000,79692206713.000000,,90252797713.000000,1193590630021.000000,-1009410116496.000000,-56548628937.000000,-120227476034.000000,,,-120227476034.000000,-827484225232.000000,-5149786293.000000,-1009410116496.000000,184180513525.000000,-70952281104.000000,13525655948.000000,,-21891391.000000,-84456045661.000000,-70952281104.000000,113228232421.000000,-10330959021.000000,-11408402325.000000,1077443304.000000,-10330959021.000000,102897273400.000000,,102897273400.000000,2389934705.000000,105287208105.000000,102897273401.000000,99638316684.000000,3258956717.000000,102897273401.000000,105287208106.000000,101945775548.000000,3341432558.000000,105287208106.000000
12M 2020,2275473702348.000000,115895015686.000000,,,,,78475440421.000000,78475440421.000000,85164000.000000,1714065768306.000000,-177408961.000000,-77507324.000000,294818031809.000000,,72389198411.000000,2275473702348.000000,-2062436886511.000000,-57136673463.000000,-153728295937.000000,,,-153728295937.000000,-1843145278634.000000,-8426638477.000000,-2062436886511.000000,213036815837.000000,-81124889375.000000,24991425898.000000,,7216679.000000,-106123531952.000000,-81124889375.000000,131911926462.000000,-7185626138.000000,-7185626138.000000,,-7185626138.000000,124726300324.000000,,124726300324.000000,1367447575.000000,126093747899.000000,124726300324.000000,121084329737.000000,3641970587.000000,124726300324.000000,126093747899.000000,122403937862.000000,3689810037.000000,126093747899.000000
12M 2021,2193251791687.000000,243368812705.000000,,,,,33211981115.000000,33211981115.000000,14194000.000000,1627778920598.000000,-508008056.000000,-37657595.000000,213549285231.000000,14010921346.000000,61863342343.000000,2193251791687.000000,-2020196937778.000000,-58033364437.000000,-176317351016.000000,,,-176317351016.000000,-1771926190593.000000,-13920031732.000000,-2020196937778.000000,173054853909.000000,-60467472900.000000,90390284928.000000,,864995.000000,-150858622823.000000,-60467472900.000000,112587381009.000000,-9632191656.000000,-9632191656.000000,,-9632191656.000000,102955189353.000000,,102955189353.000000,48586893917.000000,151542083270.000000,102955189353.000000,98822851840.000000,4132337513.000000,102955189353.000000,151542083270.000000,142956825792.000000,8585257478.000000,151542083270.000000
12M 2022,2366530208133.000000,270278089752.000000,,,,,,,,1794345507543.000000,-604229251.000000,-833856912.000000,221620864102.000000,26866067266.000000,54857765633.000000,2366530208133.000000,-2165368407858.000000,-63274138948.000000,-177968891920.000000,,,-177968891920.000000,-1913036710427.000000,-11088666563.000000,-2165368407858.000000,201161800275.000000,-38035277962.000000,128349694384.000000,,45621544.000000,-166430593890.000000,-38035277962.000000,163126522313.000000,-6529068249.000000,-6529068249.000000,,-6529068249.000000,156597454064.000000,,156597454064.000000,-519654752.000000,156077799312.000000,156597454064.000000,152463283368.000000,4134170696.000000,156597454064.000000,156077799312.000000,151942254982.000000,4135544330.000000,156077799312.000000
12M 2023,2144995015994.000000,104625930400.000000,,,,,3499563429.000000,3499563429.000000,10543424015.000000,1695206953075.000000,-1159134163.000000,-239314182.000000,267406228725.000000,18965524932.000000,46145839763.000000,2144995015994.000000,-1974968329166.000000,-63563384992.000000,-140348710849.000000,,,-140348710849.000000,-1759796220584.000000,-11260012741.000000,-1974968329166.000000,170026686828.000000,-57005423357.000000,182240874941.000000,420270270.000000,-117115958.000000,-239549452610.000000,-57005423357.000000,113021263471.000000,-4254595195.000000,-4254595195.000000,,-4254595195.000000,108766668276.000000,,108766668276.000000,57043003090.000000,165809671366.000000,108766668276.000000,104900395557.000000,3866272719.000000,108766668276.000000,165809671366.000000,161905268157.000000,3904403209.000000,165809671366.000000
12M 2024,2305952365289.000000,89746938538.000000,,,,,5780177313.000000,5780177313.000000,13101575267.000000,1581535301009.000000,-1747546470.000000,594345104.000000,561494378855.000000,13458721457.000000,41988474216.000000,2305952365289.000000,-2092481405875.000000,-67068250597.000000,-123827709042.000000,,,-123827709042.000000,-1891739645816.000000,-9845800420.000000,-2092481405875.000000,213470959414.000000,-75022136326.000000,189395865825.000000,,128116214.000000,-264546118365.000000,-75022136326.000000,138448823088.000000,-4242090076.000000,-4242090076.000000,,-4242090076.000000,134206733012.000000,,134206733012.000000,42777136776.000000,176983869788.000000,134206733012.000000,130330811841.000000,3875921171.000000,134206733012.000000,176983869788.000000,173107530377.000000,3876339411.000000,176983869788.000000
