Period,Arus Kas Dari Aktivitas Operasi,Pendapatan Kegiatan Perantara Pedagang Efek,Pendapatan Komisi Kegiatan Perantara Pedagang Efek,Penerimaan Dari Pendapatan Transaksi Pendapatan Tetap,Penerimaan (Pembayaran) Atas Perdagangan Portofolio Efek,Penerimaan Dari Jasa Manajer Investasi,Penerimaan Dari Jasa Penasehat Keuangan,Penerimaan Dari Jasa Agen Penjualan,Total Pendapatan Kegiatan Perantara Pedagang Efek,Penerimaan (Pembayaran) Dari Pembiayaan Konsumen Dan Anjak Piutang,Penerimaan Dari Premi,Penerimaan Komisi Penjamin Emisi,Pembayaran Kas Untuk Sewa Pembiayaan,Penerimaan (Pembayaran) Kas Dari (Ke) Pelanggan,Penerimaan Kas Dari Pemasok,Pembayaran Kas Ke Pada Pemasok Dan Karyawan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok,Total Pembayaran Kas Ke Pada Pemasok Dan Karyawan,Pembayaran Beban Bunga Dan Administrasi Bank,Pembayaran Atas Pembiayaan Tagihan Anjak Piutang,Pembayaran Anjak Piutang,Penerimaan Bunga Pendanaan Nasabah,Pembayaran Beban Operasional,Penerimaan (Pembayaran) Pajak Penghasilan,Pendapatan Bunga Investasi,Penerimaan Provisi Dan Administrasi,Penerimaan (Pembayaran) Operasi Lainnya,Penurunan (Kenaikan) Dalam Aset Operasi :,Piutang Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Portofolio Efek,Total Penurunan (Kenaikan) Dalam Aset Operasi :,Kenaikan (Penurunan) Dalam Kewajiban Operasi :,Utang Lembaga Kliring Dan Penjaminan,Utang Nasabah,Total Kenaikan (Penurunan) Dalam Kewajiban Operasi :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Modal,Penyertaan Saham,Pembayaran Deposito Berjangka,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pengembalian Atas Aset Tetap,Penempatan Deposito,Pencairan Deposito,Pembayaran Portofolio Efek,Penerimaan Hasil Investasi,Penerimaan Atas Pelunasan Promisory Note,Penempatan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerimaan Surat Berharga Yang Diterbitkan,Penambahan Modal,Tambahan Agio Saham,Pembayaran Liabilitas Sewa,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Beban Bunga Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,14290611091.000000,,2447232554.000000,1146499270.000000,131406602.000000,,80000000.000000,15061875.000000,3820200301.000000,,,10062500.000000,,,,,-1881967261.000000,,-1881967261.000000,,,,957557260.000000,,-83021102.000000,,,-1369437098.000000,,4308380000.000000,3257745056.000000,1035133280.000000,8601258336.000000,,-3032917500.000000,7268875655.000000,4235958155.000000,14290611091.000000,-4668555936.000000,,,,-5833024590.000000,,,-24380635.000000,,,1188849289.000000,,,-4668555936.000000,-140023750.000000,-140023750.000000,,,,,,,,-140023750.000000,9482031404.000000,269021880.000000,9751053284.000000
12M 2009,4047629501.000000,,3125117402.000000,1447337556.000000,2381816000.000000,,66219380.000000,2750000.000000,7023240338.000000,,,8250000.000000,,,,,-2264818157.000000,,-2264818157.000000,,,,6018227445.000000,,-442896222.000000,,,16207783516.000000,,-12198018500.000000,-7446660651.000000,1436867500.000000,-18207811651.000000,,11348541000.000000,-15642886768.000000,-4294345768.000000,4047629501.000000,-10122662849.000000,,,,-10948967475.000000,,,-24955398.000000,,,851260024.000000,,,-10122662849.000000,10000000000.000000,,,10000000000.000000,,,,,,10000000000.000000,3924966652.000000,9751053284.000000,13676019936.000000
12M 2010,-8039773335.000000,,5590572848.000000,,868120548.000000,,1260274780.000000,,7718968176.000000,,,266961750.000000,,,,,-2732826876.000000,,-2732826876.000000,,,,1455276419.000000,,-10048535.000000,,,-14738104269.000000,,,,,,,,,,-8039773335.000000,2680025184.000000,,,,-1774193935.000000,,,-18994547.000000,,,4473213666.000000,,,2680025184.000000,,,,,,,,,,,-5359748151.000000,13676019935.000000,8316271784.000000
12M 2011,4882789490.000000,,2136772615.000000,5302079248.000000,,,,521707894.000000,7960559757.000000,,,81199100.000000,,,,,-3284702699.000000,,-3284702699.000000,,,,12771044.000000,,423521823.000000,,,-310559535.000000,,,,,,,,,,4882789490.000000,-5550014048.000000,285638950000.000000,,-160000000000.000000,-7009161070.000000,,,,,,1320197022.000000,-125500000000.000000,,-5550014048.000000,,,,,,,,,,,-667224558.000000,8316271784.000000,7649047226.000000
12M 2012,1158451338.000000,,2331508529.000000,13536598987.000000,-5925323436.000000,,327315316.000000,54811913.000000,10324911309.000000,,,27042750.000000,,12802310336.000000,,-22951306969.000000,,,-22951306969.000000,,,,6079421.000000,,25839369.000000,527804566.000000,,395770556.000000,,,,,,,,,,1158451338.000000,5999726105.000000,,,,-809104549.000000,145000000.000000,,-515962936.000000,,,7179793590.000000,,,5999726105.000000,,,,,,,,,,,7158177443.000000,7649047225.000000,14807224668.000000
12M 2013,-239263654478.000000,,4589089470.000000,20668147153.000000,-317705162322.000000,,,,-292447925699.000000,5115321359.000000,,6588288.000000,,-30607216549.000000,,-17237616917.000000,,,-17237616917.000000,,,,1062417418.000000,,-115349403.000000,2000000000.000000,,92960127025.000000,,,,,,,,,,-239263654478.000000,237080954619.000000,,,,-65063458188.000000,,,160000000000.000000,,,6499412807.000000,135645000000.000000,,237080954619.000000,9795630366.000000,,,,,,9795630366.000000,,,9795630366.000000,7612930507.000000,14807224669.000000,22420155176.000000
12M 2014,-35424085907.000000,,8590909770.000000,26931749520.000000,1314114758.000000,,,,36836774048.000000,10065356317.000000,,48336750.000000,,-44574685816.000000,,,-13257726885.000000,-17493577414.000000,-30751304299.000000,,,,11848852.000000,,-643189387.000000,,,-6417222372.000000,,,,,,,,,,-35424085907.000000,-4689206369.000000,,,,-5418318000.000000,,,,,,729111631.000000,,,-4689206369.000000,46818637453.000000,,,,,,46818637453.000000,,,46818637453.000000,6705345177.000000,22420155176.000000,29125500353.000000
12M 2015,13249224386.000000,,11060058563.000000,41940950540.000000,-168250095.000000,,,,52832759008.000000,8715816176.000000,,800000.000000,,-9807277391.000000,,,-17210440922.000000,-21844665168.000000,-39055106090.000000,,,,5075.000000,,660414793.000000,,,-98187185.000000,,,,,,,,,,13249224386.000000,425635923.000000,,,,-552480628.000000,,,,,,978116551.000000,,,425635923.000000,-6700999894.000000,,,,,,2800037929.000000,,-9501037823.000000,-6700999894.000000,6973860415.000000,29125500353.000000,36099360768.000000
12M 2016,-812113316733.000000,,18547158159.000000,52401500596.000000,-242296713134.000000,,,,-171348054379.000000,23159365673.000000,,1113636.000000,,-614611020509.000000,,,-19183103069.000000,-46959344846.000000,-66142447915.000000,,,,,,-2395898243.000000,,,19223625004.000000,,,,,,,,,,-812113316733.000000,-119813652764.000000,,,,-106621136207.000000,,,-20000000000.000000,,,6807483443.000000,,,-119813652764.000000,1038242589492.000000,,,882149625000.000000,38400375000.000000,,132711694087.000000,,-15019104595.000000,1038242589492.000000,106315619995.000000,36099360767.000000,142414980762.000000
12M 2017,-131698134503.000000,,40794613435.000000,59828374320.000000,-94361086663.000000,,,,6261901092.000000,113221794973.000000,,1358000.000000,,-12212581854.000000,,,-33590602980.000000,-66735165035.000000,-100325768015.000000,-28445312254.000000,,,,,-5266775406.000000,,,-104932751039.000000,,,,,,,,,,-131698134503.000000,121786946478.000000,,,,-3311358523.000000,,,,,,7787149939.000000,245000000000.000000,-127688844938.000000,121786946478.000000,9095160195.000000,,,364151500.000000,36415150.000000,,8694593545.000000,,,9095160195.000000,-816027830.000000,142414980760.000000,141598952930.000000
